"Real-Time ADP — Redraft PPR, All, 12-team — Last updated 50 minutes ago"

RK,Name,POS.RK,REAL-TIME,TREND (24H),TREND (7D),PICK NUM.,ESPN,YAHOO,SLEEPER
1,Jahmyr Gibbs DET (6),RB1,1.3,0.1,0.2,1.01,1,,1
2,Bijan Robinson ATL (11),RB2,2.2,1.8,-0.2,1.02,2,,2
3,Ja'Marr Chase CIN (6),WR1,3.2,0.1,-0.1,1.03,3,,3
4,Puka Nacua LAR (11),WR2,5.3,0.1,-0.8,1.04,4,,4
5,Christian McCaffrey SF (8),RB3,6.1,0.2,0.4,1.05,6,,5
6,Jaxon Smith-Njigba SEA (11),WR3,6.6,1.7,-0.7,1.06,5,,6
7,Jonathan Taylor IND (13),RB4,7.2,1.9,0.4,1.07,7,,7
8,Amon-Ra St. Brown DET (6),WR4,7.6,1.7,-0.3,1.08,8,,8
9,James Cook III BUF (7),RB5,10,1.4,-0.2,1.09,12,,10
10,CeeDee Lamb DAL (14),WR5,10.5,-0.4,-0.2,1.10,9,,9
11,Saquon Barkley PHI (10),RB6,12,-0.1,1.6,1.11,13,,13
12,Justin Jefferson MIN (6),WR6,12.4,0.5,-0.6,1.12,11,,11
13,De'Von Achane MIA (6),RB7,14.5,-0.1,-0.5,2.01,10,,12
14,Chase Brown CIN (6),RB8,15,0,0.9,2.02,21,,16
15,Kenneth Walker III KC (5),RB9,16.6,-0.1,1.4,2.03,18,,19
16,Omarion Hampton LAC (7),RB10,17.2,-0.2,0,2.04,24,,15
17,A.J. Brown NE (11),WR7,18.4,0.9,1.5,2.05,25,,18
18,Derrick Henry BAL (13),RB11,19.4,-1.1,0.5,2.06,16,,21
19,Drake London ATL (11),WR8,19.5,-0.4,-1.1,2.07,15,,17
20,Ashton Jeanty LV (13),RB12,19.6,0.9,-5.5,2.08,14,,14
21,George Pickens DAL (14),WR9,22.3,0.6,0.8,2.09,27,,24
22,Brock Bowers LV (13),TE1,23,-0.9,-1.5,2.10,23,,23
23,Nico Collins HOU (8),WR10,23.3,-0.6,0.3,2.11,26,,25
24,Josh Allen BUF (7),QB1,23.7,0.2,1,2.12,19,,22
25,Trey McBride ARI (14),TE2,25.8,1,-0.3,3.01,17,,20
26,Malik Nabers NYG (8),WR11,26.5,1.8,1.4,3.02,30,,27
27,Chris Olave NO (8),WR12,28.7,0.2,1.8,3.03,28,,30
28,Kyren Williams LAR (11),RB13,29,-2.1,0.1,3.04,38,,29
29,Jeremiyah Love ARI (14),RB14,30.4,0.2,-1.9,3.05,22,,26
30,Rashee Rice KC (5),WR13,30.4,-0.1,-1,3.06,20,,28
31,DeVonta Smith PHI (10),WR14,31.4,1.9,1.9,3.07,36,,36
32,Javonte Williams DAL (14),RB15,34.1,0.3,0.5,3.08,31,,35
33,Josh Jacobs GB (11),RB16,35,-0.3,0.1,3.09,33,,31
34,Breece Hall NYJ (13),RB17,35.6,0,-1.4,3.10,29,,33
35,Tee Higgins CIN (6),WR15,36.8,-0.3,0.3,3.11,51,,34
36,Ladd McConkey LAC (7),WR16,37,0.7,1.5,3.12,46,,38
37,Zay Flowers BAL (13),WR17,37.3,-1,0,4.01,35,,42
38,Tetairoa McMillan CAR (5),WR18,39.2,2,0.3,4.02,37,,37
39,Lamar Jackson BAL (13),QB2,39.9,0,1.9,4.03,34,,32
40,Jaylen Waddle DEN (10),WR19,40.3,2.4,5.1,4.04,52,,46
41,Colston Loveland CHI (10),TE3,42.1,-0.1,1.2,4.05,41,,40
42,Emeka Egbuka TB (10),WR20,42.1,-1.6,-2.8,4.06,44,,39
43,Travis Etienne Jr. NO (8),RB18,42.9,-0.8,1.7,4.07,39,,44
44,Garrett Wilson NYJ (13),WR21,43.8,-0.5,2.3,4.08,32,,45
45,Cam Skattebo NYG (8),RB19,45.3,-3.8,-3.8,4.09,40,,43
46,Bucky Irving TB (10),RB20,48.8,-0.2,-1.5,4.10,49,,41
47,D'Andre Swift CHI (10),RB21,48.8,-1.9,1.1,4.11,56,,55
