TEAM,QB RK,QB PA,RB RK,RB PA,WR RK,WR PA,TE RK,TE PA,K RK,K PA,DST RK,DST PA
Arizona Cardinals,17,17.0,2,25.5,18,25.0,6,12.5,2,10.8,7,8.2
Atlanta Falcons,18,16.9,15,19.9,10,28.2,30,7.9,3,9.8,12,6.8
Baltimore Ravens,12,18.4,18,19.8,5,29.5,27,8.7,6,9.7,16,5.6
Buffalo Bills,28,14.1,6,23.0,25,22.3,31,6.6,26,7.4,24,4.4
Carolina Panthers,27,14.7,7,22.4,24,22.7,16,10.7,19,8.4,9,7.3
Chicago Bears,5,19.7,19,19.4,3,30.2,14,10.7,27,7.1,32,3.4
Cincinnati Bengals,4,20.0,1,27.0,28,21.7,1,18.6,22,7.9,8,8.1
Cleveland Browns,30,13.4,16,19.8,30,21.2,17,10.6,16,8.4,3,10.1
Dallas Cowboys,1,23.9,8,22.1,1,33.9,19,10.0,10,9.4,31,3.6
Denver Broncos,25,15.1,32,16.1,29,21.4,13,11.3,11,9.4,28,3.9
Detroit Lions,10,19.0,25,18.0,2,30.8,18,10.2,13,9.3,27,3.9
Green Bay Packers,21,15.9,20,19.4,14,25.9,23,9.5,21,8.2,30,3.6
Houston Texans,31,13.2,23,18.3,31,20.3,21,9.8,32,4.8,22,4.9
Indianapolis Colts,14,17.6,24,18.3,4,29.9,8,12.4,9,9.6,29,3.8
Jacksonville Jaguars,15,17.5,30,16.4,15,25.8,9,12.3,31,6.3,20,5.3
Kansas City Chiefs,19,16.3,26,17.7,21,23.3,26,8.7,24,7.8,19,5.3
Las Vegas Raiders,16,17.4,9,21.6,9,28.3,29,8.1,14,9.2,1,11.4
Los Angeles Chargers,29,13.8,29,17.2,23,22.9,28,8.5,20,8.3,10,7.1
Los Angeles Rams,20,16.1,22,18.4,12,27.7,22,9.7,23,7.8,26,3.9
Miami Dolphins,11,18.8,12,20.5,19,24.7,3,13.8,25,7.7,11,7.1
Minnesota Vikings,32,12.1,21,18.4,32,20.2,25,8.9,4,9.8,2,10.3
New England Patriots,22,15.7,28,17.3,20,24.4,12,11.3,29,6.4,18,5.3
New Orleans Saints,26,14.9,17,19.8,22,23.0,20,9.9,5,9.8,6,8.5
New York Giants,7,19.5,5,23.5,8,29.0,24,9.1,7,9.6,13,6.8
New York Jets,8,19.4,3,24.8,16,25.2,11,11.9,1,11.2,5,8.9
Philadelphia Eagles,24,15.1,10,21.1,27,22.0,32,6.2,18,8.4,25,4.4
Pittsburgh Steelers,6,19.6,27,17.5,11,28.1,2,13.9,15,9.1,17,5.5
San Francisco 49ers,13,18.0,14,20.0,13,27.1,7,12.4,30,6.4,23,4.7
Seattle Seahawks,23,15.6,31,16.4,26,22.1,10,12.1,28,6.9,21,5.0
Tampa Bay Buccaneers,3,20.4,11,20.8,17,25.0,5,12.9,17,8.4,15,6.2
Tennessee Titans,9,19.1,13,20.4,7,29.2,15,10.7,8,9.6,4,9.3
Washington Commanders,2,20.4,4,24.0,6,29.4,4,13.3,12,9.3,14,6.4
