,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RK,PLAYER,POS,TEAM,ADP,BYE,PROJ_PTS,PROJ_AVG,RUSH_ATT,RUSH_YDS,RUSH_TD,REC_TAR,REC_YDS,REC_TD,PASS_ATT,PASS_YDS,PASS_TD
1,Jahmyr Gibbs,RB,DET,1.8,6,331.4,19.5,256,1293,12,0,523,3,0,0,0
2,Bijan Robinson,RB,ATL,2.5,11,324.9,19.1,280,1372,9,0,507,3,0,0,0
3,Ja'Marr Chase,WR,CIN,3,6,311.1,18.3,3,16,0,0,1336,11,0,0,0
4,Puka Nacua,WR,LAR,4.7,11,312.5,18.4,10,56,0,0,1400,10,0,0,0
5,Christian McCaffrey,RB,SF,5,8,293,17.2,243,1061,7,0,606,4,0,0,0
6,Jaxon Smith-Njigba,WR,SEA,6.4,11,285.8,16.8,6,33,0,0,1343,8,0,0,0
7,Amon-Ra St. Brown,WR,DET,7.1,6,282.5,16.6,0,0,0,0,1249,8,0,0,0
8,Jonathan Taylor,RB,IND,7.1,13,273.3,16.1,287,1386,11,0,278,1,0,0,0
9,CeeDee Lamb,WR,DAL,8,14,270.6,15.9,3,16,0,0,1249,8,0,0,0
10,James Cook,RB,BUF,10.3,7,253.8,14.9,262,1270,11,0,201,2,0,0,0
11,Justin Jefferson,WR,MIN,11.8,6,250.1,14.7,1,6,0,0,1176,7,0,0,0
12,De'Von Achane,RB,MIA,12.1,6,247.4,14.5,219,1106,6,0,438,2,0,0,0
13,Saquon Barkley,RB,PHI,13,10,233.7,13.7,271,1270,8,0,277,2,0,0,0
14,Ashton Jeanty,RB,LV,14.7,13,220.9,13,244,1048,7,0,341,2,0,0,0
15,Omarion Hampton,RB,LAC,15.8,7,247.9,14.6,232,1026,8,0,361,2,0,0,0
16,Chase Brown,RB,CIN,16.7,6,242,14.2,220,985,8,0,417,3,0,0,0
17,Drake London,WR,ATL,17.4,11,235.2,13.8,1,6,0,0,1158,7,0,0,0
18,A.J. Brown,WR,PHI,18.6,10,232.7,13.7,1,6,0,0,1176,8,0,0,0
19,Kenneth Walker,RB,SEA,19.7,9,234,13.8,269,1146,9,0,272,2,0,0,0
20,Derrick Henry,RB,BAL,20.6,13,232.9,13.7,281,1336,12,0,133,1,0,0,0
21,Trey McBride,TE,ARI,21.6,14,224.9,13.2,0,0,0,0,929,7,0,0,0
