rank,teamId,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,apRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance,modelVersion,provenance
1,osu,Ohio State,big-ten,98.57,92.16,98.14,,,88.74,24,,2.29506853,1.1542203,2.46480233,13,prior-fbs-opponent-adjusted,fbs,false,,6.48934911,4.0389238,6.52886465,4.00323362,0.48880706,0.17856778,0.49795811,0.17230484,1.24608425,2.44202899,1.10758822,2.48757566,68.3,0.95067688,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
2,nd,Notre Dame,independents,98.14,98.57,95.15,,,68.64,71,,2.29381191,2.77288746,1.57495836,12,prior-fbs-opponent-adjusted,fbs,false,,7.58193496,4.65047501,7.55341633,4.58420348,0.71681747,0.26041784,0.71399099,0.25395607,2.69481911,1.57952104,3.40205981,1.57039568,51.2,0.29291945,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
3,ore,Oregon,big-ten,97.72,96.86,96.01,,,90.88,19,,2.12283997,1.80652862,1.6264866,14,prior-fbs-opponent-adjusted,fbs,false,,6.95135386,4.38703823,7.01330703,4.34833187,0.55220272,0.28654729,0.56431088,0.2759556,1.93109466,1.92969607,1.81231687,1.32327713,75.3,1.21993432,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
4,ind,Indiana,big-ten,97.29,96.43,95.58,,,82.75,38,,1.9936669,1.74030094,1.58910526,15,prior-fbs-opponent-adjusted,fbs,false,,6.7556432,4.94084232,6.85804654,4.88602919,0.60492414,0.21967655,0.6183671,0.21154633,1.71155347,1.13143055,2.38644451,2.04677998,16.6,-1.03798157,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
5,uga,Georgia,sec,96.86,82.33,93.44,,,96.43,6,,1.77312157,0.44456313,1.20600872,13,prior-fbs-opponent-adjusted,fbs,false,,5.66707968,4.92387248,5.69538029,4.88112032,0.45386925,0.28703253,0.46012031,0.28040485,0.06752208,1.13871826,0.70571532,1.27329917,68.7,0.96606302,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
6,tex,Texas,sec,96.43,88.74,93.87,,,96.86,5,,1.73688767,0.73816229,1.2498728,13,prior-fbs-opponent-adjusted,fbs,false,,5.99765671,4.86196067,6.04324179,4.80437295,0.46755352,0.28864544,0.47250126,0.28273826,0.55940462,1.25265742,0.83721265,1.24708818,72.1,1.0968452,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
7,ttu,Texas Tech,big-12,96.01,88.31,98.57,,,69.5,69,,1.6655297,0.73792638,2.48264223,13,prior-fbs-opponent-adjusted,fbs,false,,5.94853495,3.98708949,5.98588325,3.96721778,0.49071022,0.17654145,0.49513831,0.17388852,0.4782986,2.49549812,1.0776393,2.46978635,53.4,0.37754321,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
8,mia,Miami,acc,95.58,84.04,96.43,,,75.49,55,,1.62532182,0.58311131,1.72550432,15,prior-fbs-opponent-adjusted,fbs,false,,5.99862982,4.68298038,6.0756187,4.57628016,0.45228617,0.24300636,0.46407877,0.22819878,0.60518616,1.59128401,0.74775787,1.85972463,36.9,-0.25713502,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
9,tamu,Texas A&M,sec,95.15,92.59,83.61,,,93.44,13,,1.50023531,1.16157732,0.61098128,12,prior-fbs-opponent-adjusted,fbs,false,,6.46517053,5.26404571,6.5437491,5.18326566,0.48341954,0.35799633,0.49389412,0.3464154,1.26713114,0.69015324,1.06442491,0.53180932,72.8,1.12377095,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
10,usc,USC,big-ten,94.72,97.29,76.34,,,79.33,46,,1.4442267,1.92425302,0.32686229,13,prior-fbs-opponent-adjusted,fbs,false,,7.24244158,5.56452409,7.27422421,5.50286918,0.56322206,0.36409944,0.56716266,0.35476182,2.30003633,0.2156698,1.84260544,0.43805479,59.2,0.60064223,complete-current-cfbd-schedule,cfb-preseason-v1.1-market-anchor,JKB Preseason Power combines a market-informed preseason strength baseline with JoeKnowsBall efficiency data.
