rank,team,conference,jkbPower,jkbOffense,jkbDefense,sosPlayedRating,sosPlayedRank,sosRemainingRating,sosRemainingRank,rawPower,rawOffense,rawDefense,games,priorPerformanceSource,sourceClassification,transitionShrinkageApplied,transitionPriorPerformanceWeight,rawYppOffense,rawYppDefenseAllowed,adjustedYppOffense,adjustedYppDefenseAllowed,rawPointsPerPlayOffense,rawPointsPerPlayDefenseAllowed,adjustedPointsPerPlayOffense,adjustedPointsPerPlayDefenseAllowed,standardizedYppOffense,standardizedYppDefense,standardizedPointsPerPlayOffense,standardizedPointsPerPlayDefense,returningProduction,standardizedReturningProduction,sosProvenance
1,Notre Dame,independents,98.57246376811594,98.57246376811594,95.15217391304348,,,42.992753623188406,131,2.1739229082761424,2.772887459001155,1.5749583575511301,12,prior-fbs-opponent-adjusted,fbs,false,,7.581934955477357,4.650475010366871,7.553416328762825,4.584203483456726,0.7168174741430603,0.2604178376710344,0.7139909850480434,0.25395606513508484,2.694819106075706,1.579521039989672,3.4020598145409076,1.5703956751125885,51.2,0.29291944723679053,complete-current-cfbd-schedule
2,Ohio State,big-ten,98.14492753623189,92.15942028985508,98.14492753623189,,,95.57971014492753,8,1.8095113122469497,1.1542202975618956,2.464802326932004,13,prior-fbs-opponent-adjusted,fbs,false,,6.489349114810031,4.038923797385379,6.5288646507522525,4.003233620108206,0.48880705500196886,0.17856778408359564,0.49795810755182435,0.1723048377345005,1.2460842482342334,2.442028990477704,1.1075882163779764,2.4875756633863033,68.30000000000001,0.9506768848640134,complete-current-cfbd-schedule
3,Oregon,big-ten,97.71739130434783,96.8623188405797,96.0072463768116,,,80.6159420289855,43,1.7165076100453316,1.806528617356919,1.6264866027337443,14,prior-fbs-opponent-adjusted,fbs,false,,6.95135385705961,4.387038229554234,7.013307031054234,4.348331872450557,0.552202718153597,0.2865472893393258,0.564310882867251,0.27595559892044047,1.931094656222588,1.9296960707815842,1.8123168677990884,1.3232771346859045,75.3,1.2199343154716478,complete-current-cfbd-schedule
4,Indiana,big-ten,97.28985507246377,96.43478260869566,95.57971014492753,,,87.8840579710145,26,1.6647030999851693,1.740300935644433,1.5891052643259056,15,prior-fbs-opponent-adjusted,fbs,false,,6.755643204904339,4.940842324047023,6.858046538024243,4.886029187962986,0.6049241387273869,0.21967654653704827,0.6183670964290052,0.21154632717337474,1.7115534723801462,1.1314305516158665,2.3864445105873755,2.046779977035945,16.6,-1.0379815669095194,complete-current-cfbd-schedule
5,Texas Tech,big-12,96.8623188405797,88.31159420289855,98.57246376811594,,,42.565217391304344,132,1.6102843047235598,0.7379263761540067,2.4826422332931126,13,prior-fbs-opponent-adjusted,fbs,false,,5.948534954356095,3.9870894860938924,5.985883254051354,3.9672177767936283,0.490710219984209,0.17654145062688162,0.4951383079595405,0.17388851742144035,0.4782985977461147,2.495498117126223,1.077639302342334,2.4697863494600023,53.400000000000006,0.3775432111420473,complete-current-cfbd-schedule
6,Toledo,mac,96.43478260869566,87.45652173913044,97.28985507246377,,,48.1231884057971,119,1.280001810638901,0.7190705298951783,1.8409330913826238,12,prior-fbs-opponent-adjusted,fbs,false,,6.2228640903159445,4.2432048778147555,6.249133213144224,4.330615288343768,0.44231378380454606,0.23181242532852822,0.4457632411077059,0.2401152575468317,0.8505388665861673,1.9559981143325567,0.5532298242020759,1.7258680684326908,66.3,0.8737461904046885,complete-current-cfbd-schedule
7,North Dakota State,mountain-west,96.0072463768116,94.72463768115942,90.8768115942029,,,45.130434782608695,126,1.1976475792757246,1.2976556075154924,1.0976395510359567,13,prior-fcs-fallback,fcs,true,0.5,7.278134595737546,4.169439912893404,,,0.6653132583005387,,,,1.1527828441464463,1.0976395510359567,1.4425283708845387,,,,complete-current-cfbd-schedule
8,Utah,big-12,95.57971014492753,96.0072463768116,86.17391304347827,,,76.34057971014492,53,1.1702514320826698,1.5548027093492602,0.7857001548160795,12,prior-fbs-opponent-adjusted,fbs,false,,6.670516072450543,5.4128882535635325,6.704762039953987,5.3966319910545355,0.5542784241404778,0.2885383338195093,0.5586759275784788,0.2871073394661991,1.494806381640599,0.37338954985095335,1.7524683622528348,1.1980107597812055,67.9,0.9352907459721482,complete-current-cfbd-schedule
9,North Texas,american,95.15217391304348,98.14492753623189,71.21014492753623,,,61.3768115942029,88,1.163796656185022,2.209114674179214,0.1184786381908301,13,prior-fbs-opponent-adjusted,fbs,false,,7.43812871614393,5.5559586655576005,7.445166811404934,5.566992262817647,0.6496401923235938,0.38392237320779954,0.6496387468251018,0.3833893544441483,2.541752303778912,0.12047266360131541,2.7185787416966196,0.1164846127803448,2.5,-1.5803429628477554,complete-current-cfbd-schedule
10,Miami,acc,94.72463768115942,84.03623188405797,96.43478260869566,,,70.35507246376811,67,1.154307816494114,0.5831113096225744,1.7255043233656537,15,prior-fbs-opponent-adjusted,fbs,false,,5.99862981518029,4.682980378390857,6.075618695789759,4.576280156970679,0.4522861749580407,0.2430063616817536,0.4640787665803188,0.22819878194211654,0.6051861576617489,1.5912840117368454,0.7477578677545005,1.8597246349944623,36.9,-0.25713501814737816,complete-current-cfbd-schedule
11,USC,big-ten,94.29710144927536,97.28985507246377,76.34057971014492,,,79.33333333333333,46,1.1255576578302753,1.9242530220389056,0.32686229362164476,13,prior-fbs-opponent-adjusted,fbs,false,,7.242441578050839,5.564524088473174,7.2742242121753895,5.502869180195776,0.5632220564615129,0.36409944147340906,0.5671626627509451,0.35476182266103673,2.3000363342391985,0.2156698021454645,1.8426054424974607,0.438054785097825,59.199999999999996,0.6006422250740874,complete-current-cfbd-schedule
12,James Madison,sun-belt,93.86956521739131,91.73188405797102,93.01449275362319,,,57.95652173913044,96,1.110731824676535,1.0235722857037728,1.1978913636492972,13,prior-fbs-opponent-adjusted,fbs,false,,6.502182665351669,4.613631588072711,6.507622405747529,4.59035768001183,0.5217552629250194,0.3239543014867144,0.5219808147510342,0.32027887891035245,1.2160473243214176,1.5703845188161818,1.3627318779279913,0.8253982084824126,8,-1.3687835530846137,complete-current-cfbd-schedule
13,Washington,big-ten,93.44202898550725,91.30434782608695,92.58695652173913,,,90.02173913043478,21,1.1060122803432666,1.0184790761966094,1.193545484489924,12,prior-fbs-opponent-adjusted,fbs,false,,6.320029057013286,4.800564699218413,6.344028652605027,4.777730949576383,0.5011800852296403,0.29598995306443965,0.5053519481197947,0.2962883998870176,0.9847227578897272,1.2922101333551326,1.1861177317979137,1.0948808356247155,54.400000000000006,0.41600855837170947,complete-current-cfbd-schedule
14,Vanderbilt,sec,93.01449275362319,97.71739130434783,69.92753623188406,,,78.47826086956522,48,1.1021446145819673,2.1371538042227773,0.06713542494115739,12,prior-fbs-opponent-adjusted,fbs,false,,7.385261942915101,5.707310823556386,7.454031294497582,5.701249129304799,0.5990233330311335,0.37816330599446485,0.606923870514083,0.37478682549351877,2.554286845402037,-0.07884510149816734,2.2649067282023285,0.21311595138048212,35.4,-0.3148330389918714,complete-current-cfbd-schedule
15,South Florida,american,92.58695652173913,95.15217391304348,85.7463768115942,,,51.971014492753625,110,1.095715235006487,1.472852679061987,0.7185777909509872,12,prior-fbs-opponent-adjusted,fbs,false,,6.933049214855534,5.270929901491813,6.934736802290512,5.222702036631038,0.557014485523147,0.32715033811429367,0.5554178976590567,0.3220458861780844,1.8199949121671126,0.6316059875395542,1.717865031488007,0.8055495943624202,12.6,-1.1918429558281678,complete-current-cfbd-schedule
16,Old Dominion,sun-belt,92.15942028985508,86.60144927536231,94.72463768115942,,,52.39855072463768,109,1.0559981045762306,0.6859733721298297,1.4260228370226313,12,prior-fbs-opponent-adjusted,fbs,false,,6.592518472025059,4.750840933418516,6.571436196341216,4.73064437572928,0.4443812041553709,0.2642640517836374,0.4418832586000849,0.26111938687117975,1.306281194245464,1.362114868293173,0.5120207741339395,1.48993080575209,9.2,-1.3226251364090191,complete-current-cfbd-schedule
