slice,n,dateRange,meanJkbProjection,meanLegacyProjection,meanMarketLine,meanActualKs,meanProjMinusLine,medianProjMinusLine,pctJkbOver,pctJkbUnder,pctJkbNeutral,mae,medianAbsError,rmse,meanSignedError,signedErrorCi_lower,signedErrorCi_upper,pctActualOverLine,overSignal_WIN,overSignal_LOSS,overSignal_PUSH,overSignal_decided,overSignal_hitRate,underSignal_WIN,underSignal_LOSS,underSignal_PUSH,underSignal_decided,underSignal_hitRate,allSignal_WIN,allSignal_LOSS,allSignal_PUSH,allSignal_decided,allSignal_hitRate,legacyAllSignal_WIN,legacyAllSignal_LOSS,legacyAllSignal_PUSH,legacyAllSignal_decided,legacyAllSignal_hitRate
line<=4.5,595,2026-07-23..2026-09-06,4.234,4.304,3.813,4.076,0.421,0.268,66.22,33.61,0.17,1.693,1.431,2.114,0.158,-0.011,0.33,51.09,205,188,1,393,52.16,102,98,0,200,51,307,286,1,593,51.77,299,273,1,572,52.27
line=5.5,215,2026-07-23..2026-09-06,5.394,5.434,5.5,5.493,-0.106,-0.08,44.65,55.35,0,1.928,1.574,2.419,-0.099,-0.4,0.226,46.51,47,49,0,96,48.96,66,53,0,119,55.46,113,102,0,215,52.56,109,95,0,204,53.43
line=6.5,94,2026-07-23..2026-09-06,6.234,6.35,6.5,6.17,-0.266,-0.232,28.72,71.28,0,2.201,2,2.668,0.063,-0.484,0.603,40.43,11,16,0,27,40.74,40,27,0,67,59.7,51,43,0,94,54.26,47,45,0,92,51.09
line>=7.5,54,2026-07-23..2026-09-06,7.056,7.324,7.741,7.463,-0.685,-0.783,14.81,85.19,0,2.172,1.692,2.7,-0.407,-1.127,0.336,46.3,3,5,0,8,37.5,24,22,0,46,52.17,27,27,0,54,50,23,30,0,53,43.4
pitcher: top-quartile season K%,246,2026-07-23..2026-09-06,6.199,6.413,5.951,6.045,0.248,0.055,52.03,47.97,0,2.126,1.813,2.629,0.154,-0.182,0.485,46.34,62,66,0,128,48.44,66,52,0,118,55.93,128,118,0,246,52.03,117,122,0,239,48.95
pitcher: top-quartile whiff%,246,2026-07-23..2026-09-06,5.906,6.043,5.612,5.642,0.294,0.102,56.1,43.9,0,2.055,1.729,2.545,0.264,-0.064,0.587,47.56,68,70,0,138,49.28,59,49,0,108,54.63,127,119,0,246,51.63,125,116,0,241,51.87
pitcher: recent K% above season,468,2026-07-24..2026-09-06,5.078,5.199,4.845,4.908,0.233,0.069,55.34,44.66,0,1.872,1.562,2.353,0.17,-0.042,0.384,49.15,134,125,0,259,51.74,113,96,0,209,54.07,247,221,0,468,52.78,236,213,0,449,52.56
pitcher: recent K% below season,452,2026-07-24..2026-09-06,4.761,4.827,4.564,4.739,0.197,0.115,55.97,44.03,0,1.744,1.498,2.157,0.022,-0.181,0.228,49.34,128,124,1,252,50.79,104,95,0,199,52.26,232,219,1,451,51.44,223,212,1,435,51.26
workload: projected IP <5,307,2026-07-23..2026-09-06,4.096,4.142,4.197,4.202,-0.101,-0.166,39.74,60.26,0,1.721,1.416,2.21,-0.106,-0.351,0.149,48.86,65,56,1,121,53.72,100,85,0,185,54.05,165,141,1,306,53.92,160,135,1,295,54.24
workload: projected IP 5-5.49,278,2026-07-23..2026-09-06,4.855,4.767,4.683,4.896,0.172,0.182,60.79,38.85,0.36,1.89,1.551,2.346,-0.04,-0.3,0.225,48.92,82,87,0,169,48.52,55,53,0,108,50.93,137,140,0,277,49.46,132,134,0,266,49.62
workload: projected IP 5.5-5.99,256,2026-07-23..2026-09-06,5.312,5.459,4.961,5.016,0.351,0.124,60.55,39.45,0,1.852,1.58,2.308,0.296,0.015,0.569,48.44,77,78,0,155,49.68,54,47,0,101,53.47,131,125,0,256,51.17,125,119,0,244,51.23
workload: projected IP 6+,117,2026-07-24..2026-09-04,5.803,6.215,5.295,5.59,0.508,0.269,67.52,32.48,0,1.864,1.629,2.241,0.213,-0.182,0.623,48.72,42,37,0,79,53.16,23,15,0,38,60.53,65,52,0,117,55.56,61,55,0,116,52.59
opponent: high K environment,316,2026-07-23..2026-09-06,5.104,4.957,5.169,5.241,-0.066,-0.144,41.77,58.23,0,1.839,1.477,2.352,-0.137,-0.41,0.131,48.42,70,62,0,132,53.03,101,83,0,184,54.89,171,145,0,316,54.11,156,147,0,303,51.49
opponent: neutral K environment,326,2026-07-23..2026-09-06,4.823,4.936,4.52,4.748,0.303,0.143,57.36,42.33,0.31,1.846,1.483,2.289,0.074,-0.181,0.316,50.92,101,85,1,186,54.3,74,64,0,138,53.62,175,149,1,324,54.01,169,144,1,313,53.99
opponent: low K environment,316,2026-07-23..2026-09-06,4.624,4.893,4.345,4.383,0.279,0.241,65.19,34.81,0,1.781,1.573,2.196,0.241,-0.01,0.463,46.84,95,111,0,206,46.12,57,53,0,110,51.82,152,164,0,316,48.1,153,152,0,305,50.16
recency: last5 K% >= season +3pts,168,2026-07-24..2026-09-06,5.317,5.582,5.125,5.488,0.192,0.064,52.38,47.62,0,1.99,1.556,2.5,-0.171,-0.546,0.211,52.98,47,41,0,88,53.41,38,42,0,80,47.5,85,83,0,168,50.6,85,74,0,159,53.46
recency: last5 K% within +/-3pts,585,2026-07-24..2026-09-06,4.873,4.895,4.636,4.699,0.237,0.118,57.26,42.74,0,1.777,1.561,2.22,0.174,-0.007,0.348,49.57,175,160,0,335,52.24,135,115,0,250,54,310,275,0,585,52.99,296,271,0,567,52.2
recency: last5 K% <= season -3pts,178,2026-07-24..2026-09-06,4.659,4.796,4.517,4.562,0.142,0.02,52.25,47.75,0,1.761,1.49,2.153,0.097,-0.216,0.406,44.38,41,51,1,92,44.57,47,38,0,85,55.29,88,89,1,177,49.72,83,86,1,169,49.11
