line,n,dateRange,meanJkbProjection,meanLegacyProjection,meanMarketLine,meanActualKs,meanProjMinusLine,medianProjMinusLine,pctJkbOver,pctJkbUnder,pctJkbNeutral,mae,medianAbsError,rmse,meanSignedError,signedErrorCi_lower,signedErrorCi_upper,pctActualOverLine,overSignal_WIN,overSignal_LOSS,overSignal_PUSH,overSignal_decided,overSignal_hitRate,underSignal_WIN,underSignal_LOSS,underSignal_PUSH,underSignal_decided,underSignal_hitRate,allSignal_WIN,allSignal_LOSS,allSignal_PUSH,allSignal_decided,allSignal_hitRate,legacyAllSignal_WIN,legacyAllSignal_LOSS,legacyAllSignal_PUSH,legacyAllSignal_decided,legacyAllSignal_hitRate
0,28,2026-07-25..2026-08-09,5.101,5.218,0,5.286,5.101,5.339,96.43,0,3.57,2.132,1.892,2.595,-0.185,-1.076,0.766,96.43,26,0,1,26,100,0,0,0,0,,26,0,1,26,100,26,0,1,26,100
0.5,5,2026-07-23..2026-09-02,2.907,3.78,0.5,2.8,2.407,2.873,100,0,0,0.949,0.918,1.236,0.107,-0.812,1.293,100,5,0,0,5,100,0,0,0,0,,5,0,0,5,100,5,0,0,5,100
1.5,7,2026-07-23..2026-08-23,1.997,5.757,1.5,1.143,0.497,0.184,57.14,42.86,0,1.675,1.715,1.96,0.854,-0.45,2.027,28.57,0,4,0,4,0,1,2,0,3,33.33,1,6,0,7,14.29,2,5,0,7,28.57
2.5,26,2026-07-26..2026-08-31,2.799,3.165,2.5,2.885,0.299,0.34,76.92,23.08,0,1.798,1.521,2.224,-0.086,-0.931,0.735,53.85,10,10,0,20,50,2,4,0,6,33.33,12,14,0,26,46.15,14,12,0,26,53.85
3.5,190,2026-07-23..2026-09-06,3.814,3.863,3.5,3.647,0.314,0.345,74.21,25.79,0,1.606,1.364,2.028,0.167,-0.129,0.44,53.68,78,63,0,141,55.32,25,24,0,49,51.02,103,87,0,190,54.21,91,91,0,182,50
4.5,339,2026-07-23..2026-09-06,4.574,4.541,4.5,4.386,0.074,0.101,58.11,41.89,0,1.708,1.434,2.121,0.187,-0.04,0.406,45.43,86,111,0,197,43.65,74,68,0,142,52.11,160,179,0,339,47.2,161,165,0,326,49.39
5.5,215,2026-07-23..2026-09-06,5.394,5.434,5.5,5.493,-0.106,-0.08,44.65,55.35,0,1.928,1.574,2.419,-0.099,-0.4,0.226,46.51,47,49,0,96,48.96,66,53,0,119,55.46,113,102,0,215,52.56,109,95,0,204,53.43
6.5,94,2026-07-23..2026-09-06,6.234,6.35,6.5,6.17,-0.266,-0.232,28.72,71.28,0,2.201,2,2.668,0.063,-0.484,0.603,40.43,11,16,0,27,40.74,40,27,0,67,59.7,51,43,0,94,54.26,47,45,0,92,51.09
7.5,43,2026-07-23..2026-09-06,6.837,7.091,7.5,7.14,-0.663,-0.744,13.95,86.05,0,2.154,1.57,2.721,-0.302,-1.066,0.527,44.19,2,4,0,6,33.33,20,17,0,37,54.05,22,21,0,43,51.16,18,24,0,42,42.86
8.5,9,2026-07-24..2026-08-23,7.827,8.2,8.5,8.889,-0.673,-0.627,22.22,77.78,0,2.278,1.36,2.713,-1.062,-2.768,0.524,55.56,1,1,0,2,50,3,4,0,7,42.86,4,5,0,9,44.44,4,5,0,9,44.44
9.5,2,2026-08-02..2026-08-21,8.284,8.4,9.5,8,-1.216,-1.216,0,100,0,2.098,2.098,2.117,0.284,-1.814,2.381,50,0,0,0,0,,1,1,0,2,50,1,1,0,2,50,1,1,0,2,50
