id,family,label,meanAlpha,p10Alpha,p50Alpha,p90Alpha,n,mae,rmse,signedError,sdProjectedKs,p75ProjectedKs,p90ProjectedKs,p95ProjectedKs,maxProjectedKs,pctAtLeast7,pctAtLeast8,highLineN,highLineSignedError,line75N,line75SignedError,line75PctUnder,line85N,line85SignedError,line85PctUnder,lowMidLineMae,lowLineMae,directionalHitRate,directionalRecord,directionalHitRateHighLine,gatesPassed,allGatesPass
const-0.55-production,constant,Production alpha 0.55,0.55,0.55,0.55,0.55,958,1.7987,2.2702,0.0562,0.9129,5.3873,5.8817,6.1646,7.6012,0.73,0,54,-1.1257,43,-0.9019,97.7,11,-2.0005,100,1.7251,1.66,54.34,520-437-1,51.85,3,false
comb-k85-u0.05,combined,"alpha = BF/(BF+85) + 0.05 * max(0, z)",0.7709,0.5058,0.843,0.909,958,1.79,2.2472,0.1289,1.0762,5.521,6.2177,6.6798,9.171,2.92,0.94,54,-0.4136,43,-0.2747,83.7,11,-0.9567,81.8,1.7132,1.6475,53.29,510-447-1,48.15,4,false
comb-k85-u0.1,combined,"alpha = BF/(BF+85) + 0.1 * max(0, z)",0.7872,0.5078,0.849,0.9642,958,1.7925,2.2486,0.1477,1.0973,5.5275,6.2891,6.7845,9.2055,3.55,0.94,54,-0.3348,43,-0.192,83.7,11,-0.8929,81.8,1.7157,1.65,53.08,508-449-1,48.15,4,false
comb-k85-u0.15,combined,"alpha = BF/(BF+85) + 0.15 * max(0, z)",0.7991,0.5279,0.8535,1,958,1.7949,2.2512,0.1596,1.1087,5.5533,6.3167,6.8058,9.2055,3.76,0.94,54,-0.312,43,-0.1699,83.7,11,-0.8673,81.8,1.7182,1.6527,53.08,508-449-1,48.15,4,false
comb-k100-u0.05,combined,"alpha = BF/(BF+100) + 0.05 * max(0, z)",0.7456,0.4652,0.82,0.888,958,1.7893,2.2468,0.129,1.0598,5.5206,6.1888,6.61,9.09,2.82,0.94,54,-0.4504,43,-0.3102,83.7,11,-0.9986,81.8,1.7124,1.6468,52.98,507-450-1,48.15,4,false
comb-k100-u0.1,combined,"alpha = BF/(BF+100) + 0.1 * max(0, z)",0.7626,0.4685,0.8258,0.943,958,1.7915,2.2475,0.1495,1.0846,5.5253,6.262,6.7611,9.2055,3.44,0.94,54,-0.354,43,-0.2113,83.7,11,-0.9119,81.8,1.7146,1.6492,52.87,506-451-1,48.15,4,false
comb-k100-u0.15,combined,"alpha = BF/(BF+100) + 0.15 * max(0, z)",0.7759,0.489,0.8307,0.9978,958,1.7942,2.2501,0.1633,1.0981,5.54,6.3042,6.8058,9.2055,3.65,0.94,54,-0.3183,43,-0.1762,83.7,11,-0.8738,81.8,1.7174,1.652,52.66,504-453-1,48.15,4,false
comb-k150-u0.05,combined,"alpha = BF/(BF+150) + 0.05 * max(0, z)",0.6742,0.3671,0.7508,0.8249,958,1.7889,2.2468,0.1275,1.0122,5.4866,6.1261,6.5075,8.8491,2.09,0.84,54,-0.5724,43,-0.4191,90.7,11,-1.1719,81.8,1.7121,1.6469,53.92,516-441-1,50,5,false
comb-k150-u0.1,combined,"alpha = BF/(BF+150) + 0.1 * max(0, z)",0.6928,0.3745,0.7558,0.8793,958,1.7901,2.2463,0.1522,1.0477,5.5106,6.1845,6.6787,9.2055,2.82,0.94,54,-0.4265,43,-0.2892,83.7,11,-0.9633,81.8,1.7134,1.6488,53.4,511-446-1,48.15,5,false
comb-k150-u0.15,combined,"alpha = BF/(BF+150) + 0.15 * max(0, z)",0.7089,0.3937,0.7622,0.9334,958,1.7926,2.2479,0.1703,1.0668,5.525,6.2712,6.7588,9.2055,3.55,0.94,54,-0.3532,43,-0.2112,83.7,11,-0.9082,81.8,1.7157,1.6515,53.29,510-447-1,48.15,4,false
