candidate,bucket,n,meanLine,meanActual,meanProjected,signedError,mae,pctUnder,hitRate
const-0.55-production,<=3.5,256,2.902,3.664,4.047,0.382,1.662,10.2,57.25
const-0.55-production,4.5,339,4.5,4.386,4.697,0.311,1.658,30.7,50.15
const-0.55-production,5.5,215,5.5,5.493,5.252,-0.241,1.905,71.2,56.28
const-0.55-production,6.5,94,6.5,6.17,5.779,-0.391,2.182,96.8,58.51
const-0.55-production,7.5,43,7.5,7.14,6.238,-0.902,2.185,97.7,53.49
const-0.55-production,8.5+,11,8.682,8.727,6.727,-2,2.429,100,45.45
ss-k125,<=3.5,256,2.902,3.664,4.02,0.356,1.631,10.2,57.25
ss-k125,4.5,339,4.5,4.386,4.671,0.285,1.655,33.9,50.44
ss-k125,5.5,215,5.5,5.493,5.323,-0.17,1.893,65.6,57.21
ss-k125,6.5,94,6.5,6.17,5.995,-0.176,2.206,90.4,56.38
ss-k125,7.5,43,7.5,7.14,6.623,-0.516,2.19,93,53.49
ss-k125,8.5+,11,8.682,8.727,7.276,-1.451,2.24,100,45.45
cont-slope0.1,<=3.5,256,2.902,3.664,4.06,0.396,1.661,10.2,57.25
cont-slope0.1,4.5,339,4.5,4.386,4.71,0.323,1.665,30.4,49.85
cont-slope0.1,5.5,215,5.5,5.493,5.301,-0.192,1.903,67,57.67
cont-slope0.1,6.5,94,6.5,6.17,5.927,-0.243,2.186,93.6,57.45
cont-slope0.1,7.5,43,7.5,7.14,6.536,-0.603,2.201,90.7,51.16
cont-slope0.1,8.5+,11,8.682,8.727,7.456,-1.271,2.282,100,45.45
comb-k150-u0.05,<=3.5,256,2.902,3.664,4.047,0.383,1.634,9.8,56.86
comb-k150-u0.05,4.5,339,4.5,4.386,4.686,0.3,1.657,32.4,49.56
comb-k150-u0.05,5.5,215,5.5,5.493,5.335,-0.158,1.893,64.2,57.67
comb-k150-u0.05,6.5,94,6.5,6.17,6.036,-0.134,2.209,87.2,55.32
comb-k150-u0.05,7.5,43,7.5,7.14,6.72,-0.419,2.209,90.7,51.16
comb-k150-u0.05,8.5+,11,8.682,8.727,7.555,-1.172,2.211,81.8,45.45
