candidate,fold,trainRange,testRange,n,mae,signedError,sdProjectedKs,highLineN,highLineSignedError,pctAtLeast7,directionalHitRate
const-0.55-production,1,2026-07-23..2026-08-03,2026-08-04..2026-08-11,202,1.8248,0.0116,0.8427,11,-1.1488,0.99,52.48
const-0.55-production,2,2026-07-23..2026-08-11,2026-08-12..2026-08-19,195,1.7965,0.0236,0.8803,4,-1.1484,0.51,49.74
const-0.55-production,3,2026-07-23..2026-08-19,2026-08-20..2026-08-29,192,1.5822,0.2701,0.9272,11,-0.8284,0.52,54.17
const-0.55-production,4,2026-07-23..2026-08-29,2026-08-30..2026-09-06,103,1.9896,0.0555,1.0227,8,1.0956,0,53.4
ss-k125,1,2026-07-23..2026-08-03,2026-08-04..2026-08-11,202,1.8112,0.0366,0.9649,11,-0.6476,1.98,51.98
ss-k125,2,2026-07-23..2026-08-11,2026-08-12..2026-08-19,195,1.7777,0.0859,0.9211,4,-0.586,1.54,49.74
ss-k125,3,2026-07-23..2026-08-19,2026-08-20..2026-08-29,192,1.5742,0.3001,0.9998,11,-0.4433,2.08,54.17
ss-k125,4,2026-07-23..2026-08-29,2026-08-30..2026-09-06,103,2.0193,0.1151,1.1192,8,1.4443,2.91,54.37
cont-slope0.1,1,2026-07-23..2026-08-03,2026-08-04..2026-08-11,202,1.8065,0.0703,0.9295,11,-0.683,1.98,53.47
cont-slope0.1,2,2026-07-23..2026-08-11,2026-08-12..2026-08-19,195,1.8017,0.0727,0.9528,4,-0.5663,1.54,48.72
cont-slope0.1,3,2026-07-23..2026-08-19,2026-08-20..2026-08-29,192,1.5923,0.3138,0.9925,11,-0.4804,2.08,54.69
cont-slope0.1,4,2026-07-23..2026-08-29,2026-08-30..2026-09-06,103,2.0077,0.122,1.1037,8,1.4619,1.94,52.43
comb-k150-u0.05,1,2026-07-23..2026-08-03,2026-08-04..2026-08-11,202,1.8087,0.0636,0.9878,11,-0.4796,1.98,51.98
comb-k150-u0.05,2,2026-07-23..2026-08-11,2026-08-12..2026-08-19,195,1.7789,0.1121,0.9394,4,-0.3666,2.05,49.74
comb-k150-u0.05,3,2026-07-23..2026-08-19,2026-08-20..2026-08-29,192,1.5784,0.3225,1.0157,11,-0.3216,2.08,53.13
comb-k150-u0.05,4,2026-07-23..2026-08-29,2026-08-30..2026-09-06,103,2.0265,0.1464,1.1443,8,1.568,3.88,53.4
