candidate,bucket,n,meanLine,meanActual,meanProjected,signedError,mae,pctUnder,hitRate
const-0.55-production,<100 BF,108,3.597,3.62,3.787,0.167,1.798,41.7,51.85
const-0.55-production,100-249 BF,148,4.223,4.52,4.61,0.09,1.678,35.8,50
const-0.55-production,250-399 BF,179,4.589,4.816,4.804,-0.012,1.718,42.5,55.06
const-0.55-production,400+ BF,523,5.057,5.099,5.146,0.047,1.861,48.4,55.83
ss-k125,<100 BF,108,3.597,3.62,3.953,0.333,1.738,37,50.93
ss-k125,100-249 BF,148,4.223,4.52,4.613,0.093,1.679,33.1,51.35
ss-k125,250-399 BF,179,4.589,4.816,4.793,-0.022,1.712,42.5,56.18
ss-k125,400+ BF,523,5.057,5.099,5.196,0.097,1.853,48.4,55.45
cont-slope0.1,<100 BF,108,3.597,3.62,3.837,0.216,1.826,39.8,51.85
cont-slope0.1,100-249 BF,148,4.223,4.52,4.65,0.129,1.664,33.1,52.7
cont-slope0.1,250-399 BF,179,4.589,4.816,4.833,0.018,1.722,41.3,55.06
cont-slope0.1,400+ BF,523,5.057,5.099,5.216,0.117,1.859,46.8,55.07
comb-k150-u0.05,<100 BF,108,3.597,3.62,3.983,0.363,1.75,37,50.93
comb-k150-u0.05,100-249 BF,148,4.223,4.52,4.641,0.121,1.673,31.1,50.68
comb-k150-u0.05,250-399 BF,179,4.589,4.816,4.811,-0.005,1.715,41.9,56.74
comb-k150-u0.05,400+ BF,523,5.057,5.099,5.226,0.126,1.855,46.3,54.49
