id,family,label,meanAlpha,p10Alpha,p50Alpha,p90Alpha,n,mae,rmse,signedError,sdProjectedKs,p75ProjectedKs,p90ProjectedKs,p95ProjectedKs,maxProjectedKs,pctAtLeast7,pctAtLeast8,highLineN,highLineSignedError,line75N,line75SignedError,line75PctUnder,line85N,line85SignedError,line85PctUnder,lowMidLineMae,lowLineMae,directionalHitRate,directionalRecord,directionalHitRateHighLine,gatesPassed,allGatesPass
const-0.55-production,constant,Production alpha 0.55,0.55,0.55,0.55,0.55,958,1.7987,2.2702,0.0562,0.9129,5.3873,5.8817,6.1646,7.6012,0.73,0,54,-1.1257,43,-0.9019,97.7,11,-2.0005,100,1.7251,1.66,54.34,520-437-1,51.85,3,false
const-0.7,constant,Constant alpha 0.7,0.7,0.7,0.7,0.7,958,1.7973,2.2629,0.0637,1.0072,5.4695,6.0548,6.3899,8.136,1.77,0.1,54,-0.8481,43,-0.6542,93,11,-1.606,100,1.7252,1.6604,53.92,516-441-1,51.85,4,false
const-0.85,constant,Constant alpha 0.85,0.85,0.85,0.85,0.85,958,1.8032,2.2644,0.0714,1.1111,5.5338,6.2042,6.6299,8.6708,2.51,0.73,54,-0.5705,43,-0.4065,90.7,11,-1.2115,100,1.7312,1.6672,53.61,513-444-1,50,4,false
const-1,constant,Constant alpha 1,1,1,1,1,958,1.818,2.2748,0.0792,1.2225,5.6103,6.3741,6.853,9.2055,3.97,1.15,54,-0.2929,43,-0.1588,83.7,11,-0.817,81.8,1.7463,1.6834,52.14,499-458-1,48.15,3,false
ss-k25,sample-size,alpha = BF / (BF + 25),0.8861,0.7672,0.9447,0.9585,958,1.7975,2.2544,0.0998,1.1262,5.5662,6.2806,6.7562,9.0206,3.24,0.94,54,-0.3995,43,-0.2482,83.7,11,-0.9909,81.8,1.7227,1.6581,52.77,505-452-1,48.15,4,false
ss-k50,sample-size,alpha = BF / (BF + 50),0.8215,0.6223,0.8952,0.9204,958,1.7913,2.2494,0.1013,1.0808,5.5321,6.233,6.6409,8.8539,2.61,0.73,54,-0.4905,43,-0.3265,86,11,-1.1313,81.8,1.7155,1.6499,52.77,505-452-1,50,4,false
ss-k75,sample-size,alpha = BF / (BF + 75),0.7697,0.5235,0.8506,0.8851,958,1.7886,2.2475,0.1017,1.0456,5.5184,6.1686,6.5438,8.7029,2.19,0.63,54,-0.5705,43,-0.3963,90.7,11,-1.2513,100,1.7124,1.6465,53.19,509-448-1,50,4,false
ss-k85,sample-size,alpha = BF / (BF + 85),0.7514,0.4922,0.834,0.8718,958,1.7879,2.2473,0.1016,1.0334,5.5149,6.1535,6.521,8.6464,1.88,0.63,54,-0.6,43,-0.4223,90.7,11,-1.295,100,1.7116,1.6455,53.5,512-445-1,50,5,false
ss-k100,sample-size,alpha = BF / (BF + 100),0.726,0.4517,0.8102,0.8525,958,1.7873,2.2472,0.1014,1.0166,5.4994,6.1262,6.4945,8.5655,1.88,0.63,54,-0.6421,43,-0.4592,90.7,11,-1.3568,100,1.711,1.6449,53.81,515-442-1,50,5,false
ss-k125,sample-size,alpha = BF / (BF + 125),0.688,0.3973,0.7736,0.8222,958,1.787,2.2477,0.1007,0.9918,5.4835,6.0747,6.4513,8.4398,1.88,0.63,54,-0.7067,43,-0.5163,93,11,-1.4512,100,1.7108,1.6449,54.44,521-436-1,51.85,5,false
ss-k150,sample-size,alpha = BF / (BF + 150),0.6545,0.3546,0.74,0.794,958,1.7871,2.2488,0.0998,0.9702,5.4722,6.0414,6.3956,8.3245,1.88,0.63,54,-0.7656,43,-0.5684,93,11,-1.5365,100,1.711,1.6452,54.02,517-440-1,51.85,5,false
ss-k200,sample-size,alpha = BF / (BF + 200),0.5976,0.2918,0.681,0.7429,958,1.7879,2.2517,0.0977,0.9343,5.4487,5.9862,6.3319,8.1202,1.67,0.31,54,-0.8692,43,-0.6604,93,11,-1.6853,100,1.712,1.6464,52.66,504-453-1,51.85,3,false
ss-k300,sample-size,alpha = BF / (BF + 300),0.5111,0.2155,0.5873,0.6583,958,1.791,2.2589,0.0932,0.882,5.4048,5.9268,6.2153,7.8574,1.04,0,54,-1.0343,43,-0.8077,93,11,-1.9203,100,1.7152,1.6505,53.81,515-442-1,51.85,3,false
ss-k500,sample-size,alpha = BF / (BF + 500),0.3985,0.1415,0.4606,0.5362,958,1.799,2.2731,0.0853,0.8194,5.3504,5.813,6.0735,7.5305,0.63,0,54,-1.2609,43,-1.0107,100,11,-2.2391,100,1.7215,1.6583,53.61,513-444-1,53.7,2,false
