candidate,bucket,n,meanLine,meanActual,meanProjected,signedError,mae,pctUnder,hitRate
const-0.55-production,skill bottom quartile,240,3.713,4.092,4.104,0.013,1.598,28.7,56.9
const-0.55-production,skill middle 50%,478,4.529,4.548,4.808,0.26,1.747,39.1,52.3
const-0.55-production,skill top quartile,240,5.933,5.971,5.665,-0.306,2.102,71.3,55.83
const-0.55-production,skill top decile,96,6.536,6.521,5.971,-0.549,2.207,82.3,55.21
ss-k125,skill bottom quartile,240,3.713,4.092,4.07,-0.021,1.565,30.4,56.9
ss-k125,skill middle 50%,478,4.529,4.548,4.8,0.252,1.741,40.8,53.56
ss-k125,skill top quartile,240,5.933,5.971,5.893,-0.078,2.101,62.5,53.75
ss-k125,skill top decile,96,6.536,6.521,6.267,-0.253,2.186,71.9,55.21
cont-slope0.1,skill bottom quartile,240,3.713,4.092,4.104,0.013,1.598,28.7,56.9
cont-slope0.1,skill middle 50%,478,4.529,4.548,4.814,0.266,1.748,38.7,52.3
cont-slope0.1,skill top quartile,240,5.933,5.971,5.873,-0.097,2.104,65.4,55.83
cont-slope0.1,skill top decile,96,6.536,6.521,6.359,-0.162,2.214,70.8,56.25
comb-k150-u0.05,skill bottom quartile,240,3.713,4.092,4.106,0.014,1.565,29.2,55.65
comb-k150-u0.05,skill middle 50%,478,4.529,4.548,4.805,0.257,1.742,40,53.56
comb-k150-u0.05,skill top quartile,240,5.933,5.971,5.955,-0.016,2.106,59.2,52.92
comb-k150-u0.05,skill top decile,96,6.536,6.521,6.4,-0.121,2.197,64.6,54.17
