id,family,label,meanAlpha,p10Alpha,p50Alpha,p90Alpha,n,mae,rmse,signedError,sdProjectedKs,p75ProjectedKs,p90ProjectedKs,p95ProjectedKs,maxProjectedKs,pctAtLeast7,pctAtLeast8,highLineN,highLineSignedError,line75N,line75SignedError,line75PctUnder,line85N,line85SignedError,line85PctUnder,lowMidLineMae,lowLineMae,directionalHitRate,directionalRecord,directionalHitRateHighLine,gatesPassed,allGatesPass
const-0.55-production,constant,Production alpha 0.55,0.55,0.55,0.55,0.55,958,1.7987,2.2702,0.0562,0.9129,5.3873,5.8817,6.1646,7.6012,0.73,0,54,-1.1257,43,-0.9019,97.7,11,-2.0005,100,1.7251,1.66,54.34,520-437-1,51.85,3,false
pw-mild,skill-piecewise,"piecewise pct: <p60 0.55, p80 0.65, p90 0.75, p100 0.85",0.5939,0.55,0.55,0.7447,958,1.7997,2.2641,0.1173,0.9969,5.4761,6.0455,6.4861,8.631,2.19,0.52,54,-0.7086,43,-0.5372,93,11,-1.3787,100,1.7254,1.6617,54.65,523-434-1,51.85,4,false
pw-spec,skill-piecewise,"piecewise pct: <p60 0.55, p80 0.7, p90 0.85, p100 0.95",0.6136,0.55,0.55,0.842,958,1.8017,2.2648,0.1431,1.034,5.4903,6.1258,6.6227,8.9875,2.71,0.84,54,-0.5512,43,-0.3949,86,11,-1.1624,81.8,1.7264,1.6627,53.61,513-444-1,46.3,4,false
pw-spec-full,skill-piecewise,"piecewise pct: <p60 0.55, p80 0.7, p90 0.85, p100 1",0.6159,0.55,0.55,0.842,958,1.8025,2.2655,0.1479,1.0447,5.4903,6.1327,6.623,9.1458,3.13,0.84,54,-0.5001,43,-0.3548,83.7,11,-1.0677,81.8,1.7265,1.6628,53.61,513-444-1,48.15,4,false
pw-steep,skill-piecewise,"piecewise pct: <p60 0.55, p80 0.75, p90 0.9, p100 1",0.6267,0.55,0.55,0.892,958,1.8034,2.2659,0.1583,1.0546,5.5026,6.1778,6.679,9.1657,3.34,0.84,54,-0.4714,43,-0.3223,83.7,11,-1.0542,81.8,1.7274,1.6639,53.08,508-449-1,48.15,3,false
pw-toponly,skill-piecewise,"piecewise pct: <p60 0.55, p80 0.55, p90 0.7, p100 1",0.5833,0.55,0.55,0.692,958,1.8007,2.2656,0.1168,1.0167,5.451,5.9999,6.512,9.0862,2.61,0.84,54,-0.586,43,-0.4524,86,11,-1.1083,81.8,1.7245,1.66,54.55,522-435-1,46.3,4,false
cont-slope0.1,skill-continuous,"alpha = 0.55 + 0.1 * max(0, z), z = (skill - league) / 0.045",0.5893,0.55,0.55,0.6809,958,1.7996,2.2629,0.1116,0.9938,5.4468,6.0255,6.4244,8.6504,1.98,0.73,54,-0.7393,43,-0.6032,90.7,11,-1.2713,100,1.7269,1.6633,54.34,520-437-1,50,4,false
cont-slope0.15,skill-continuous,"alpha = 0.55 + 0.15 * max(0, z), z = (skill - league) / 0.045",0.6086,0.55,0.55,0.7463,958,1.8013,2.263,0.1383,1.0364,5.4782,6.0715,6.5371,9.175,2.4,1.15,54,-0.5626,43,-0.4547,90.7,11,-0.9844,81.8,1.728,1.6649,54.44,521-436-1,50,4,false
cont-slope0.2,skill-continuous,"alpha = 0.55 + 0.2 * max(0, z), z = (skill - league) / 0.045",0.6261,0.55,0.55,0.8118,958,1.8021,2.2615,0.1591,1.0613,5.5036,6.157,6.6643,9.2055,3.03,1.15,54,-0.4555,43,-0.3455,88.4,11,-0.8855,81.8,1.729,1.6656,53.61,513-444-1,48.15,4,false
cont-slope0.25,skill-continuous,"alpha = 0.55 + 0.25 * max(0, z), z = (skill - league) / 0.045",0.6422,0.55,0.55,0.8772,958,1.8034,2.2614,0.1768,1.0798,5.5123,6.2207,6.7915,9.2055,3.55,1.15,54,-0.3722,43,-0.2548,83.7,11,-0.8314,81.8,1.7304,1.6669,53.5,512-445-1,48.15,4,false
cont-slope0.3,skill-continuous,"alpha = 0.55 + 0.3 * max(0, z), z = (skill - league) / 0.045",0.6557,0.55,0.55,0.9427,958,1.805,2.2625,0.1897,1.0913,5.5358,6.2888,6.8058,9.2055,3.76,1.15,54,-0.3308,43,-0.2052,83.7,11,-0.822,81.8,1.7322,1.6685,53.08,508-449-1,48.15,3,false
cont-slope0.4,skill-continuous,"alpha = 0.55 + 0.4 * max(0, z), z = (skill - league) / 0.045",0.6759,0.55,0.55,1,958,1.8082,2.2645,0.2057,1.1027,5.558,6.3271,6.8332,9.2055,3.86,1.15,54,-0.3075,43,-0.1772,83.7,11,-0.817,81.8,1.7351,1.6712,52.98,507-450-1,48.15,3,false
cont-twosided-0.2,skill-continuous,alpha = 0.55 + 0.2 * z (two-sided; shrinks weak pitchers harder),0.5511,0.327,0.5342,0.8118,958,1.8061,2.2641,0.2429,0.9964,5.5079,6.157,6.6643,9.2055,3.03,1.15,54,-0.4555,43,-0.3455,88.4,11,-0.8855,81.8,1.7335,1.6757,52.87,506-451-1,48.15,3,false
logi-m1.0-s0.6,skill-logistic,alpha = 0.55 + 0.45 * logistic((z - 1) / 0.6),0.6573,0.5629,0.6139,0.8317,958,1.8017,2.2611,0.1576,1.0635,5.5121,6.1686,6.6525,9.145,2.92,1.15,54,-0.4606,43,-0.3435,90.7,11,-0.9185,81.8,1.7286,1.6648,53.81,515-442-1,50,4,false
logi-m1.25-s0.5,skill-logistic,alpha = 0.55 + 0.45 * logistic((z - 1.25) / 0.5),0.6266,0.5539,0.5795,0.7882,958,1.8009,2.2612,0.1478,1.0516,5.492,6.1273,6.6192,9.153,2.92,1.15,54,-0.4946,43,-0.3831,90.7,11,-0.9305,81.8,1.7278,1.6641,54.23,519-438-1,50,4,false
logi-m1.5-s0.5,skill-logistic,alpha = 0.55 + 0.45 * logistic((z - 1.5) / 0.5),0.6081,0.5524,0.5683,0.7325,958,1.8002,2.2617,0.1334,1.0358,5.4646,6.0644,6.5372,9.1207,2.61,1.15,54,-0.5591,43,-0.4515,90.7,11,-0.9796,81.8,1.727,1.6634,54.65,523-434-1,50,4,false
logi-m1.0-s1.0,skill-logistic,alpha = 0.55 + 0.45 * logistic((z - 1) / 1),0.6858,0.5984,0.6642,0.8095,958,1.8003,2.2605,0.1397,1.0566,5.514,6.1467,6.6127,9.0044,2.71,1.15,54,-0.5246,43,-0.3991,90.7,11,-1.0152,81.8,1.7273,1.6631,53.81,515-442-1,50,4,false
