candidate,bucket,n,meanLine,meanActual,meanProjected,signedError,mae,pctUnder,hitRate
const-0.55-production,IP <5,307,4.197,4.202,4.178,-0.024,1.703,54.7,56.21
const-0.55-production,IP 5-5.49,278,4.683,4.896,4.895,0,1.847,37.8,50
const-0.55-production,IP 5.5-5.99,256,4.961,5.016,5.238,0.223,1.826,40.6,57.03
const-0.55-production,IP 6+,117,5.295,5.59,5.625,0.035,1.876,42.7,53.85
ss-k125,IP <5,307,4.197,4.202,4.182,-0.02,1.694,55.4,54.9
ss-k125,IP 5-5.49,278,4.683,4.896,4.96,0.064,1.827,37.1,50.72
ss-k125,IP 5.5-5.99,256,4.961,5.016,5.283,0.268,1.82,39.5,58.2
ss-k125,IP 6+,117,5.295,5.59,5.73,0.14,1.864,37.6,53.85
cont-slope0.1,IP <5,307,4.197,4.202,4.204,0.002,1.7,53.7,55.88
cont-slope0.1,IP 5-5.49,278,4.683,4.896,4.938,0.042,1.84,36.7,51.08
cont-slope0.1,IP 5.5-5.99,256,4.961,5.016,5.314,0.298,1.838,39.1,57.03
cont-slope0.1,IP 6+,117,5.295,5.59,5.744,0.155,1.879,37.6,52.14
comb-k150-u0.05,IP <5,307,4.197,4.202,4.202,0,1.694,55,54.58
comb-k150-u0.05,IP 5-5.49,278,4.683,4.896,4.98,0.085,1.825,35.3,50.36
comb-k150-u0.05,IP 5.5-5.99,256,4.961,5.016,5.315,0.3,1.826,37.1,56.64
comb-k150-u0.05,IP 6+,117,5.295,5.59,5.776,0.187,1.872,35,54.7
