id,bfModel,alphaModel,n,mae,rmse,signedError,sdProjectedKs,p90ProjectedKs,p95ProjectedKs,maxProjectedKs,pctAtLeast7,pctAtLeast8,highLineN,highLineSignedError,line75N,line75SignedError,line75PctUnder,line85N,line85SignedError,line85PctUnder,lowMidLineMae,directionalHitRate,directionalRecord,directionalHitRateHighLine
production,production,production-0.55,944,1.7691,2.2284,0.0234,0.8872,5.8774,6.1628,7.6012,0.74,0,52,-1.4088,41,-1.2501,97.6,11,-2.0005,100,1.7082,54.08,510-433-1,50
ss-k125-only,production,ss-k125,944,1.7591,2.2025,0.0511,0.9894,6.073,6.4424,8.4398,1.91,0.64,52,-0.9906,41,-0.8671,92.7,11,-1.4512,100,1.6973,54.29,512-431-1,50
robustShortStart-only,robustShortStart,production-0.55,944,1.7673,2.2246,0.0416,0.8777,5.8829,6.1767,7.6012,0.74,0,52,-1.371,41,-1.2021,97.6,11,-2.0005,100,1.7075,53.66,506-437-1,50
ss-k125+robustShortStart,robustShortStart,ss-k125,944,1.7572,2.1985,0.0691,0.9809,6.0896,6.4516,8.4398,1.91,0.64,52,-0.951,41,-0.8169,92.7,11,-1.4512,100,1.6967,53.98,509-434-1,50
seasonBlend20-only,seasonBlend20,production-0.55,944,1.7656,2.2212,0.0359,0.8442,5.8678,6.1458,7.5507,0.64,0,52,-1.3928,41,-1.2318,100,11,-1.993,100,1.7041,52.92,499-444-1,51.92
ss-k125+seasonBlend20,seasonBlend20,ss-k125,944,1.7541,2.1947,0.0634,0.9501,6.0431,6.4342,8.2599,1.91,0.64,52,-0.9735,41,-0.8481,92.7,11,-1.4411,100,1.6922,53.87,508-435-1,50
seasonBlend30-only,seasonBlend30,production-0.55,944,1.7653,2.219,0.0383,0.8374,5.8543,6.1533,7.5278,0.64,0,52,-1.3849,41,-1.2227,100,11,-1.9893,100,1.7037,53.02,500-443-1,51.92
ss-k125+seasonBlend30,seasonBlend30,ss-k125,944,1.7531,2.1922,0.0656,0.9439,6.0334,6.4326,8.2267,2.01,0.53,52,-0.965,41,-0.8386,92.7,11,-1.436,100,1.6914,53.13,501-442-1,50
seasonBlend50-only,seasonBlend50,production-0.55,944,1.7654,2.2169,0.0433,0.828,5.8706,6.1438,7.482,0.74,0,52,-1.3689,41,-1.2044,100,11,-1.9819,100,1.7038,53.76,507-436-1,51.92
ss-k125+seasonBlend50,seasonBlend50,ss-k125,944,1.7526,2.1895,0.0705,0.9351,6.0735,6.4104,8.1767,1.91,0.21,52,-0.9479,41,-0.8197,92.7,11,-1.4259,100,1.6911,53.02,500-443-1,50
volatilityWeighted-only,volatilityWeighted,production-0.55,944,1.771,2.2294,0.0355,0.8808,5.8963,6.1752,7.6217,0.74,0,52,-1.4043,41,-1.2398,97.6,11,-2.0171,100,1.7105,54.29,512-431-1,50
ss-k125+volatilityWeighted,volatilityWeighted,ss-k125,944,1.7606,2.2029,0.0628,0.9823,6.0826,6.4442,8.3952,1.91,0.64,52,-0.9857,41,-0.8561,92.7,11,-1.4685,100,1.6989,54.19,511-432-1,50
sampleSizeBlend-only,sampleSizeBlend,production-0.55,944,1.7743,2.2266,0.0569,0.8272,5.8608,6.1449,7.437,0.74,0,52,-1.3505,41,-1.1872,100,11,-1.9594,100,1.7149,52.92,499-444-1,51.92
ss-k125+sampleSizeBlend,sampleSizeBlend,ss-k125,944,1.761,2.1979,0.0835,0.9307,6.0515,6.4121,8.1275,1.91,0.21,52,-0.9289,41,-0.802,90.2,11,-1.4022,100,1.7019,52.6,496-447-1,48.08
robustPlusSeason30-only,robustPlusSeason30,production-0.55,944,1.7637,2.2167,0.0497,0.8349,5.8775,6.1585,7.5278,0.64,0,52,-1.3584,41,-1.1891,100,11,-1.9893,100,1.7029,53.45,504-439-1,51.92
ss-k125+robustPlusSeason30,robustPlusSeason30,ss-k125,944,1.7516,2.1898,0.0771,0.9418,6.0528,6.4372,8.2267,2.01,0.53,52,-0.9373,41,-0.8035,92.7,11,-1.436,100,1.6907,53.45,504-439-1,50
