target,commonN,estimator,n,mae,rmse,signedError,sdPrediction,sdActual,sdRatio,correlation
battersFaced,923,model,923,2.7474,3.6636,-0.4001,2.4408,3.8907,0.6273,0.4117
battersFaced,923,seasonPerStart,923,2.6839,3.6042,-0.2664,2.3723,3.8907,0.6097,0.4243
battersFaced,923,last3Mean,923,2.9144,3.8553,-0.2438,3.0155,3.8907,0.775,0.4011
battersFaced,923,last5Mean,923,2.7896,3.7107,-0.2448,2.7257,3.8907,0.7006,0.4169
battersFaced,923,last5Median,923,2.7909,3.7716,0.0108,2.7952,3.8907,0.7184,0.4005
battersFaced,923,last5RecencyWeighted,923,2.8042,3.7095,-0.2214,2.8058,3.8907,0.7212,0.4252
battersFaced,923,last5Ewma,923,2.8017,3.7063,-0.2225,2.8002,3.8907,0.7197,0.4257
battersFaced,923,last5TrimmedMean,923,2.7327,3.6888,-0.0147,2.7002,3.8907,0.694,0.4192
battersFaced,923,last5WinsorizedMean,923,2.7432,3.6885,-0.0621,2.688,3.8907,0.6909,0.4182
battersFaced,923,last5ShortExcludedMean,923,2.7277,3.631,-0.0302,2.6271,3.8907,0.6752,0.4325
innings,933,model,933,0.9276,1.2226,-0.0828,0.7518,1.2625,0.5955,0.3527
innings,933,last3Mean,933,0.9887,1.2863,-0.0549,0.9214,1.2625,0.7298,0.3393
innings,933,last5Mean,933,0.9453,1.2479,-0.0584,0.8238,1.2625,0.6525,0.3446
innings,933,last5Median,933,0.9414,1.2768,0.0457,0.8585,1.2625,0.6801,0.3234
innings,933,last5RecencyWeighted,933,0.957,1.2511,-0.0526,0.8563,1.2625,0.6783,0.3528
innings,933,last5Ewma,933,0.9564,1.2519,-0.0528,0.8532,1.2625,0.6758,0.3507
innings,933,last5TrimmedMean,933,0.9377,1.2469,0.0151,0.8201,1.2625,0.6496,0.343
innings,933,last5WinsorizedMean,933,0.9403,1.2453,-0.0043,0.8183,1.2625,0.6481,0.3441
innings,933,last5ShortExcludedMean,933,0.9397,1.2434,0.0395,0.8024,1.2625,0.6356,0.3413
