slice,bucket,n,projBfMean,projBfSd,actualBfMean,actualBfSd,bfSdRatio,bfSignedError,bfMae,projIpMean,projIpSd,actualIpMean,actualIpSd,ipSdRatio,ipSignedError,ipMae
role,established starter (>=15 GS),621,22.6493,1.7356,22.9275,3.7299,0.4653,-0.2782,2.7893,5.4413,0.5856,5.474,1.2407,0.472,-0.0326,0.937
role,mid-sample starter (5-14 GS),227,21.4303,2.0844,22.1982,3.3419,0.6237,-0.768,2.477,5.0755,0.6625,5.2937,1.1006,0.602,-0.2181,0.8762
role,limited-sample starter (<5 GS),96,18.1426,5.388,19.1146,5.4731,0.9844,-0.972,3.7665,4.1402,1.2707,4.3576,1.4078,0.9026,-0.2175,1.0287
volatility,stable recent workload (CV<=median),452,22.7991,2.0304,22.8319,3.597,0.5645,-0.0328,2.4444,5.503,0.6428,5.3997,1.2118,0.5305,0.1033,0.8638
volatility,volatile recent workload (CV>median),451,21.5009,2.0473,22.184,4.0315,0.5078,-0.6831,3.002,5.0641,0.6619,5.3119,1.2678,0.5221,-0.2478,0.9784
volatility,recent short outing,42,20.3286,3.0437,20.4762,5.9602,0.5107,-0.1476,3.9615,4.6442,0.7695,4.9127,1.5338,0.5017,-0.2685,1.1756
volatility,recent long outing,108,21.7541,2.118,22.0556,3.6322,0.5831,-0.3015,2.7438,5.2218,0.7357,5.3117,1.1851,0.6208,-0.0899,0.9215
volatility,last start <2 IP,16,15.8048,5.374,16.375,6.8787,0.7812,-0.5702,4.4816,3.5317,1.2575,3.8125,1.6776,0.7496,-0.2808,1.1006
pitchCount,recent pitches <80,204,18.2248,3.6955,20.348,5.103,0.7242,-2.1232,3.8926,4.2127,0.9083,4.7353,1.3716,0.6622,-0.5226,1.0668
pitchCount,recent pitches 80-89,381,22.0202,0.7132,22.3648,3.642,0.1958,-0.3446,2.7,5.2284,0.3956,5.3097,1.2218,0.3238,-0.0814,0.9565
pitchCount,recent pitches 90-99,329,23.7087,0.7172,23.3343,3.1696,0.2263,0.3744,2.3477,5.7251,0.3757,5.5907,1.1352,0.331,0.1344,0.8404
pitchCount,recent pitches 100+,30,25.4618,0.5645,25.4333,2.4167,0.2336,0.0285,2.0281,6.4573,0.276,6.3667,0.8637,0.3196,0.0906,0.7005
