scope,estimator,n,meanPrediction,meanActualBF,mae,rmse,signedError,sdPrediction
last start <2 IP,model,16,15.8048,16.375,4.4816,5.2974,-0.5702,5.374
last start <2 IP,seasonPerStart,16,17.0074,16.375,2.804,4.1306,0.6324,6.8399
last start <2 IP,last3Mean,15,15.2,16.8667,3.6222,4.7321,-1.6667,4.8743
last start <2 IP,last5Mean,15,16.4278,16.8667,2.9922,4.2291,-0.4389,5.4859
last start <2 IP,last5Median,15,18.1667,16.8667,3.4333,4.5479,1.3,6.5073
last start <2 IP,last5RecencyWeighted,15,15.0533,16.8667,3.6978,4.7453,-1.8133,4.8619
last start <2 IP,last5Ewma,15,14.8158,16.8667,3.8334,4.9046,-2.0508,4.6325
last start <2 IP,last5TrimmedMean,15,18.0278,16.8667,3.2944,4.5996,1.1611,6.6404
last start <2 IP,last5WinsorizedMean,15,17.7733,16.8667,3.152,4.4893,0.9067,6.3185
last start <2 IP,last5ShortExcludedMean,15,18.3644,16.8667,3.2756,4.5508,1.4978,6.8138
