pitcher,opponent,kLine,v2Ks,v3Ks,deltaKs,v2IP,v3IP,seasonIPPerStart,l10IPPerStart,l5IPPerStart,alpha,v2Side,v3Side,directionFlip
MacKenzie Gore,TB,5.5,4.989,4.907,-0.082,5.343,5.249,5.333,5.241,5.241,0.8416,under,under,false
Ian Seymour,TEX,5.5,5.975,6.238,0.263,5.657,5.581,4.833,5.895,5.895,0.6594,over,over,false
Bryan Woo,ATH,6.5,5.258,5.445,0.187,5.416,5.669,5.705,5.73,5.73,0.829,under,under,false
Gage Jump,SEA,5.5,5.578,5.648,0.07,5.186,5.207,5.148,5.268,5.268,0.765,over,over,false
Gerrit Cole,SD,5.5,5.503,5.946,0.443,5.778,5.902,5.778,6.081,6.081,0.7731,over,over,false
Michael King,NYY,5.5,5.765,5.89,0.125,6.156,6.144,5.786,6.344,6.344,0.8412,over,over,false
Paul Skenes,LAA,6.5,4.531,6.037,1.506,3.79,5.089,5.345,5.018,5.018,0.8322,under,under,false
Walbert Ureña,PIT,4.5,5.484,5.342,-0.142,5.23,5.048,5.29,4.964,4.964,0.8031,over,over,false
Aaron Nola,ATL,5.5,4.639,5.739,1.1,4.634,5.49,5.286,5.631,5.631,0.8375,under,over,true
Tyler Mahle,PHI,4.5,4.251,5.297,1.046,4.769,5.893,5.435,6.108,6.108,0.8089,under,over,true
Christian Scott,SF,5.5,5.688,5.581,-0.107,5.319,5.002,4.733,5.108,5.108,0.7672,over,over,false
Cesar Perdomo,NYM,3.5,5.528,,,5.275,,,,,0.55,over,,false
Clay Holmes,MIA,4.5,4.825,4.681,-0.144,5.817,5.781,5.833,5.924,5.924,0.7228,over,over,false
Tyler Phillips,CHC,3.5,3.997,4.003,0.006,4.812,4.795,4.604,4.833,4.833,0.712,over,over,false
Andrew Alvarez,LAD,3.5,4.529,4.595,0.066,5.314,5.221,4.923,5.359,5.359,0.6843,over,over,false
Justin Wrobleski,WSH,4.5,4.95,4.728,-0.222,5.298,5.434,6.117,5.321,5.321,0.7997,over,over,false
Randy Dobnak,TOR,2.5,4.192,3.998,-0.194,5.517,5.3,5.333,5.391,5.391,0.6224,over,over,false
Spencer Arrighetti,KC,3.5,3.955,4.091,0.136,3.926,4.444,5.111,4.205,4.205,0.7646,over,over,false
Eduardo Rodriguez,HOU,4.5,4.994,4.659,-0.335,5.99,6.046,5.964,6.186,6.186,0.8459,over,over,false
Peter Lambert,ARI,4.5,4.801,4.652,-0.149,5.078,4.971,5.528,4.832,4.832,0.8191,over,over,false
Kyle Leahy,COL,2.5,4.059,4.14,0.081,4.331,4.683,4.974,4.527,4.527,0.8134,over,over,false
Tanner Gordon,STL,3.5,4.393,4.606,0.213,5.442,5.27,5.042,5.475,5.475,0.5888,over,over,false
Gavin Williams,DET,7.5,6.081,6.708,0.627,4.946,5.186,5.821,5.046,5.046,0.8402,under,under,false
Jackson Jobe,CLE,3.5,4.08,4.057,-0.023,4.841,4.768,4.667,4.698,4.698,0.4541,over,over,false
Brady Singer,MIL,4.5,4.56,4.875,0.315,5.159,5.513,5.247,5.647,5.647,0.8391,over,over,false
Kyle Harrison,CIN,6.5,6.11,5.871,-0.239,4.604,4.76,4.864,4.689,4.689,0.7903,under,under,false
Bailey Ober,CWS,3.5,4.506,4.303,-0.203,5.198,5.307,5.397,5.315,5.315,0.7924,over,over,false
Bryan Hudson,MIN,0.5,1.041,,,1.182,,,,,,over,,false
Kyle Bradish,BOS,4.5,4.931,4.836,-0.095,5.284,5.421,5.482,5.443,5.443,0.8351,over,over,false
Payton Tolle,BAL,7.5,6.39,6.635,0.245,5.776,5.858,5.696,6.039,6.039,0.8092,under,under,false
