candidate,bucket,n,meanLine,meanActual,meanProjected,signedError,mae,pctUnder,hitRate
"A production (v2 workload, alpha 0.55)",<=3.5,243,2.901,3.704,4.13,0.426,1.636,7,56.61
"A production (v2 workload, alpha 0.55)",4.5,333,4.5,4.411,4.719,0.307,1.656,30,49.85
"A production (v2 workload, alpha 0.55)",5.5,213,5.5,5.521,5.263,-0.258,1.882,71.4,56.34
"A production (v2 workload, alpha 0.55)",6.5,92,6.5,6.304,5.798,-0.506,2.123,96.7,57.61
"A production (v2 workload, alpha 0.55)",7.5,41,7.5,7.488,6.238,-1.25,1.988,97.6,51.22
"A production (v2 workload, alpha 0.55)",8.5+,11,8.682,8.727,6.727,-2,2.429,100,45.45
B ss-k125 only,<=3.5,243,2.901,3.704,4.072,0.368,1.609,7.8,56.61
B ss-k125 only,4.5,333,4.5,4.411,4.676,0.265,1.65,33.6,50.45
B ss-k125 only,5.5,213,5.5,5.521,5.322,-0.199,1.881,65.7,57.28
B ss-k125 only,6.5,92,6.5,6.304,6.015,-0.289,2.144,90.2,55.43
B ss-k125 only,7.5,41,7.5,7.488,6.621,-0.867,1.971,92.7,51.22
B ss-k125 only,8.5+,11,8.682,8.727,7.276,-1.451,2.24,100,45.45
C revised workload only,<=3.5,243,2.901,3.704,4.306,0.603,1.657,2.1,59.09
C revised workload only,4.5,333,4.5,4.411,4.843,0.432,1.666,17.7,48.35
C revised workload only,5.5,213,5.5,5.521,5.356,-0.165,1.895,65.7,50.7
C revised workload only,6.5,92,6.5,6.304,5.805,-0.5,2.113,96.7,59.78
C revised workload only,7.5,41,7.5,7.488,6.354,-1.134,1.931,100,53.66
C revised workload only,8.5+,11,8.682,8.727,6.744,-1.983,2.409,100,45.45
D revised workload + ss-k125,<=3.5,243,2.901,3.704,4.247,0.543,1.624,2.5,57.85
D revised workload + ss-k125,4.5,333,4.5,4.411,4.8,0.388,1.656,21,48.65
D revised workload + ss-k125,5.5,213,5.5,5.521,5.415,-0.106,1.896,59.2,49.77
D revised workload + ss-k125,6.5,92,6.5,6.304,6.025,-0.28,2.126,88,55.43
D revised workload + ss-k125,7.5,41,7.5,7.488,6.743,-0.745,1.907,92.7,51.22
D revised workload + ss-k125,8.5+,11,8.682,8.727,7.3,-1.427,2.26,100,45.45
D-nonzero (site+opponent forced on),<=3.5,243,2.901,3.704,4.247,0.543,1.621,2.5,57.85
D-nonzero (site+opponent forced on),4.5,333,4.5,4.411,4.808,0.397,1.66,20.4,49.25
D-nonzero (site+opponent forced on),5.5,213,5.5,5.521,5.415,-0.106,1.89,58.7,49.3
D-nonzero (site+opponent forced on),6.5,92,6.5,6.304,6.034,-0.271,2.113,89.1,58.7
D-nonzero (site+opponent forced on),7.5,41,7.5,7.488,6.744,-0.743,1.9,92.7,51.22
D-nonzero (site+opponent forced on),8.5+,11,8.682,8.727,7.312,-1.416,2.285,90.9,36.36
