id,weights,scale,capIp,n,ipMae,ipRmse,ipSigned,ipCorrelation,bfN,bfMae,bfSigned,bfCorrelation,meanAbsRegimeAdj,meanAbsSiteAdj,meanAbsOpponentAdj,pctOpponentCapped,validationBfMae,validationBfSigned,validationIpMae,validationIpSigned
50/30/20 scale=0 cap=0.5,50/30/20,0,0.5,602,0.9308,1.2166,-0.018,0.3354,602,2.6985,0.1395,0.4086,0.0116,0,0,0,2.4615,0.1677,0.8563,0.1035
100/0/0 scale=0.5 cap=0.3,100/0/0,0.5,0.3,602,0.9327,1.2173,-0.014,0.3348,602,2.7116,0.1565,0.403,0.0116,0,0.0352,0,2.4669,0.1868,0.8606,0.1079
100/0/0 scale=0.5 cap=0.5,100/0/0,0.5,0.5,602,0.9327,1.2173,-0.014,0.3348,602,2.7116,0.1565,0.403,0.0116,0,0.0352,0,2.4669,0.1868,0.8606,0.1079
100/0/0 scale=0.5 cap=0.7,100/0/0,0.5,0.7,602,0.9327,1.2173,-0.014,0.3348,602,2.7116,0.1565,0.403,0.0116,0,0.0352,0,2.4669,0.1868,0.8606,0.1079
70/20/10 scale=0.5 cap=0.3,70/20/10,0.5,0.3,602,0.9341,1.219,-0.0092,0.3322,602,2.7186,0.1768,0.3984,0.0116,0,0.0393,0,2.4677,0.1806,0.8614,0.1063
70/20/10 scale=0.5 cap=0.5,70/20/10,0.5,0.5,602,0.9341,1.219,-0.0092,0.3322,602,2.7186,0.1768,0.3984,0.0116,0,0.0393,0,2.4677,0.1806,0.8614,0.1063
70/20/10 scale=0.5 cap=0.7,70/20/10,0.5,0.7,602,0.9341,1.219,-0.0092,0.3322,602,2.7186,0.1768,0.3984,0.0116,0,0.0393,0,2.4677,0.1806,0.8614,0.1063
60/25/15 scale=0.5 cap=0.3,60/25/15,0.5,0.3,602,0.9346,1.2197,-0.0076,0.3313,602,2.7217,0.1837,0.3965,0.0116,0,0.0424,0.11,2.4689,0.1784,0.8619,0.1058
60/25/15 scale=0.5 cap=0.5,60/25/15,0.5,0.5,602,0.9346,1.2197,-0.0076,0.3313,602,2.7217,0.1838,0.3965,0.0116,0,0.0424,0,2.4689,0.1784,0.8619,0.1058
60/25/15 scale=0.5 cap=0.7,60/25/15,0.5,0.7,602,0.9346,1.2197,-0.0076,0.3313,602,2.7217,0.1838,0.3965,0.0116,0,0.0424,0,2.4689,0.1784,0.8619,0.1058
50/30/20 scale=0.5 cap=0.3,50/30/20,0.5,0.3,602,0.935,1.2203,-0.006,0.3303,602,2.7247,0.1906,0.3946,0.0116,0,0.0459,0.11,2.4706,0.1764,0.8625,0.1053
50/30/20 scale=0.5 cap=0.5,50/30/20,0.5,0.5,602,0.9351,1.2203,-0.0059,0.3303,602,2.7249,0.1908,0.3945,0.0116,0,0.046,0,2.4706,0.1764,0.8625,0.1053
50/30/20 scale=0.5 cap=0.7,50/30/20,0.5,0.7,602,0.9351,1.2203,-0.0059,0.3303,602,2.7249,0.1908,0.3945,0.0116,0,0.046,0,2.4706,0.1764,0.8625,0.1053
45/35/20 scale=0.5 cap=0.3,45/35/20,0.5,0.3,602,0.9353,1.2206,-0.0051,0.3299,602,2.7254,0.1941,0.3939,0.0116,0,0.0475,0.11,2.4708,0.176,0.8627,0.1052
45/35/20 scale=0.5 cap=0.5,45/35/20,0.5,0.5,602,0.9354,1.2207,-0.0051,0.3298,602,2.7257,0.1944,0.3939,0.0116,0,0.0475,0,2.4708,0.176,0.8627,0.1052
45/35/20 scale=0.5 cap=0.7,45/35/20,0.5,0.7,602,0.9354,1.2207,-0.0051,0.3298,602,2.7257,0.1944,0.3939,0.0116,0,0.0475,0,2.4708,0.176,0.8627,0.1052
100/0/0 scale=1 cap=0.3,100/0/0,1,0.3,602,0.937,1.2203,-0.0121,0.3312,602,2.7409,0.1649,0.392,0.0116,0,0.069,2.75,2.4828,0.2053,0.865,0.1121
100/0/0 scale=1 cap=0.5,100/0/0,1,0.5,602,0.9376,1.2206,-0.0101,0.3311,602,2.7438,0.1735,0.3915,0.0116,0,0.0704,0,2.4829,0.2059,0.8652,0.1122
100/0/0 scale=1 cap=0.7,100/0/0,1,0.7,602,0.9376,1.2206,-0.0101,0.3311,602,2.7438,0.1735,0.3915,0.0116,0,0.0704,0,2.4829,0.2059,0.8652,0.1122
70/20/10 scale=1 cap=0.3,70/20/10,1,0.3,602,0.9398,1.224,-0.0027,0.3257,602,2.7543,0.2047,0.3824,0.0116,0,0.077,2.01,2.4877,0.1915,0.8668,0.1087
70/20/10 scale=1 cap=0.5,70/20/10,1,0.5,602,0.9403,1.2242,-0.0006,0.3258,602,2.7566,0.2135,0.3822,0.0116,0,0.0785,0.11,2.4882,0.1934,0.8672,0.1092
70/20/10 scale=1 cap=0.7,70/20/10,1,0.7,602,0.9404,1.2243,-0.0005,0.3256,602,2.7571,0.214,0.382,0.0116,0,0.0786,0,2.4882,0.1934,0.8672,0.1092
60/25/15 scale=1 cap=0.3,60/25/15,1,0.3,602,0.9407,1.2254,0.0006,0.3239,602,2.7607,0.2188,0.3784,0.0116,0,0.0828,2.44,2.4935,0.1864,0.868,0.1074
60/25/15 scale=1 cap=0.5,60/25/15,1,0.5,602,0.9413,1.2258,0.0027,0.3237,602,2.7634,0.2272,0.3781,0.0116,0,0.0846,0.11,2.4943,0.1891,0.8685,0.1081
60/25/15 scale=1 cap=0.7,60/25/15,1,0.7,602,0.9414,1.2259,0.0029,0.3235,602,2.7642,0.228,0.3778,0.0116,0,0.0848,0,2.4943,0.1891,0.8685,0.1081
50/30/20 scale=1 cap=0.3,50/30/20,1,0.3,602,0.9414,1.2266,0.004,0.3222,602,2.7669,0.2331,0.3746,0.0116,0,0.0895,3.28,2.4994,0.1808,0.8692,0.1061
45/35/20 scale=1 cap=0.3,45/35/20,1,0.3,602,0.9418,1.2272,0.0058,0.3215,602,2.7693,0.2404,0.3733,0.0116,0,0.0923,3.39,2.5011,0.1793,0.8695,0.1057
50/30/20 scale=1 cap=0.5,50/30/20,1,0.5,602,0.9423,1.2275,0.0059,0.3215,602,2.7707,0.241,0.3737,0.0116,0,0.0918,0.11,2.5013,0.1851,0.87,0.1071
50/30/20 scale=1 cap=0.7,50/30/20,1,0.7,602,0.9426,1.2277,0.0062,0.3212,602,2.7718,0.2421,0.3733,0.0116,0,0.0919,0,2.5013,0.1851,0.87,0.1071
45/35/20 scale=1 cap=0.5,45/35/20,1,0.5,602,0.9428,1.2283,0.0076,0.3205,602,2.7734,0.2481,0.3721,0.0116,0,0.0948,0.11,2.5036,0.1843,0.8705,0.1069
100/0/0 scale=1.5 cap=0.3,100/0/0,1.5,0.3,602,0.9412,1.2244,-0.0141,0.3262,602,2.7741,0.1568,0.3798,0.0116,0,0.0979,6.04,2.4997,0.2037,0.8695,0.1116
45/35/20 scale=1 cap=0.7,45/35/20,1,0.7,602,0.9431,1.2285,0.0079,0.3201,602,2.7745,0.2492,0.3717,0.0116,0,0.095,0,2.5036,0.1843,0.8705,0.1069
100/0/0 scale=1.5 cap=0.5,100/0/0,1.5,0.5,602,0.9437,1.2258,-0.0077,0.3251,602,2.7868,0.1837,0.3763,0.0116,0,0.1045,1.48,2.5087,0.225,0.8716,0.1166
70/20/10 scale=1.5 cap=0.3,70/20/10,1.5,0.3,602,0.9438,1.2279,0.0022,0.3214,602,2.7898,0.2258,0.3694,0.0116,0,0.1092,7.52,2.513,0.1893,0.8715,0.1079
100/0/0 scale=1.5 cap=0.7,100/0/0,1.5,0.7,602,0.9444,1.2263,-0.0061,0.3247,602,2.7902,0.1904,0.3754,0.0116,0,0.1056,0,2.5087,0.225,0.8716,0.1166
60/25/15 scale=1.5 cap=0.3,60/25/15,1.5,0.3,602,0.9443,1.229,0.0072,0.3201,602,2.7962,0.2469,0.3657,0.0116,0,0.1166,8.79,2.521,0.1791,0.8729,0.1055
50/30/20 scale=1.5 cap=0.3,50/30/20,1.5,0.3,602,0.9449,1.2303,0.012,0.3186,602,2.8056,0.267,0.3616,0.0116,0,0.1246,10.81,2.5288,0.1709,0.8743,0.1035
70/20/10 scale=1.5 cap=0.5,70/20/10,1.5,0.5,602,0.948,1.2318,0.006,0.3168,602,2.8084,0.2416,0.362,0.0116,0,0.1164,1.69,2.522,0.2055,0.8735,0.1118
45/35/20 scale=1.5 cap=0.3,45/35/20,1.5,0.3,602,0.9452,1.231,0.0142,0.3179,602,2.8087,0.2764,0.3603,0.0116,0,0.1281,11.97,2.5303,0.1701,0.8745,0.1033
70/20/10 scale=1.5 cap=0.7,70/20/10,1.5,0.7,602,0.9486,1.2322,0.0081,0.3167,602,2.8115,0.2501,0.3618,0.0116,0,0.1178,0.11,2.5228,0.2063,0.8737,0.112
60/25/15 scale=1.5 cap=0.5,60/25/15,1.5,0.5,602,0.9496,1.2345,0.0107,0.3132,602,2.8203,0.2615,0.3554,0.0116,0,0.1253,1.91,2.5354,0.1981,0.8754,0.11
60/25/15 scale=1.5 cap=0.7,60/25/15,1.5,0.7,602,0.9503,1.2349,0.0129,0.3133,602,2.8235,0.2707,0.3553,0.0116,0,0.1269,0.11,2.5371,0.1998,0.8759,0.1104
50/30/20 scale=1.5 cap=0.5,50/30/20,1.5,0.5,602,0.9511,1.2373,0.0157,0.3099,602,2.8353,0.2824,0.3487,0.0116,0,0.1356,2.33,2.552,0.1909,0.8778,0.1082
50/30/20 scale=1.5 cap=0.7,50/30/20,1.5,0.7,602,0.952,1.2381,0.0178,0.3096,602,2.8396,0.2914,0.3484,0.0116,0,0.1376,0.21,2.555,0.1939,0.8785,0.1089
45/35/20 scale=1.5 cap=0.5,45/35/20,1.5,0.5,602,0.9518,1.2385,0.0182,0.3085,602,2.8404,0.2932,0.3465,0.0116,0,0.14,2.12,2.5574,0.189,0.8785,0.1077
45/35/20 scale=1.5 cap=0.7,45/35/20,1.5,0.7,602,0.9529,1.2395,0.0203,0.3079,602,2.8453,0.3019,0.3459,0.0116,0,0.1421,0.42,2.5609,0.1925,0.8793,0.1086
