id,family,seasonWeight,last10Weight,last5Weight,n,ipMae,ipRmse,ipSigned,ipCorrelation,bfN,bfMae,bfSigned,bfCorrelation,meanAbsRegimeAdj,meanAbsSiteAdj,meanAbsOpponentAdj,pctOpponentCapped,validationBfMae,validationBfSigned,validationIpMae,validationIpSigned
30/45/25 robust,robust-blend,0.3,0.45,0.25,602,0.9297,1.2147,-0.0264,0.3306,602,2.7047,0.111,0.3949,0,0,0,0,2.4667,0.1597,0.8556,0.1021
35/45/20 robust,robust-blend,0.35,0.45,0.2,602,0.9298,1.214,-0.0304,0.3312,602,2.7072,0.0954,0.3917,0,0,0,0,2.4649,0.1381,0.8555,0.0968
40/40/20 robust,robust-blend,0.4,0.4,0.2,602,0.9296,1.213,-0.0338,0.3324,602,2.7121,0.0818,0.3888,0,0,0,0,2.4617,0.1205,0.8553,0.0926
45/40/15 robust,robust-blend,0.45,0.4,0.15,602,0.9301,1.2128,-0.0378,0.3324,602,2.717,0.0662,0.384,0,0,0,0,2.4618,0.0989,0.8557,0.0873
45/35/20 robust,robust-blend,0.45,0.35,0.2,602,0.9297,1.2123,-0.0373,0.3334,602,2.7182,0.0681,0.3852,0,0,0,0,2.4586,0.1029,0.8552,0.0883
50/30/20 robust,robust-blend,0.5,0.3,0.2,602,0.9299,1.2117,-0.0407,0.3342,602,2.7251,0.0545,0.3809,0,0,0,0,2.4557,0.0853,0.8553,0.084
55/30/15 robust,robust-blend,0.55,0.3,0.15,602,0.9306,1.2119,-0.0447,0.3336,602,2.732,0.0389,0.3747,0,0,0,0,2.4568,0.0637,0.856,0.0788
60/25/15 robust,robust-blend,0.6,0.25,0.15,602,0.9311,1.2117,-0.0481,0.3338,602,2.7404,0.0252,0.369,0,0,0,0,2.4546,0.0461,0.8564,0.0745
35/45/20 raw,raw-blend,0.35,0.45,0.2,602,0.9398,1.2193,-0.0817,0.326,602,2.7472,-0.1211,0.3795,0,0,0,0,2.4921,-0.0801,0.8579,0.0449
30/45/25 raw,raw-blend,0.3,0.45,0.25,602,0.9403,1.2205,-0.0818,0.3249,602,2.7475,-0.1223,0.3813,0,0,0,0,2.4961,-0.0747,0.8583,0.0463
40/40/20 raw,raw-blend,0.4,0.4,0.2,602,0.9391,1.2179,-0.0812,0.3277,602,2.7494,-0.1182,0.3776,0,0,0,0,2.4856,-0.0806,0.8575,0.0447
45/40/15 raw,raw-blend,0.45,0.4,0.15,602,0.9387,1.2172,-0.0812,0.3282,602,2.7517,-0.117,0.3742,0,0,0,0,2.484,-0.086,0.8575,0.0433
45/35/20 raw,raw-blend,0.45,0.35,0.2,602,0.9383,1.2167,-0.0808,0.3292,602,2.7528,-0.1152,0.375,0,0,0,0,2.48,-0.0812,0.8571,0.0445
50/30/20 raw,raw-blend,0.5,0.3,0.2,602,0.9376,1.2157,-0.0803,0.3304,602,2.7573,-0.1123,0.3717,0,0,0,0,2.4756,-0.0818,0.8567,0.0443
55/30/15 raw,raw-blend,0.55,0.3,0.15,602,0.9376,1.2154,-0.0802,0.3303,602,2.7613,-0.1111,0.3668,0,0,0,0,2.476,-0.0872,0.8573,0.0429
60/25/15 raw,raw-blend,0.6,0.25,0.15,602,0.9372,1.2149,-0.0797,0.3309,602,2.7673,-0.1081,0.362,0,0,0,0,2.4725,-0.0878,0.8574,0.0427
season-only,single-window,,,,602,0.9466,1.2244,-0.098,0.3551,,,,,,,,,,,0.877,
last5-only-robust,single-window,,,,602,0.948,1.2452,-0.0018,0.3596,,,,,,,,,,,0.9037,
last10-only-robust,single-window,,,,602,0.949,1.2421,-0.0142,0.3536,,,,,,,,,,,0.8822,
v2-production-ip,single-window,,,,609,0.9577,1.2503,-0.1226,0.3665,,,,,,,,,,,0.8846,
last10-only-raw,single-window,,,,602,0.9629,1.2517,-0.1087,0.3489,,,,,,,,,,,0.8863,
last5-only-raw,single-window,,,,602,0.9642,1.2563,-0.0974,0.353,,,,,,,,,,,0.9109,
