pitcher,opponent,role,kLine,seasonIPPerStart,l10IPPerStart,l5IPPerStart,v2IP,v3NeutralIP,v3FinalIP,v2BF,v3BF,seasonBF,alpha,v2KRate,v3KRate,v2Ks,v3Ks,deltaKs,v2Side,v3Side,windowProvenance
Paul Skenes,LAA,starter,6.5,5.345,5.306,5.018,3.79,5.227,5.226,16.839,21.984,620,0.8322,0.2691,0.2815,4.531,6.189,1.658,under,under,full season + L10 + L5
Aaron Nola,ATL,starter,5.5,5.286,5.629,5.631,4.634,5.489,5.499,19.456,23.296,644,0.8375,0.2384,0.247,4.639,5.755,1.116,under,over,full season + L10 + L5
Tyler Mahle,PHI,starter,4.5,5.435,5.896,6.108,4.769,5.743,5.782,19.322,23.58,529,0.8089,0.22,0.2227,4.251,5.252,1.001,under,over,full season + L10 + L5
Gavin Williams,DET,starter,7.5,5.821,5.833,5.046,4.946,5.588,5.588,21.775,22.878,657,0.8402,0.2792,0.3059,6.081,6.999,0.918,under,under,full season + L10 + L5
Gerrit Cole,SD,starter,5.5,5.778,6.144,6.081,5.778,5.913,5.938,23.002,24.295,426,0.7731,0.2392,0.245,5.503,5.952,0.449,over,over,full season + L10 + L5
Brady Singer,MIL,starter,4.5,5.247,5.99,5.647,5.159,5.632,5.706,22.43,25.451,652,0.8391,0.2033,0.1949,4.56,4.96,0.4,over,over,full season + L10 + L5
Eduardo Rodriguez,HOU,starter,4.5,5.964,5.988,6.186,5.99,5.96,5.96,25.163,24.673,686,0.8459,0.1985,0.1884,4.994,4.648,-0.346,over,over,full season + L10 + L5
Spencer Arrighetti,KC,starter,3.5,5.111,4.671,4.205,3.926,4.715,4.694,19.337,21.169,406,0.7646,0.2045,0.2032,3.955,4.301,0.346,over,over,full season + L10 + L5
Kyle Harrison,CIN,starter,6.5,4.864,4.822,4.689,4.604,4.815,4.815,22.436,20.577,471,0.7903,0.2723,0.2832,6.11,5.828,-0.282,under,under,full season + L10 + L5
Bryan Woo,ATH,starter,6.5,5.705,5.617,5.73,5.416,5.622,5.622,22.441,23.019,606,0.829,0.2343,0.2395,5.258,5.513,0.255,under,under,full season + L10 + L5
Randy Dobnak,TOR,starter,2.5,5.333,5.38,5.391,5.517,5.296,5.296,23.845,22.915,206,0.6224,0.1758,0.1723,4.192,3.948,-0.244,over,over,full season + L10 + L5
Christian Scott,SF,starter,5.5,4.733,5.03,5.108,5.319,4.961,4.969,23.57,21.837,412,0.7672,0.2413,0.2497,5.688,5.453,-0.235,over,under,full season + L10 + L5
Bailey Ober,CWS,starter,3.5,5.397,5.16,5.315,5.198,5.244,5.237,22.039,22.281,477,0.7924,0.2045,0.1922,4.506,4.282,-0.224,over,over,full season + L10 + L5
Kyle Leahy,COL,starter,2.5,4.974,4.966,4.527,4.331,4.867,4.867,18.955,19.953,545,0.8134,0.2141,0.2134,4.059,4.259,0.2,over,over,full season + L10 + L5
Payton Tolle,BAL,starter,7.5,5.696,5.753,6.039,5.776,5.74,5.74,23.433,22.996,530,0.8092,0.2727,0.2854,6.39,6.563,0.173,under,under,full season + L10 + L5
Tanner Gordon,STL,starter,3.5,5.042,5.103,5.475,5.442,5.136,5.136,21.726,22.518,179,0.5888,0.2022,0.2011,4.393,4.528,0.135,over,over,full season + L10 + L5
Tyler Phillips,CHC,starter,3.5,4.604,4.4,4.833,4.812,4.614,4.614,19.759,19.436,309,0.712,0.2023,0.2,3.997,3.886,-0.111,over,over,full season + L10 + L5
Clay Holmes,MIA,starter,4.5,5.833,5.955,5.924,5.817,5.793,5.794,23.076,23.152,326,0.7228,0.2091,0.2046,4.825,4.736,-0.089,over,over,full season + L10 + L5
Kyle Bradish,BOS,starter,4.5,5.482,5.677,5.443,5.284,5.519,5.521,23.701,23.731,633,0.8351,0.208,0.2048,4.931,4.859,-0.072,over,over,full season + L10 + L5
Justin Wrobleski,WSH,starter,4.5,6.117,5.872,5.321,5.298,5.731,5.723,23.741,24.079,499,0.7997,0.2085,0.2028,4.95,4.884,-0.066,over,over,full season + L10 + L5
MacKenzie Gore,TB,starter,5.5,5.333,5.439,5.241,5.343,5.333,5.333,24.208,23.119,664,0.8416,0.2061,0.2129,4.989,4.923,-0.066,under,under,full season + L10 + L5
Andrew Alvarez,LAD,starter,3.5,4.923,5.194,5.359,5.314,5.129,5.136,21.334,21.472,271,0.6843,0.2123,0.2131,4.529,4.575,0.046,over,over,full season + L10 + L5
