id,siteScale,siteShrinkK,siteCapIp,n,ipMae,ipRmse,ipSigned,ipCorrelation,bfN,bfMae,bfSigned,bfCorrelation,meanAbsRegimeAdj,meanAbsSiteAdj,meanAbsOpponentAdj,pctOpponentCapped,validationBfMae,validationBfSigned,validationIpMae,validationIpSigned
scale=0 k=4 cap=0.15,0,4,0.15,602,0.9308,1.2166,-0.018,0.3354,602,2.6985,0.1395,0.4086,0.0116,0,0,0,2.4615,0.1677,0.8563,0.1035
scale=0.5 k=14 cap=0.15,0.5,14,0.15,602,0.929,1.2137,-0.017,0.3404,602,2.7016,0.1442,0.4104,0.0116,0.0373,0,0,2.4712,0.164,0.8596,0.1025
scale=0.5 k=14 cap=0.25,0.5,14,0.25,602,0.9291,1.2137,-0.017,0.3404,602,2.7017,0.1441,0.4104,0.0116,0.0373,0,0,2.4712,0.164,0.8596,0.1025
scale=0.5 k=14 cap=0.4,0.5,14,0.4,602,0.9291,1.2137,-0.017,0.3404,602,2.7017,0.1441,0.4104,0.0116,0.0373,0,0,2.4712,0.164,0.8596,0.1025
scale=0.5 k=8 cap=0.15,0.5,8,0.15,602,0.9287,1.2129,-0.0167,0.3419,602,2.7047,0.1458,0.4097,0.0116,0.0505,0,0,2.4764,0.1629,0.8606,0.1023
scale=0.75 k=14 cap=0.15,0.75,14,0.15,602,0.9287,1.2129,-0.0166,0.3419,602,2.7055,0.1461,0.4093,0.0116,0.0545,0,0,2.4807,0.1633,0.8612,0.1024
scale=0.5 k=8 cap=0.25,0.5,8,0.25,602,0.9288,1.2129,-0.0166,0.3419,602,2.7057,0.1461,0.4097,0.0116,0.0513,0,0,2.4771,0.1621,0.861,0.1021
scale=0.5 k=8 cap=0.4,0.5,8,0.4,602,0.9288,1.2129,-0.0166,0.3419,602,2.7057,0.1461,0.4097,0.0116,0.0513,0,0,2.4771,0.1621,0.861,0.1021
scale=0.75 k=14 cap=0.25,0.75,14,0.25,602,0.9288,1.213,-0.0165,0.3419,602,2.7067,0.1464,0.4093,0.0116,0.056,0,0,2.4809,0.1621,0.8616,0.1021
scale=0.75 k=14 cap=0.4,0.75,14,0.4,602,0.9288,1.213,-0.0165,0.3419,602,2.7067,0.1464,0.4093,0.0116,0.056,0,0,2.4809,0.1621,0.8616,0.1021
scale=0.5 k=4 cap=0.15,0.5,4,0.15,602,0.9284,1.2122,-0.0159,0.3433,602,2.7084,0.149,0.4087,0.0116,0.0649,0,0,2.4837,0.1591,0.8618,0.1014
scale=1 k=14 cap=0.15,1,14,0.15,602,0.9286,1.2127,-0.016,0.3427,602,2.7103,0.1484,0.4075,0.0116,0.0686,0,0,2.4917,0.162,0.8629,0.102
scale=0.75 k=8 cap=0.15,0.75,8,0.15,602,0.9285,1.2124,-0.016,0.3431,602,2.7105,0.1486,0.4076,0.0116,0.0703,0,0,2.4909,0.1604,0.8629,0.1017
scale=0.75 k=4 cap=0.15,0.75,4,0.15,602,0.9288,1.2124,-0.0156,0.3434,602,2.7131,0.1501,0.4058,0.0116,0.0851,0,0,2.4994,0.1535,0.8653,0.1001
scale=0.5 k=4 cap=0.25,0.5,4,0.25,602,0.9286,1.212,-0.0159,0.3436,602,2.7132,0.1494,0.408,0.0116,0.069,0,0,2.4853,0.1598,0.863,0.1015
scale=0.5 k=4 cap=0.4,0.5,4,0.4,602,0.9286,1.2121,-0.0159,0.3435,602,2.7136,0.1493,0.4077,0.0116,0.0692,0,0,2.4849,0.1597,0.863,0.1014
scale=1 k=4 cap=0.15,1,4,0.15,602,0.9288,1.2128,-0.0152,0.3431,602,2.7139,0.1519,0.4052,0.0116,0.0976,0,0,2.5086,0.1519,0.8679,0.0997
scale=1 k=14 cap=0.25,1,14,0.25,602,0.9288,1.2127,-0.016,0.3429,602,2.714,0.1486,0.407,0.0116,0.0742,0,0,2.4903,0.1609,0.8637,0.1017
scale=1 k=8 cap=0.15,1,8,0.15,602,0.9287,1.2126,-0.0157,0.3431,602,2.7141,0.1499,0.4057,0.0116,0.0844,0,0,2.5013,0.1551,0.8656,0.1004
scale=1 k=14 cap=0.4,1,14,0.4,602,0.9289,1.2127,-0.016,0.3428,602,2.7145,0.1487,0.4071,0.0116,0.0747,0,0,2.4915,0.1603,0.864,0.1016
scale=0.75 k=8 cap=0.25,0.75,8,0.25,602,0.9288,1.2124,-0.016,0.3433,602,2.7157,0.149,0.4067,0.0116,0.0764,0,0,2.491,0.16,0.8639,0.1015
scale=0.75 k=8 cap=0.4,0.75,8,0.4,602,0.9289,1.2124,-0.0159,0.3433,602,2.7164,0.1494,0.4066,0.0116,0.0769,0,0,2.4916,0.1594,0.8642,0.1014
scale=0.75 k=4 cap=0.25,0.75,4,0.25,602,0.9288,1.2119,-0.0148,0.3447,602,2.7263,0.1541,0.4032,0.0116,0.0995,0,0,2.5036,0.1552,0.8667,0.1004
scale=1 k=8 cap=0.25,1,8,0.25,602,0.929,1.2124,-0.0151,0.344,602,2.7269,0.1527,0.4028,0.0116,0.0985,0,0,2.5072,0.1588,0.867,0.1012
scale=1 k=8 cap=0.4,1,8,0.4,602,0.9296,1.2128,-0.0151,0.3438,602,2.7323,0.153,0.4016,0.0116,0.1025,0,0,2.5089,0.1566,0.8681,0.1007
scale=0.75 k=4 cap=0.4,0.75,4,0.4,602,0.9295,1.2123,-0.0148,0.3445,602,2.7338,0.1545,0.4013,0.0116,0.1037,0,0,2.5076,0.1557,0.8681,0.1004
scale=1 k=4 cap=0.25,1,4,0.25,602,0.9293,1.2128,-0.0142,0.3444,602,2.7395,0.1564,0.3979,0.0116,0.1237,0,0,2.5269,0.1491,0.8713,0.099
scale=1 k=4 cap=0.4,1,4,0.4,602,0.9307,1.2138,-0.014,0.3437,602,2.7556,0.158,0.3929,0.0116,0.136,0,0,2.5294,0.1524,0.8729,0.0996
