game_id,season,week,team,opponent,plays,first_downs,third_attempts,third_conversions
2026_01_ARI_LAC,2026,1,ari,lac,69,22,13,6
2026_01_ARI_LAC,2026,1,lac,ari,51,15,8,2
2026_01_ATL_PIT,2026,1,atl,pit,57,14,12,2
2026_01_ATL_PIT,2026,1,pit,atl,61,13,12,3
2026_01_BAL_IND,2026,1,bal,ind,60,23,8,3
2026_01_BAL_IND,2026,1,ind,bal,53,16,10,3
2026_01_BUF_HOU,2026,1,buf,hou,51,18,9,3
2026_01_BUF_HOU,2026,1,hou,buf,73,21,16,7
2026_01_CHI_CAR,2026,1,car,chi,62,22,9,4
2026_01_CHI_CAR,2026,1,chi,car,70,24,14,10
2026_01_CLE_JAX,2026,1,cle,jax,49,14,8,1
2026_01_CLE_JAX,2026,1,jax,cle,53,21,9,5
2026_01_DAL_NYG,2026,1,dal,nyg,52,16,11,8
2026_01_DAL_NYG,2026,1,nyg,dal,65,26,10,9
2026_01_DEN_KC,2026,1,den,kc,46,8,12,2
2026_01_DEN_KC,2026,1,kc,den,64,18,16,9
2026_01_GB_MIN,2026,1,gb,min,67,19,12,3
2026_01_GB_MIN,2026,1,min,gb,58,15,14,8
2026_01_MIA_LV,2026,1,lv,mia,64,20,12,5
2026_01_MIA_LV,2026,1,mia,lv,50,11,10,2
2026_01_NE_SEA,2026,1,ne,sea,67,17,16,5
2026_01_NE_SEA,2026,1,sea,ne,47,13,11,2
2026_01_NO_DET,2026,1,det,no,73,25,13,5
2026_01_NO_DET,2026,1,no,det,85,26,17,8
2026_01_NYJ_TEN,2026,1,nyj,ten,60,18,11,2
2026_01_NYJ_TEN,2026,1,ten,nyj,49,10,12,4
2026_01_SF_LA,2026,1,lar,sf,56,13,9,2
2026_01_SF_LA,2026,1,sf,lar,64,22,12,7
2026_01_TB_CIN,2026,1,cin,tb,62,24,14,8
2026_01_TB_CIN,2026,1,tb,cin,51,17,10,5
2026_01_WAS_PHI,2026,1,phi,wsh,51,10,14,6
2026_01_WAS_PHI,2026,1,wsh,phi,67,19,15,5
2026_02_DET_BUF,2026,2,buf,det,66,31,11,9
2026_02_DET_BUF,2026,2,det,buf,62,22,11,4
