season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2024,REG,ARI,1,00-0039521,WR,Xavier Weaver,Xavier,Weaver,Oblique,,Out,Oblique,,Did Not Participate In Practice,2024-09-06T19:05:30Z
2024,REG,ARI,1,00-0037141,S,Joey Blount,Joey,Blount,Back,,Questionable,Back,,Limited Participation in Practice,2024-09-06T19:05:21Z
2024,REG,ARI,1,00-0039737,TE,Tip Reiman,Tip,Reiman,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2024-09-06T19:05:21Z
2024,REG,ATL,1,00-0031583,DT,Grady Jarrett,Grady,Jarrett,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T18:35:04Z
2024,REG,ATL,1,00-0033051,DT,David Onyemata,David,Onyemata,,,,Not injury related - resting player,,Did Not Participate In Practice,2024-09-06T18:35:48Z
2024,REG,ATL,1,00-0037587,LB,Nate Landman,Nate,Landman,,,,Quadricep,,Full Participation in Practice,2024-09-06T18:33:05Z
2024,REG,ATL,1,00-0036970,TE,Kyle Pitts,Kyle,Pitts,,,,Hamstring,,Full Participation in Practice,2024-09-06T18:32:46Z
2024,REG,ATL,1,00-0036948,DE,Ta'Quon Graham,Ta'Quon,Graham,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-06T18:34:43Z
2024,REG,ATL,1,00-0031279,T,Jake Matthews,Jake,Matthews,,,,Not injury related - resting player,,Limited Participation in Practice,2024-09-06T18:34:09Z
2024,REG,ATL,1,00-0032933,CB,Antonio Hamilton,Antonio,Hamilton,Groin,,Out,Groin,,Did Not Participate In Practice,2024-09-06T18:36:29Z
2024,REG,BAL,1,00-0031360,LB,Kyle Van Noy,Kyle,Van Noy,gameday concussion protocol evaluation,Eye,Out,,,"
    ",2024-09-06T03:11:40Z
2024,REG,BAL,1,00-0039791,LB,Adisa Isaac,Adisa,Isaac,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2024-09-04T16:29:36Z
2024,REG,BAL,1,00-0039796,RB,Rasheen Ali,Rasheen,Ali,Neck,,Doubtful,Neck,,Limited Participation in Practice,2024-09-04T16:29:28Z
2024,REG,BUF,1,00-0039872,S,Cole Bishop,Cole,Bishop,,,,Shoulder,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0036590,TE,Quintin Morris,Quintin,Morris,,,,Shoulder,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0033282,WR,Curtis Samuel,Curtis,Samuel,,,,Toe,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0033869,QB,Mitchell Trubisky,Mitchell,Trubisky,,,,Knee,,Full Participation in Practice,2024-09-07T20:07:55Z
2024,REG,BUF,1,00-0039879,DE,Javon Solomon,Javon,Solomon,Oblique,,Out,Oblique,,Did Not Participate In Practice,2024-09-06T19:35:04Z
2024,REG,BUF,1,00-0033907,DE,Dawuane Smoot,Dawuane,Smoot,Toe,,Questionable,Toe,,Did Not Participate In Practice,2024-09-06T19:35:24Z
2024,REG,CAR,1,00-0031785,CB,Troy Hill,Troy,Hill,,,,Heel,,Full Participation in Practice,2024-09-06T18:14:56Z
2024,REG,CAR,1,00-0035243,RB,Miles Sanders,Miles,Sanders,,,,Finger,,Full Participation in Practice,2024-09-06T18:15:09Z
2024,REG,CAR,1,00-0034365,TE,Ian Thomas,Ian,Thomas,Calf,,Out,Calf,,Did Not Participate In Practice,2024-09-06T18:15:34Z
2024,REG,CAR,1,00-0037005,TE,Tommy Tremble,Tommy,Tremble,Hamstring,Back,Out,Hamstring,Back,Did Not Participate In Practice,2024-09-06T18:15:52Z
2024,REG,CAR,1,00-0035084,T,Yosuah Nijman,Yosuah,Nijman,Tibia,,Questionable,Tibia,,Limited Participation in Practice,2024-09-06T18:16:06Z
2024,REG,CHI,1,00-0039822,T,Kiran Amegadjie,Kiran,Amegadjie,,,,Quadricep,,Full Participation in Practice,2024-09-06T19:09:42Z
2024,REG,CHI,1,00-0035382,C,Ryan Bates,Ryan,Bates,,,,Shoulder,,Full Participation in Practice,2024-09-06T19:09:16Z
2024,REG,CHI,1,00-0039021,RB,Roschon Johnson,Roschon,Johnson,,,,Toe,,Full Participation in Practice,2024-09-06T19:09:51Z
2024,REG,CHI,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,,,,Not injury related - resting player,,Full Participation in Practice,2024-09-06T19:09:24Z
2024,REG,CHI,1,00-0038937,DT,Zacch Pickens,Zacch,Pickens,Groin,,Out,Groin,,Did Not Participate In Practice,2024-09-06T19:11:41Z
2024,REG,CHI,1,00-0036413,DE,Darrell Taylor,Darrell,Taylor,Foot,,Questionable,Foot,,Did Not Participate In Practice,2024-09-06T19:11:10Z
2024,REG,CHI,1,00-0030279,WR,Keenan Allen,Keenan,Allen,Heel,,Questionable,Heel,,Full Participation in Practice,2024-09-06T19:11:10Z
2024,REG,CHI,1,00-0035647,DE,Montez Sweat,Montez,Sweat,Toe,,Questionable,Toe,,Full Participation in Practice,2024-09-06T19:11:10Z
2024,REG,CHI,1,00-0033782,DE,DeMarcus Walker,DeMarcus,Walker,Groin,,Questionable,Groin,,Limited Participation in Practice,2024-09-06T19:11:10Z
