game_id,season,week,team,opponent,all_offEpa,all_offPlays,all_successNum,all_successDen,all_epaPosNum,all_epaPosDen,all_earlyEpa,all_earlyPlays,all_earlySuccessNum,all_earlySuccessDen,all_passEpa,all_passPlays,all_passSuccessNum,all_passSuccessDen,all_rushEpa,all_rushPlays,all_rushSuccessNum,all_rushSuccessDen,all_explosivePass,all_explosiveRush,all_thirdEpa,all_thirdPlays,all_thirdSuccessNum,all_thirdSuccessDen,all_thirdRawConvNum,all_thirdRawConvDen,all_sacks,all_dropbacks,filtered_offEpa,filtered_offPlays,filtered_successNum,filtered_successDen,filtered_epaPosNum,filtered_epaPosDen,filtered_earlyEpa,filtered_earlyPlays,filtered_earlySuccessNum,filtered_earlySuccessDen,filtered_passEpa,filtered_passPlays,filtered_passSuccessNum,filtered_passSuccessDen,filtered_rushEpa,filtered_rushPlays,filtered_rushSuccessNum,filtered_rushSuccessDen,filtered_explosivePass,filtered_explosiveRush,filtered_thirdEpa,filtered_thirdPlays,filtered_thirdSuccessNum,filtered_thirdSuccessDen,filtered_thirdRawConvNum,filtered_thirdRawConvDen,filtered_sacks,filtered_dropbacks,drivesOff,drivePointsOff,oppTouchdownAgainst,safetyAgainst
2026_01_ARI_LAC,2026,1,ari,lac,10.018772343846194,72,34,72,35,72,7.9203176081192,59,28,59,11.347910712778436,42,22,42,-1.329138368932244,30,12,30,4,2,2.098454735726991,13,6,13,6,13,1,42,13.060807897083329,67,33,67,34,67,9.733084912657487,56,27,56,12.944028797864785,41,22,41,0.1167790992185418,26,11,26,4,2,3.32772298442584,11,6,11,6,11,0,41,11,26,0,0
2026_01_ARI_LAC,2026,1,lac,ari,-9.172669976891502,55,21,55,22,55,-2.269504485186204,44,19,44,-3.405569054011738,39,14,39,-5.767100922879763,16,7,16,5,1,0.10174123308389363,8,2,8,2,8,3,39,-3.616859605768707,49,21,49,21,49,-0.672755547799185,42,19,42,2.1502413171110564,33,14,33,-5.767100922879763,16,7,16,4,1,0.2687254371703691,6,2,6,2,6,2,33,10,14,0,0
2026_01_ATL_PIT,2026,1,atl,pit,-21.462081307604148,60,21,60,22,60,-12.758123476523913,48,19,48,-17.859113793806944,28,8,28,-3.602967513797204,32,13,32,4,3,-8.703957831080233,12,2,12,2,12,4,28,-21.462081307604148,60,21,60,22,60,-12.758123476523913,48,19,48,-17.859113793806944,28,8,28,-3.602967513797204,32,13,32,4,3,-8.703957831080233,12,2,12,2,12,4,28,13,13,1,0
2026_01_ATL_PIT,2026,1,pit,atl,-16.345097962901985,65,23,65,22,65,-7.155424634111119,49,20,49,-11.805396930216869,47,16,47,-4.539701032685116,18,7,18,6,1,-4.5397847839818,14,3,14,3,14,2,47,-16.251962023282015,63,21,63,21,63,-7.06228869449115,47,18,47,-11.805396930216869,47,16,47,-4.446565093065146,16,5,16,6,1,-4.5397847839818,14,3,14,3,14,2,47,13,13,0,0
2026_01_BAL_IND,2026,1,bal,ind,13.357284339732427,64,35,64,30,64,14.115097136411359,52,32,52,10.109317885828206,32,17,32,3.2479664539042137,32,18,32,9,4,2.3153636691914175,11,3,11,3,11,2,32,12.638391878164853,44,23,44,18,44,16.922502549190554,34,21,34,10.492039712844422,25,13,25,2.1463521653204265,19,10,19,8,3,-1.210934205155352,9,2,9,2,9,0,25,13,41,0,0
2026_01_BAL_IND,2026,1,ind,bal,-12.12860060737757,54,25,54,23,54,-8.02179458798492,43,22,43,-14.331685277966873,35,14,35,2.2030846705893024,19,11,19,2,5,-0.7320449933892539,10,3,10,3,10,2,35,-13.25991792838494,37,17,37,14,37,-12.283504608174558,30,15,30,-12.339211100696673,20,8,20,-0.9207068276882698,17,9,17,1,4,-0.976413320210384,7,2,7,2,7,1,20,12,23,0,0
2026_01_BUF_HOU,2026,1,buf,hou,16.513254045564267,55,23,55,23,55,13.558067895646671,45,20,45,21.507345692222746,36,16,36,-4.994091646658486,19,7,19,11,2,7.200569482866723,9,3,9,3,9,2,36,16.513254045564267,55,23,55,23,55,13.558067895646671,45,20,45,21.507345692222746,36,16,36,-4.994091646658486,19,7,19,11,2,7.200569482866723,9,3,9,3,9,2,36,12,36,0,0
2026_01_BUF_HOU,2026,1,hou,buf,5.628911558799857,79,38,79,38,79,5.9165168662730006,59,29,59,4.689604255108113,48,21,48,0.9393073036917436,31,17,31,8,3,-4.109252107446822,18,7,18,7,18,3,48,5.628911558799857,79,38,79,38,79,5.9165168662730006,59,29,59,4.689604255108113,48,21,48,0.9393073036917436,31,17,31,8,3,-4.109252107446822,18,7,18,7,18,3,48,11,31,0,0
2026_01_CHI_CAR,2026,1,car,chi,8.813799052923642,68,36,68,32,68,10.589730204723313,58,32,58,11.15087691067551,46,23,46,-2.3370778577518703,22,13,22,10,2,0.7219287066424243,9,4,9,4,9,2,46,3.3189305574220618,50,26,50,23,50,9.723398801055735,42,24,42,3.6716867502715487,33,17,33,-0.3527561928494872,17,9,17,6,1,-3.906608385191576,7,2,7,2,7,2,33,13,37,0,0
2026_01_CHI_CAR,2026,1,chi,car,27.038346797115153,75,41,75,40,75,19.07257713307625,59,31,59,22.038609712970448,40,23,40,4.999737084144703,35,18,35,7,4,11.344728667525569,15,10,15,10,15,2,40,18.27463823807564,57,32,57,31,57,16.60301269532646,45,26,45,17.029477630920244,33,19,33,1.2451606071553951,24,13,24,7,2,5.05058454623585,11,6,11,6,11,2,33,14,53,0,0
