game_id,season,week,team,opponent,eligible_plays,pass_plays,rush_plays,neutral_eligible_plays,neutral_pass_plays,pass_oe_sum,pass_oe_count
2025_01_ARI_NO,2025,1,ari,no,66,41,25,28,16,167.29358881711963,66
2025_01_ARI_NO,2025,1,no,ari,73,51,22,35,20,-34.99333262443552,73
2025_01_BAL_BUF,2025,1,bal,buf,51,23,28,21,8,-513.04364874959,51
2025_01_BAL_BUF,2025,1,buf,bal,78,54,24,26,12,69.79868263006209,78
2025_01_CAR_JAX,2025,1,car,jax,63,43,20,16,8,25.572824478149364,63
2025_01_CAR_JAX,2025,1,jax,car,63,33,30,19,11,-18.679282814264027,63
2025_01_CIN_CLE,2025,1,cin,cle,52,29,23,34,17,-75.06340444087996,52
2025_01_CIN_CLE,2025,1,cle,cin,76,53,23,49,33,383.62612128257797,76
2025_01_DAL_PHI,2025,1,dal,phi,60,39,21,42,23,181.91531747579546,60
2025_01_DAL_PHI,2025,1,phi,dal,59,33,26,40,18,-37.17884048819551,59
2025_01_DET_GB,2025,1,det,gb,66,44,22,14,5,-282.2362512350081,66
2025_01_DET_GB,2025,1,gb,det,47,24,23,12,7,-22.18040451407466,47
2025_01_HOU_LA,2025,1,hou,lar,63,38,25,43,22,-417.01389253139513,63
2025_01_HOU_LA,2025,1,lar,hou,58,34,24,28,17,68.71761754155152,58
2025_01_KC_LAC,2025,1,kc,lac,59,47,12,28,20,630.2681177854539,59
2025_01_KC_LAC,2025,1,lac,kc,62,43,19,25,17,893.4976607561111,62
2025_01_LV_NE,2025,1,lv,ne,61,38,23,30,18,483.6698703467848,61
2025_01_LV_NE,2025,1,ne,lv,71,54,17,42,29,604.3855369091036,71
2025_01_MIA_IND,2025,1,ind,mia,73,34,39,17,10,-302.9746919870375,73
2025_01_MIA_IND,2025,1,mia,ind,46,36,10,6,3,297.42315262556076,46
2025_01_MIN_CHI,2025,1,chi,min,67,46,21,27,18,55.05485385656344,67
2025_01_MIN_CHI,2025,1,min,chi,54,28,26,23,10,-221.55645713210097,53
2025_01_NYG_WAS,2025,1,nyg,wsh,68,51,17,15,8,479.5207515358925,68
2025_01_NYG_WAS,2025,1,wsh,nyg,67,41,26,23,12,248.87210838496674,67
2025_01_PIT_NYJ,2025,1,nyj,pit,62,25,37,41,14,-1165.5386269092558,62
2025_01_PIT_NYJ,2025,1,pit,nyj,55,36,19,35,21,-48.51603806018842,55
2025_01_SF_SEA,2025,1,sea,sf,51,26,25,29,10,-737.4344781041144,51
2025_01_SF_SEA,2025,1,sf,sea,74,42,32,52,27,-250.2859190106391,74
2025_01_TB_ATL,2025,1,atl,tb,75,51,24,45,24,-93.0987402796751,75
2025_01_TB_ATL,2025,1,tb,atl,57,38,19,36,19,245.84243670105946,57
2025_01_TEN_DEN,2025,1,den,ten,74,48,26,40,25,516.3432944566015,74
2025_01_TEN_DEN,2025,1,ten,den,57,36,21,34,16,-95.16238719224933,57
2025_02_ATL_MIN,2025,2,atl,min,65,26,39,29,12,-822.793528996408,65
2025_02_ATL_MIN,2025,2,min,atl,47,30,17,26,16,40.45562148094175,47
2025_02_BUF_NYJ,2025,2,buf,nyj,71,34,37,15,6,-597.7320156991482,71
2025_02_BUF_NYJ,2025,2,nyj,buf,47,31,16,7,3,-460.6387645006177,47
2025_02_CAR_ARI,2025,2,ari,car,54,34,20,6,3,-43.410446494817805,54
2025_02_CAR_ARI,2025,2,car,ari,82,65,17,17,11,184.75415706634527,81
2025_02_CHI_DET,2025,2,chi,det,68,44,24,22,13,-68.33284720778448,68
2025_02_CHI_DET,2025,2,det,chi,59,30,29,20,10,-466.2579923868179,59
2025_02_CLE_BAL,2025,2,bal,cle,53,36,17,13,7,551.0522082448008,53
