player_id,player_name,player_display_name,position,position_group,game_id,team,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,receiving_air_yards,target_share,air_yards_share,sack_fumbles_lost,rushing_fumbles_lost,receiving_fumbles_lost,passing_2pt_conversions,rushing_2pt_conversions,receiving_2pt_conversions,special_teams_tds,fantasy_points_ppr
00-0026498,M.Stafford,Matthew Stafford,QB,QB,2026_01_SF_LA,LA,LA,2026,1,REG,SF,15,25,155,0,1,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1
00-0031381,D.Adams,Davante Adams,WR,WR,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,3,6,26,0,73,0.222222222222222,0.286274509803922,0,0,0,0,0,0,0,5.6
00-0031408,M.Evans,Mike Evans,WR,WR,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,0,0,0,6,7,49,1,55,0.205882352941176,0.369127516778524,0,0,0,0,0,0,0,16.9
00-0032775,D.Robinson,Demarcus Robinson,WR,WR,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,0,0,0,2,3,50,1,45,0.0882352941176471,0.302013422818792,0,0,0,0,0,0,0,13
00-0033090,H.Henry,Hunter Henry,TE,TE,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,3,3,26,0,12,0.0967741935483871,0.0542986425339367,0,0,0,0,0,0,0,5.6
00-0033110,T.Higbee,Tyler Higbee,TE,TE,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,2,2,12,0,9,0.0740740740740741,0.0352941176470588,0,0,1,0,0,0,0,1.2
00-0033280,C.McCaffrey,Christian McCaffrey,RB,RB,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,10,68,0,5,8,20,0,-3,0.235294117647059,-0.0201342281879195,0,0,0,0,0,0,0,13.8
00-0033288,G.Kittle,George Kittle,TE,TE,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,0,0,0,2,5,12,0,38,0.147058823529412,0.25503355704698,0,0,0,0,0,0,0,3.2
00-0033555,M.Hollins,Mack Hollins,WR,WR,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,4,5,51,0,62,0.161290322580645,0.280542986425339,0,0,0,0,0,0,0,9.1
00-0033576,E.Saubert,Eric Saubert,TE,TE,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0033908,C.Kupp,Cooper Kupp,WR,WR,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,2,3,35,0,49,0.125,0.318181818181818,0,0,0,0,0,0,0,5.5
00-0034854,K.Hodge,KhaDarel Hodge,WR,WR,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0034869,S.Darnold,Sam Darnold,QB,QB,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52
00-0035676,A.Brown,A.J. Brown,WR,WR,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,3,4,26,0,19,0.129032258064516,0.085972850678733,0,0,0,0,0,0,0,5.6
00-0035704,D.Lock,Drew Lock,QB,QB,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,16,22,187,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.78
00-0035719,D.Samuel,Deebo Samuel Sr.,WR,WR,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,1,12,0,6,7,48,1,17,0.205882352941176,0.114093959731544,0,0,0,0,0,0,0,18
00-0036244,C.Parkinson,Colby Parkinson,TE,TE,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,1,2,6,0,9,0.0740740740740741,0.0352941176470588,0,0,0,0,0,0,0,1.6
00-0036875,R.Stevenson,Rhamondre Stevenson,RB,RB,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,18,51,0,5,6,44,0,-6,0.193548387096774,-0.0271493212669683,0,0,0,0,0,0,0,14.5
00-0036887,L.Farrell,Luke Farrell,TE,TE,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,0,0,0,2,2,19,0,3,0.0588235294117647,0.0201342281879195,0,0,0,0,0,0,0,3.9
00-0037545,R.Shaheed,Rashid Shaheed,WR,WR,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,1,3,4,0,19,0.125,0.123376623376623,0,0,0,0,0,0,0,1.4
00-0037557,R.Rivers,Ronnie Rivers,RB,RB,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,5,19,0,1,1,5,0,2,0.037037037037037,0.00784313725490196,0,0,0,0,0,0,0,3.4
00-0037816,R.Doubs,Romeo Doubs,WR,WR,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,0,3,0,0,75,0.0967741935483871,0.339366515837104,0,0,0,0,0,0,0,0
00-0037834,B.Purdy,Brock Purdy,QB,QB,2026_01_SF_LA,SF,SF,2026,1,REG,LA,25,34,205,3,1,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1
00-0037840,K.Williams,Kyren Williams,RB,RB,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,11,41,1,3,3,24,0,7,0.111111111111111,0.0274509803921569,0,0,0,0,0,0,0,15.5
00-0038359,X.Smith,Xavier Smith,WR,WR,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0038488,B.Russell,Brady Russell,RB,RB,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,2,2,20,0,6,0.0833333333333333,0.038961038961039,0,0,0,0,0,0,0,4
00-0038543,J.Smith-Njigba,Jaxon Smith-Njigba,WR,WR,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,8,11,122,1,76,0.458333333333333,0.493506493506494,0,0,0,0,0,0,0,26.2
00-0038621,D.Douglas,DeMario Douglas,WR,WR,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,5,7,20,0,44,0.225806451612903,0.199095022624434,0,0,0,0,0,0,0,7
00-0038797,E.Wilson,Emanuel Wilson,RB,RB,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3
00-0039074,D.Allen,Davis Allen,TE,TE,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,1,1,13,0,-1,0.037037037037037,-0.00392156862745098,0,0,0,0,0,0,0,2.3
00-0039075,P.Nacua,Puka Nacua,WR,WR,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,5,9,74,0,115,0.333333333333333,0.450980392156863,0,0,0,0,0,0,0,12.4
00-0039107,S.Bennett,Stetson Bennett,QB,QB,2026_01_SF_LA,LA,LA,2026,1,REG,SF,2,3,13,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42
00-0039299,G.Holani,George Holani,RB,RB,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,8,29,0,0,1,0,0,6,0.0416666666666667,0.038961038961039,0,0,0,0,0,0,0,2.9
00-0039365,J.Cowing,Jacob Cowing,WR,WR,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0039738,B.Corum,Blake Corum,RB,RB,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
00-0039751,J.Whittington,Jordan Whittington,WR,WR,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,1,1,8,0,8,0.037037037037037,0.0313725490196078,0,0,0,0,0,0,0,1.8
00-0039793,A.Barner,AJ Barner,TE,TE,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,2,2,13,0,-1,0.0833333333333333,-0.00649350649350649,0,0,0,0,0,0,0,3.3
00-0039851,D.Maye,Drake Maye,QB,QB,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,23,33,178,1,3,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82
00-0040131,K.Williams,Kyle Williams,WR,WR,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0040556,C.Kiner,Corey Kiner,RB,RB,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
00-0040568,L.Larison,Lan Larison,RB,RB,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,2,2,9,0,-3,0.0645161290322581,-0.0135746606334842,0,0,0,0,0,0,0,2.9
00-0040590,K.Mumpfield,Konata Mumpfield,WR,WR,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,0,1,0,0,13,0.037037037037037,0.0509803921568627,0,0,0,0,0,0,0,0
00-0040621,M.Foster,Montorie Foster Jr,WR,WR,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-0040737,T.Ferguson,Terrance Ferguson,TE,TE,2026_01_SF_LA,LA,LA,2026,1,REG,SF,0,0,0,0,0,0,0,0,0,1,0,0,24,0.037037037037037,0.0941176470588235,0,0,0,0,0,0,0,0
00-0041052,K.Black,Kaelon Black,RB,RB,2026_01_SF_LA,SF,SF,2026,1,REG,LA,0,0,0,0,0,14,65,0,1,1,5,0,-5,0.0294117647058824,-0.0335570469798658,0,0,0,0,0,0,0,8
00-0041395,E.Raridon,Eli Raridon,TE,TE,2026_01_NE_SEA,NE,NE,2026,1,REG,SEA,0,0,0,0,0,0,0,0,1,1,2,1,2,0.032258064516129,0.00904977375565611,0,0,0,0,0,0,0,7.2
00-0041512,J.Price,Jadarian Price,RB,RB,2026_01_NE_SEA,SEA,SEA,2026,1,REG,NE,0,0,0,0,0,10,52,0,2,2,6,0,-1,0.0833333333333333,-0.00649350649350649,0,0,0,0,0,0,0,7.8
