gsis_id,pfr_id,espn_id,display_name,position,position_group,status
00-0028830,AaitIs00,14856,Isaako Aaitui,NT,DL,DEV
00-0038389,AbanIs00,4429202,Israel Abanikanda,RB,RB,ACT
ABB498348,abbotvin01,,Vince Abbott,K,SPEC,ACT
00-0031021,AbbrJa00,16836,Jared Abbrederis,WR,WR,CUT
00-0032860,AbdeMe00,2576467,Mehdi Abdesmad,DE,DL,RES
00-0028564,AbduIs00,14466,Isa Abdul-Quddus,S,DB,RES
00-0032104,AbduAm00,2576336,Ameer Abdullah,RB,RB,ACT
00-0023663,AbduHa20,8645,Hamza Abdullah,DB,DB,ACT
00-0025940,AbduHu99,11910,Husain Abdullah,FS,DB,ACT
00-0021957,AbduKh20,4594,Khalid Abdullah,LB,LB,RES
00-0000007,AbduRa00,1703,Rabih Abdullah,RB,RB,ACT
00-0000008,AbduRa20,3998258,Rahim Abdullah,OLB,LB,ACT
00-0038580,AbduYa00,4360807,Yasir Abdullah,LB,LB,ACT
ABE498348,AberWa00,,Walter Abercrombie,RB,RB,ACT
00-0035098,AberMi00,3915373,Micah Abernathy,DB,DB,RES
00-0025444,AbiaVi99,10501,Victor Abiamiri,DE,DL,RES
00-0041445,AbneKe00,5093004,Keith Abney II,CB,DB,ACT
00-0030083,AbouOd00,15972,Oday Aboushi,G,OL,ACT
00-0000016,AbraCl20,7903,Clifton Abraham,DB,DB,ACT
00-0019546,AbraJo00,2144,John Abraham,OLB,LB,RES
00-0039403,AbraMi00,4427563,Micah Abraham,DB,DB,DEV
00-0000017,AbraDo00,1027,Donnie Abraham,CB,DB,ACT
ABR083058,AbraRo20,,Robert Abraham,LB,LB,ACT
00-0035693,AbraJo01,3728305,Johnathan Abram,DB,DB,CUT
ABR166116,AbraDa00,,Danny Abramowicz,WR,WR,ACT
ABR249174,AbraSi20,,Sid Abramowitz,OT,OL,ACT
00-0035774,AbraDe00,4360643,Delrick Abrams,DB,DB,DEV
00-0000025,AbraKe20,1201,Kevin Abrams,CB,DB,RES
ABR426540,AbraBo20,7177,Bobby Abrams,LB,LB,CUT
00-0039371,AbraKr00,4429193,Kris Abrams-Draine,CB,DB,ACT
00-0039040,AchaDe00,4429160,De'Von Achane,RB,RB,ACT
ACH207645,AcheSt20,,Steve Ache,LB,LB,ACT
ACH415290,AchiGe20,,George Achica,DT,DL,ACT
00-0029428,AchoEm00,15045,Emmanuel Acho,LB,LB,CUT
00-0028041,AchoSa00,14152,Sam Acho,LB,LB,ACT
00-0031186,AckeKe00,16914,Kenneth Acker,CB,DB,ACT
ACK207645,AckeBi20,,Bill Acker,NT,DL,ACT
ACK415290,AckeRi20,,Rick Ackerman,DT,DL,ACT
00-0000032,AckeTo20,1028,Tom Ackerman,C,OL,ACT
ACK622935,AcksRo20,,Ron Acks,MLB,LB,ACT
ACO415291,AcorFr20,,Fred Acorn,CB,DB,ACT
00-0035801,AcyxDe00,4035103,DeMarkus Acy,CB,DB,RES
ADA083058,AdamMi01,,Mike Adamle,RB,RB,ACT
00-0029831,AdamAa00,16296,Aaron Adams,OT,OL,RES
00-0029271,AdamJo01,14917,Joe Adams,WR,WR,ACT
ADA102090,AdamTh20,,Theo Adams,G,OL,CUT
00-0032637,AdamAn00,2576599,Andrew Adams,DB,DB,DEV
00-0033521,AdamKe02,3042773,Keion Adams,LB,LB,CUT
00-0022085,AdamAn20,4515,Anthony Adams,DT,DL,ACT
ADA110744,AdamTo00,,Tony Adams,QB,QB,ACT
00-0021006,AdamCh00,4447,Charlie Adams,WR,WR,ACT
ADA166116,AdamCu00,,Curtis Adams,RB,RB,ACT
00-0031115,AdamD.00,16961,D.J. Adams,RB,RB,RSN
00-0022031,AdamBl20,4678,Blue Adams,DB,DB,ACT
00-0028746,AdamDa00,14759,Darvin Adams,WR,WR,ACT
00-0031381,AdamDa01,16800,Davante Adams,WR,WR,ACT
ADA222240,AdamBr20,,Brent Adams,OT,OL,ACT
ADA229740,AdamDa20,,David Adams,RB,RB,ACT
ADA249174,AdamDo20,,Doug Adams,MLB,LB,ACT
ADA276860,AdamEa20,,Earnest Adams,LB,LB,ACT
00-0000045,AdamFl00,1469,Flozell Adams,OT,OL,ACT
00-0025391,AdamGa99,10449,Gaines Adams,DE,DL,NWT
00-0000047,AdamGe00,,George Adams,RB,RB,CUT
00-0039808,AdamIs01,5084939,Isaiah Adams,G,OL,ACT
00-0033872,AdamJa00,3115373,Jamal Adams,LB,LB,ACT
00-0025889,AdamJa20,11911,Jamar Adams,DB,DB,ACT
00-0028998,AdamJe00,15368,Jeff Adams,OT,OL,DEV
00-0032429,AdamJe01,2978727,Jerell Adams,TE,TE,DEV
00-0030226,AdamJo02,16489,Johnny Adams,CB,DB,DEV
00-0034457,AdamJo03,3932420,Josh Adams,RB,RB,CUT
ADA470662,AdamJu00,,Julius Adams,DE,DL,ACT
00-0020488,AdamKe20,2781,Keith Adams,LB,LB,ACT
00-0029047,AdamKe01,15394,Kendrick Adams,DE,DL,DEV
00-0028338,AdamKr00,14319,Kris Adams,WR,WR,RES
00-0028337,AdamKy00,14217,Kyle Adams,TE,TE,ACT
00-0034424,AdamMa00,3126179,Matthew Adams,OLB,LB,ACT
00-0022247,AdamMi21,5893,Mike Adams,FS,DB,ACT
00-0025668,AdamMi98,10847,Michael Adams,DB,DB,RES
00-0029202,AdamMi02,8133,Mike Adams,OT,OL,RES
ADA504348,AdamMi00,,Mike Adams,WR,WR,RES
ADA510348,AdamMi20,,Michael Adams,DB,DB,ACT
00-0033929,AdamMo00,3051894,Montravius Adams,DT,DL,ACT
00-0035946,AdamMy00,4039164,Myles Adams,DT,DL,ACT
00-0035007,AdamPa01,3122099,Paul Adams,OT,OL,CUT
ADA526034,AdamPe20,,Pete Adams,G,OL,ACT
00-0027610,AdamPh00,13308,Phillip Adams,DB,DB,ACT
ADA553720,AdamBo00,,Bob Adams,TE,TE,ACT
00-0033957,AdamRo01,3059918,Rodney Adams,WR,WR,RSN
00-0028829,AdamRo00,14863,Royce Adams,WR,WR,RES
00-0000065,AdamSa00,601,Sam Adams,DT,DL,CUT
ADA581406,AdamSa20,,Sam Adams,G,OL,ACT
00-0000066,AdamSc20,7353,Scott Adams,OT,OL,ACT
ADA609092,AdamSt20,,Stan Adams,OLB,LB,ACT
ADA636778,AdamSt21,,Stefon Adams,DB,DB,ACT
00-0024434,AdamTi00,9806,Titus Adams,DT,DL,RES
00-0037155,AdamTo03,4240532,Tony Adams,SAF,DB,ACT
00-0036185,AdamTr01,3886808,Trey Adams,OT,OL,DEV
00-0032094,AdamTy00,3895228,Tyrell Adams,LB,LB,CUT
00-0000072,AdamVa20,916,Vashone Adams,DB,DB,ACT
ADA719836,AdamBi20,,Bill Adams,G,OL,ACT
ADA775208,AdamWi00,,Willis Adams,WR,WR,ACT
00-0028999,AdcoLe00,15382,Levy Adcock,OT,OL,DEV
00-0030312,AddaJa00,16039,Jahleel Addae,S,DB,ACT
00-0024245,AddaJo00,9616,Joseph Addai,RB,RB,ACT
00-0035677,AddeNa00,3912028,Nasir Adderley,FS,DB,ACT
00-0037686,AddiTu00,4034729,Tucker Addington,LS,SPEC,ACT
00-0032482,AddiBr01,2971271,Bralon Addison,WR,WR,ACT
00-0038994,AddiJo00,4429205,Jordan Addison,WR,WR,ACT
00-0028339,AddiMa00,14320,Mario Addison,DL,DL,ACT
00-0039031,AdebAd00,4427635,Adetomiwa Adebawore,DT,DL,ACT
00-0036937,AdebPa00,4242547,Paulson Adebo,CB,DB,ACT
00-0033366,AdebQu00,3051869,Quincy Adeboyejo,WR,WR,RES
00-0036310,AdenHa00,4046557,Hakeem Adeniji,G,OL,ACT
00-0027462,AdenDa00,,Damola Adeniji,WR,WR,DEV
00-0034204,AdenOl00,3126081,Ola Adeniyi,OLB,LB,CUT
00-0035136,AdeoAa00,3910148,Aaron Adeoye,LB,LB,CUT
00-0024328,AdeyVi20,9699,Victor Adeyanju,DE,DL,ACT
00-0026258,AdibXa99,11352,Xavier Adibi,LB,LB,ACT
ADI276861,AdicJo20,,John Adickes,C,OL,ACT
00-0000083,AdicMa20,,Mark Adickes,G,OL,RES
00-0032273,AdjeJu00,2515836,Jude Adjei-Barimah,CB,DB,RES
ADK138430,AdkiKe20,,Kevin Adkins,DB,DB,ACT
00-0038783,AdkiNa00,4383440,Nate Adkins,TE,TE,ACT
ADK692150,AdkiSa00,,Sam Adkins,QB,QB,ACT
00-0027123,AdkiSp99,12628,Spencer Adkins,OLB,LB,ACT
00-0021629,AdkiJa00,6091,James Adkisson,WR,WR,CUT
00-0037412,AdomCa00,4240719,Cal Adomitis,LS,SPEC,ACT
00-0030583,AdonDa00,16632,Daniel Adongo,LB,LB,CUT
00-0026936,AfalAl99,12629,Al Afalava,S,DB,ACT
00-0000090,AffhEr00,,Erik Affholter,WR,WR,CUT
00-0034702,AfriPa00,3119152,Pat Afriyie,DE,DL,DEV
00-0000091,AgexLo20,,Louis Age,OT,OL,ACT
00-0000094,AgeeMe20,7006,Mel Agee,DT,DL,ACT
00-0000096,AgeeTo00,6503,Tommie Agee,RB,RB,ACT
00-0031549,AghoNe00,2971618,Nelson Agholor,WR,WR,ACT
00-0036420,AgimMc00,4035566,McTelvin Agim,DT,DL,DEV
00-0033572,AgneJa00,3061612,Jamal Agnew,WR,WR,CUT
00-0000097,AgneRa20,227,Ray Agnew,DT,DL,ACT
00-0030653,AgneRa00,17101,Ray Agnew,RB,RB,CUT
00-0028450,AgneVi00,14558,Vince Agnew,CB,DB,DEV
00-0039177,AgohDa00,5144941,David Agoha,DE,DL,ACT
00-0033102,AguaRo00,2978887,Roberto Aguayo,K,SPEC,DEV
00-0038682,AgudMi01,4591235,Mitchell Agude,LB,LB,ACT
00-0033599,AgudCa00,2982809,Carlton Agudosi,WR,WR,NWT
00-0000098,aguialou01,228,Louie Aguiar,P,SPEC,ACT
00-0025626,AhYoC.00,10682,C.J. Ah You,DT,DL,ACT
00-0000100,AhanCh20,426,Chidi Ahanotu,DT,DL,ACT
00-0038749,AhleHo00,4360131,Holton Ahlers,QB,QB,CUT
00-0035761,AhmeRa00,4266790,Ramiz Ahmed,K,SPEC,DEV
00-0036020,AhmeSa01,4243315,Salvon Ahmed,RB,RB,ACT
00-0039175,AhoxJu00,4689551,Junior Aho,DT,DL,DEV
AHR415291,AhreDa20,,Dave Ahrens,OLB,LB,ACT
00-0028496,AikeDa00,14581,Danny Aiken,LS,SPEC,RES
00-0028497,AikeKa00,14583,Kamar Aiken,WR,WR,CUT
00-0021915,AikeSa00,4585,Sam Aiken,WR,WR,CUT
AIK276861,AikeCa20,,Carl Aikens,WR,WR,ACT
00-0031307,AikeWa00,16819,Walt Aikens,DB,DB,ACT
00-0000104,AikmTr00,53,Troy Aikman,QB,QB,ACT
00-0026302,AingEr00,,Erik Ainge,QB,QB,RSN
AIU415291,AiuxCh20,,Charles Aiu,G,OL,ACT
00-0028679,AiyeVi00,14672,Victor Aiyewa,LB,LB,ACT
00-0036261,AiyuBr00,4360438,Brandon Aiyuk,WR,WR,RLS
00-0031590,AjayJa00,2573300,Jay Ajayi,RB,RB,CUT
00-0039178,AjiaAu00,4374171,Austin Ajiake,LB,LB,ACT
00-0027581,AjirSe00,13524,Seyi Ajirotutu,WR,WR,ACT
00-0020330,AkbaHa20,2712,Hakim Akbar,DB,DB,RES
00-0036414,AkerCa00,4240021,Cam Akers,RB,RB,ACT
00-0000108,akersdav01,1716,David Akers,K,SPEC,ACT
00-0036598,AkerLa00,4035554,Landen Akers,WR,WR,DEV
00-0040022,AkinTo00,4683450,Tommy Akingbesote,DT,DL,ACT
00-0038073,AkinAl00,4035835,Alex Akingbulu,OT,OL,ACT
00-0035600,AkinFr01,3116082,Freedom Akinmoladun,DE,DL,DEV
00-0000112,AkinCh20,1965,Chris Akins,DB,DB,RES
00-0035392,AkinCu00,3139626,Curtis Akins,LB,LB,CUT
00-0034364,AkinJo00,3128452,Jordan Akins,TE,TE,DEV
AKI664464,AkiuMi20,,Mike Akiu,WR,WR,ACT
00-0035166,AlShAz00,3919117,Azeez Al-Shaair,LB,LB,ACT
00-0023595,AlabAn20,,Anthony Alabi,OT,OL,ACT
00-0035103,AlakOt01,3122141,Otaro Alaka,LB,LB,RES
00-0025445,AlamIk99,10502,Ikaika Alama-Francis,LB,LB,ACT
00-0036448,AlarIs00,4686629,Isaac Alarcon,OT,OL,ACT
00-0026155,AlbeBr20,3938599,Branden Albert,OT,OL,ACT
ALB415290,AlbeSe20,,Sergio Albert,K,SPEC,ACT
