game_id,season,week,team,opponent,eligible_plays,off_epa_sum,success_num,success_den,explosive_count
2026_01_ARI_LAC,2026,1,ari,lac,72,10.018772343846194,34,72,6
2026_01_ARI_LAC,2026,1,lac,ari,55,-9.172669976891502,21,55,6
2026_01_ATL_PIT,2026,1,pit,atl,65,-16.345097962901985,23,65,7
2026_01_ATL_PIT,2026,1,atl,pit,60,-21.462081307604148,21,60,7
2026_01_BAL_IND,2026,1,ind,bal,54,-12.12860060737757,25,54,7
2026_01_BAL_IND,2026,1,bal,ind,64,13.357284339732427,35,64,13
2026_01_BUF_HOU,2026,1,buf,hou,55,16.513254045564267,23,55,13
2026_01_BUF_HOU,2026,1,hou,buf,79,5.628911558799857,38,79,11
2026_01_CHI_CAR,2026,1,chi,car,75,27.038346797115153,41,75,11
2026_01_CHI_CAR,2026,1,car,chi,68,8.813799052923642,36,68,12
2026_01_CLE_JAX,2026,1,cle,jax,51,-10.489239150477058,24,51,5
2026_01_CLE_JAX,2026,1,jax,cle,54,16.729605309298044,34,54,11
2026_01_DAL_NYG,2026,1,dal,nyg,58,15.710281403094978,29,58,3
2026_01_DAL_NYG,2026,1,nyg,dal,66,23.949528776342067,40,66,10
2026_01_DEN_KC,2026,1,den,kc,50,-18.884358192973476,19,50,2
2026_01_DEN_KC,2026,1,kc,den,66,7.804838924211808,31,66,8
2026_01_GB_MIN,2026,1,min,gb,61,3.3747772302118353,25,61,4
2026_01_GB_MIN,2026,1,gb,min,68,-12.33035397457688,27,68,10
2026_01_MIA_LV,2026,1,mia,lv,55,-13.314724907158208,18,55,6
2026_01_MIA_LV,2026,1,lv,mia,65,-1.8698029671690994,31,65,6
2026_01_NE_SEA,2026,1,sea,ne,49,1.4024340423470083,24,49,5
2026_01_NE_SEA,2026,1,ne,sea,71,-6.558486723230086,29,71,4
2026_01_NO_DET,2026,1,det,no,77,-2.0940210138208295,38,77,10
2026_01_NO_DET,2026,1,no,det,88,2.6291083305936604,38,88,12
2026_01_NYJ_TEN,2026,1,nyj,ten,64,8.093502483025372,33,64,8
2026_01_NYJ_TEN,2026,1,ten,nyj,50,-7.0530535582296165,24,50,2
2026_01_SF_LA,2026,1,lar,sf,60,-13.530783784924994,29,60,5
2026_01_SF_LA,2026,1,sf,lar,65,12.361808198105013,42,65,7
2026_01_TB_CIN,2026,1,tb,cin,56,-4.555934735330263,30,56,5
2026_01_TB_CIN,2026,1,cin,tb,63,0.08407268996733047,33,63,11
2026_01_WAS_PHI,2026,1,wsh,phi,69,5.059256054296831,29,69,7
2026_01_WAS_PHI,2026,1,phi,wsh,53,1.4431364833579812,19,53,6
