game_id,season,week,team,opponent,off_success,off_plays,pass_success,pass_plays,rush_success,rush_plays
2024_01_ARI_BUF,2024,1,ari,buf,22,59,17,38,5,21
2024_01_ARI_BUF,2024,1,buf,ari,35,60,22,32,13,28
2024_01_BAL_KC,2024,1,bal,kc,42,80,27,58,15,22
2024_01_BAL_KC,2024,1,kc,bal,23,53,19,33,4,20
2024_01_CAR_NO,2024,1,car,no,18,59,15,42,3,17
2024_01_CAR_NO,2024,1,no,car,30,66,13,28,17,38
2024_01_DAL_CLE,2024,1,cle,dal,19,76,14,60,5,16
2024_01_DAL_CLE,2024,1,dal,cle,23,62,13,36,10,26
2024_01_DEN_SEA,2024,1,den,sea,19,69,14,49,5,20
2024_01_DEN_SEA,2024,1,sea,den,29,63,17,34,12,29
2024_01_GB_PHI,2024,1,gb,phi,27,66,16,42,11,24
2024_01_GB_PHI,2024,1,phi,gb,35,75,22,40,13,35
2024_01_HOU_IND,2024,1,hou,ind,38,76,19,40,19,36
2024_01_HOU_IND,2024,1,ind,hou,20,44,10,25,10,19
2024_01_JAX_MIA,2024,1,jax,mia,22,53,13,27,9,26
2024_01_JAX_MIA,2024,1,mia,jax,29,71,19,45,10,26
2024_01_LA_DET,2024,1,det,lar,31,61,11,31,20,30
2024_01_LA_DET,2024,1,lar,det,38,78,25,53,13,25
2024_01_LV_LAC,2024,1,lac,lv,20,53,12,29,8,24
2024_01_LV_LAC,2024,1,lv,lac,20,60,17,41,3,19
2024_01_MIN_NYG,2024,1,min,nyg,25,54,14,28,11,26
2024_01_MIN_NYG,2024,1,nyg,min,22,70,16,51,6,19
2024_01_NE_CIN,2024,1,cin,ne,22,51,15,38,7,13
2024_01_NE_CIN,2024,1,ne,cin,27,61,16,29,11,32
2024_01_NYJ_SF,2024,1,nyj,sf,22,48,18,31,4,17
2024_01_NYJ_SF,2024,1,sf,nyj,33,71,18,35,15,36
2024_01_PIT_ATL,2024,1,atl,pit,24,55,15,32,9,23
2024_01_PIT_ATL,2024,1,pit,atl,26,68,12,32,14,36
2024_01_TEN_CHI,2024,1,chi,ten,20,53,12,34,8,19
2024_01_TEN_CHI,2024,1,ten,chi,24,64,15,39,9,25
2024_01_WAS_TB,2024,1,tb,wsh,33,61,24,36,9,25
2024_01_WAS_TB,2024,1,wsh,tb,29,57,21,35,8,22
2024_02_ATL_PHI,2024,2,atl,phi,29,58,18,33,11,25
2024_02_ATL_PHI,2024,2,phi,atl,31,70,18,38,13,32
2024_02_BUF_MIA,2024,2,buf,mia,18,42,10,20,8,22
2024_02_BUF_MIA,2024,2,mia,buf,33,76,20,44,13,32
2024_02_CHI_HOU,2024,2,chi,hou,25,70,19,52,6,18
2024_02_CHI_HOU,2024,2,hou,chi,21,61,16,40,5,21
2024_02_CIN_KC,2024,2,cin,kc,33,64,23,44,10,20
2024_02_CIN_KC,2024,2,kc,cin,30,64,14,36,16,28
2024_02_CLE_JAX,2024,2,cle,jax,28,72,18,42,10,30
2024_02_CLE_JAX,2024,2,jax,cle,25,59,16,40,9,19
2024_02_IND_GB,2024,2,gb,ind,24,70,9,19,15,51
2024_02_IND_GB,2024,2,ind,gb,23,55,16,38,7,17
2024_02_LA_ARI,2024,2,ari,lar,36,66,18,27,18,39
2024_02_LA_ARI,2024,2,lar,ari,23,52,15,32,8,20
2024_02_LAC_CAR,2024,2,car,lac,11,48,6,31,5,17
2024_02_LAC_CAR,2024,2,lac,car,35,66,14,24,21,42
2024_02_LV_BAL,2024,2,bal,lv,28,63,19,39,9,24
2024_02_LV_BAL,2024,2,lv,bal,27,62,24,46,3,16
2024_02_NO_DAL,2024,2,dal,no,27,69,20,49,7,20
2024_02_NO_DAL,2024,2,no,dal,32,56,10,19,22,37
2024_02_NYG_WAS,2024,2,nyg,wsh,25,54,14,31,11,23
2024_02_NYG_WAS,2024,2,wsh,nyg,32,70,20,41,12,29
2024_02_NYJ_TEN,2024,2,nyj,ten,24,56,14,34,10,22
2024_02_NYJ_TEN,2024,2,ten,nyj,26,66,14,38,12,28
2024_02_PIT_DEN,2024,2,den,pit,22,61,16,44,6,17
2024_02_PIT_DEN,2024,2,pit,den,21,66,14,33,7,33
2024_02_SEA_NE,2024,2,ne,sea,30,68,15,33,15,35
2024_02_SEA_NE,2024,2,sea,ne,33,68,28,51,5,17
2024_02_SF_MIN,2024,2,min,sf,25,51,13,31,12,20
2024_02_SF_MIN,2024,2,sf,min,35,70,22,44,13,26
2024_02_TB_DET,2024,2,det,tb,36,84,26,58,10,26
2024_02_TB_DET,2024,2,tb,det,18,47,13,28,5,19
2024_03_BAL_DAL,2024,3,bal,dal,29,61,9,18,20,43
2024_03_BAL_DAL,2024,3,dal,bal,31,78,27,62,4,16
2024_03_CAR_LV,2024,3,car,lv,36,71,20,42,16,29
2024_03_CAR_LV,2024,3,lv,car,30,63,26,48,4,15
2024_03_CHI_IND,2024,3,chi,ind,33,88,27,59,6,29
2024_03_CHI_IND,2024,3,ind,chi,18,53,6,23,12,30
2024_03_DEN_TB,2024,3,den,tb,36,67,25,43,11,24
2024_03_DEN_TB,2024,3,tb,den,26,57,19,41,7,16
2024_03_DET_ARI,2024,3,ari,det,26,59,22,42,4,17
2024_03_DET_ARI,2024,3,det,ari,37,66,17,26,20,40
2024_03_GB_TEN,2024,3,gb,ten,23,63,9,26,14,37
2024_03_GB_TEN,2024,3,ten,gb,24,54,21,45,3,9
2024_03_HOU_MIN,2024,3,hou,min,20,66,18,55,2,11
2024_03_HOU_MIN,2024,3,min,hou,29,62,17,35,12,27
2024_03_JAX_BUF,2024,3,buf,jax,32,63,23,39,9,24
2024_03_JAX_BUF,2024,3,jax,buf,27,71,17,53,10,18
2024_03_KC_ATL,2024,3,atl,kc,26,60,20,36,6,24
2024_03_KC_ATL,2024,3,kc,atl,42,71,22,42,20,29
2024_03_LAC_PIT,2024,3,lac,pit,15,46,10,26,5,20
2024_03_LAC_PIT,2024,3,pit,lac,30,66,19,37,11,29
