game_id,season,week,team,opponent,fh_trailing_plays,fh_trailing_pass,fh_trailing_rush,fh_close_plays,fh_close_pass,fh_close_rush,fh_leading_plays,fh_leading_pass,fh_leading_rush,sh_trailing_plays,sh_trailing_pass,sh_trailing_rush,sh_close_plays,sh_close_pass,sh_close_rush,sh_leading_plays,sh_leading_pass,sh_leading_rush
2022_01_BAL_NYJ,2022,1,bal,nyj,0,0,0,26,19,7,0,0,0,0,0,0,12,7,5,16,9,7
2022_01_BAL_NYJ,2022,1,nyj,bal,7,3,4,29,20,9,0,0,0,45,40,5,3,3,0,0,0,0
2022_01_BUF_LA,2022,1,buf,lar,0,0,0,30,23,7,0,0,0,0,0,0,21,12,9,6,3,3
2022_01_BUF_LA,2022,1,lar,buf,11,7,4,21,15,6,0,0,0,26,21,5,9,7,2,0,0,0
2022_01_CLE_CAR,2022,1,car,cle,7,6,1,21,17,4,0,0,0,17,9,8,7,3,4,0,0,0
2022_01_CLE_CAR,2022,1,cle,car,0,0,0,41,23,18,0,0,0,0,0,0,22,12,10,15,6,9
2022_01_DEN_SEA,2022,1,den,sea,0,0,0,26,18,8,0,0,0,0,0,0,40,29,11,0,0,0
2022_01_DEN_SEA,2022,1,sea,den,0,0,0,31,21,10,0,0,0,0,0,0,21,15,6,0,0,0
2022_01_GB_MIN,2022,1,gb,min,4,4,0,21,12,9,0,0,0,34,26,8,0,0,0,0,0,0
2022_01_GB_MIN,2022,1,min,gb,0,0,0,25,15,10,10,7,3,0,0,0,0,0,0,27,12,15
2022_01_IND_HOU,2022,1,hou,ind,0,0,0,30,18,12,0,0,0,0,0,0,20,12,8,19,13,6
2022_01_IND_HOU,2022,1,ind,hou,0,0,0,38,21,17,0,0,0,26,17,9,28,18,10,0,0,0
2022_01_JAX_WAS,2022,1,jax,wsh,23,20,3,14,9,5,0,0,0,6,3,3,26,17,9,0,0,0
2022_01_JAX_WAS,2022,1,wsh,jax,0,0,0,23,17,6,11,7,4,0,0,0,33,22,11,5,4,1
