game_id,season,week,team,opponent,eligible_plays,off_epa_sum,success_num,success_den,explosive_count
2024_01_ARI_BUF,2024,1,ari,buf,59,2.747099966891591,26,59,5
2024_01_ARI_BUF,2024,1,buf,ari,60,12.689316134210566,33,60,7
2024_01_BAL_KC,2024,1,bal,kc,80,3.1359274209183443,41,79,10
2024_01_BAL_KC,2024,1,kc,bal,53,9.656116171192815,26,52,9
2024_01_CAR_NO,2024,1,no,car,66,13.693973080201701,38,66,11
2024_01_CAR_NO,2024,1,car,no,59,-27.164369453203033,19,59,3
2024_01_DAL_CLE,2024,1,dal,cle,62,-6.243676026194447,22,62,7
2024_01_DAL_CLE,2024,1,cle,dal,76,-22.945604907930843,22,76,5
2024_01_DEN_SEA,2024,1,sea,den,63,-3.302738690194226,26,63,7
2024_01_DEN_SEA,2024,1,den,sea,69,-21.464335067130616,22,69,5
2024_01_GB_PHI,2024,1,gb,phi,66,9.726012249935717,26,65,10
2024_01_GB_PHI,2024,1,phi,gb,75,4.455470357964398,33,75,9
2024_01_HOU_IND,2024,1,ind,hou,44,3.4615598563686927,21,44,5
2024_01_HOU_IND,2024,1,hou,ind,76,14.449208916209475,41,76,9
2024_01_JAX_MIA,2024,1,mia,jax,71,1.4125927402940308,29,71,7
2024_01_JAX_MIA,2024,1,jax,mia,53,-4.864612002061975,24,53,9
2024_01_LA_DET,2024,1,lar,det,78,5.895424936124845,38,78,7
2024_01_LA_DET,2024,1,det,lar,61,6.452360015730497,34,61,7
2024_01_LV_LAC,2024,1,lac,lv,53,-4.023948235916999,17,53,6
2024_01_LV_LAC,2024,1,lv,lac,60,-19.118074125531827,25,60,7
2024_01_MIN_NYG,2024,1,nyg,min,70,-24.755659405198106,24,70,5
2024_01_MIN_NYG,2024,1,min,nyg,54,8.835625310312007,24,54,9
2024_01_NE_CIN,2024,1,cin,ne,51,-6.14562481197982,24,50,2
2024_01_NE_CIN,2024,1,ne,cin,61,-0.4208560782647729,30,61,8
2024_01_NYJ_SF,2024,1,nyj,sf,48,-0.5741709079593262,23,48,4
2024_01_NYJ_SF,2024,1,sf,nyj,71,8.794106133085647,36,71,11
2024_01_PIT_ATL,2024,1,atl,pit,55,-17.585279088244658,26,55,6
2024_01_PIT_ATL,2024,1,pit,atl,68,-8.207052315782052,30,68,3
2024_01_TEN_CHI,2024,1,ten,chi,64,-16.69058476100488,24,64,8
2024_01_TEN_CHI,2024,1,chi,ten,53,-14.769487482134988,22,53,2
2024_01_WAS_TB,2024,1,tb,wsh,61,19.41358687994789,31,61,10
2024_01_WAS_TB,2024,1,wsh,tb,57,10.130918695236497,30,57,5
2024_02_ATL_PHI,2024,2,phi,atl,70,4.965932727998393,38,70,10
2024_02_ATL_PHI,2024,2,atl,phi,58,10.34092004123738,31,58,11
2024_02_BUF_MIA,2024,2,mia,buf,76,-21.160608714099173,38,76,11
2024_02_BUF_MIA,2024,2,buf,mia,42,9.69008102485948,19,42,5
2024_02_CHI_HOU,2024,2,hou,chi,61,-9.619502148554698,19,61,12
2024_02_CHI_HOU,2024,2,chi,hou,70,-14.025609853787522,23,70,4
2024_02_CIN_KC,2024,2,cin,kc,64,1.7046622042802504,30,64,4
2024_02_CIN_KC,2024,2,kc,cin,64,-3.2721984632337193,32,64,4
2024_02_CLE_JAX,2024,2,jax,cle,59,-1.4762181059408055,26,59,8
2024_02_CLE_JAX,2024,2,cle,jax,72,-1.419591432429369,24,72,5
2024_02_IND_GB,2024,2,gb,ind,70,-2.3543559460403003,29,70,12
2024_02_IND_GB,2024,2,ind,gb,55,-5.371776850898276,21,55,11
2024_02_LAC_CAR,2024,2,lac,car,66,6.779055142499779,35,66,8
2024_02_LAC_CAR,2024,2,car,lac,48,-24.191716853065493,17,48,2
2024_02_LA_ARI,2024,2,lar,ari,52,-13.678188088281289,20,52,5
2024_02_LA_ARI,2024,2,ari,lar,66,21.650159614179984,35,66,15
2024_02_LV_BAL,2024,2,lv,bal,62,-3.526601081833077,23,62,6
2024_02_LV_BAL,2024,2,bal,lv,63,-1.1047197426039252,29,63,10
2024_02_NO_DAL,2024,2,no,dal,56,23.791387547475313,33,56,10
2024_02_NO_DAL,2024,2,dal,no,69,-11.193375922929865,30,69,5
