outcome,model,train_n,validation_n,train_r2,validation_rmse,validation_mae,validation_constant_rmse,coefficients
actual_hit_rate,A raw protection,632,969,0.0954675152984,0.0695224198659,0.055637284195,0.0730081213539,"{""intercept"": 0.1446387643046075, ""raw_protection_z"": 0.022046163758923477}"
actual_hit_rate,B opponent adjusted,632,969,0.096189182373,0.0695387794315,0.0557364925389,0.0730081213539,"{""intercept"": 0.1447045923472534, ""adjusted_protection_z"": 0.022030873170528254}"
actual_hit_rate,C QB only,632,969,0.00394142413491,0.0727982444879,0.058316876874,0.0730081213539,"{""intercept"": 0.1440160093121559, ""qb_vulnerability_z"": -0.00954020887368066}"
actual_hit_rate,D adjusted + QB,632,969,0.0976728288473,0.0694989481503,0.0557601335473,0.0730081213539,"{""intercept"": 0.1448085267903454, ""adjusted_protection_z"": 0.02181510698651812, ""qb_vulnerability_z"": -0.005871413979786365}"
actual_hit_rate,E raw + QB,632,969,0.0967903410008,0.0694823122305,0.0556590904956,0.0730081213539,"{""intercept"": 0.14473685016530244, ""raw_protection_z"": 0.021822388078156788, ""qb_vulnerability_z"": -0.005547422508879354}"
actual_hit_rate,F adjusted + QB + rush,632,969,0.142721545405,0.0693173375835,0.0555961213635,0.0730081213539,"{""intercept"": 0.14496669805410878, ""adjusted_protection_z"": 0.02226362693873411, ""qb_vulnerability_z"": -0.008007065735457501, ""pass_rush_z"": 0.014880895301179546}"
team_sack_rate,A raw protection,632,969,0.0675535415143,0.0451022332116,0.0350476179543,0.0462034410938,"{""intercept"": 0.06255078323635256, ""raw_protection_z"": 0.011961092241106131}"
team_sack_rate,B opponent adjusted,632,969,0.063258918256,0.0451195381649,0.0351288087935,0.0462034410938,"{""intercept"": 0.06256950524799096, ""adjusted_protection_z"": 0.01152314517906251}"
team_sack_rate,C QB only,632,969,0.0153646677634,0.0460777598464,0.0360216180038,0.0462034410938,"{""intercept"": 0.06188104828070016, ""qb_vulnerability_z"": 0.01214882968284076}"
team_sack_rate,D adjusted + QB,632,969,0.0840448077118,0.0447939924583,0.034946621349,0.0462034410938,"{""intercept"": 0.06231859399174762, ""adjusted_protection_z"": 0.01204403279508448, ""qb_vulnerability_z"": 0.014174356582516714}"
team_sack_rate,E raw + QB,632,969,0.089111494253,0.0447748212837,0.0348811362145,0.0462034410938,"{""intercept"": 0.06229539528046755, ""raw_protection_z"": 0.012543741088583225, ""qb_vulnerability_z"": 0.01444392581085003}"
team_sack_rate,F adjusted + QB + rush,632,969,0.106822457699,0.0449866956893,0.0350744378054,0.0462034410938,"{""intercept"": 0.06239113480000263, ""adjusted_protection_z"": 0.01224973387553439, ""qb_vulnerability_z"": 0.013194899879563324, ""pass_rush_z"": 0.006824704734741648}"
team_sacks,A raw protection,632,969,0.0649578475007,1.74841079873,1.39449309162,1.79040893796,"{""intercept"": 2.4792050692953076, ""raw_protection_z"": 0.4702021969032695}"
team_sacks,B opponent adjusted,632,969,0.0617366689557,1.75014486267,1.39655417617,1.79040893796,"{""intercept"": 2.4800743334883983, ""adjusted_protection_z"": 0.456356049815465}"
team_sacks,C QB only,632,969,0.0136327809336,1.78774235837,1.44584484994,1.79040893796,"{""intercept"": 2.4532376483233835, ""qb_vulnerability_z"": 0.45876169372126196}"
team_sacks,D adjusted + QB,632,969,0.0804279052348,1.74031158989,1.39129805913,1.79040893796,"{""intercept"": 2.470535903098434, ""adjusted_protection_z"": 0.476157673468417, ""qb_vulnerability_z"": 0.5388403677423947}"
team_sacks,E raw + QB,632,969,0.0843261285793,1.73853657909,1.38921691396,1.79040893796,"{""intercept"": 2.4695007683425585, ""raw_protection_z"": 0.49234184615217863, ""qb_vulnerability_z"": 0.5488442182871789}"
team_sacks,F adjusted + QB + rush,632,969,0.104269917417,1.74833155214,1.39368091215,1.79040893796,"{""intercept"": 2.4735111392891245, ""adjusted_protection_z"": 0.48459443222174053, ""qb_vulnerability_z"": 0.49866828943308555, ""pass_rush_z"": 0.27991290703842625}"
team_pass_epa_db,A raw protection,632,969,0.0262808217917,0.304867654177,0.241016292009,0.308805335847,"{""intercept"": 0.03594306969871944, ""raw_protection_z"": -0.0475353915095292}"
team_pass_epa_db,B opponent adjusted,632,969,0.0251215001176,0.305085339076,0.241194647323,0.308805335847,"{""intercept"": 0.035849941878894655, ""adjusted_protection_z"": -0.04626832352856957}"
