team,season,transition_week,qb_changed,old_qb_id,old_qb_name,new_qb_id,new_qb_name,old_games,new_games,before_games,before_hit_rate,before_sack_rate,before_pass_epa_db,before_opponent_pregame_rush_rate,before_opponent_adjusted_hit_residual,before_pregame_raw_protection_rate,before_pregame_adjusted_protection_rate,after_games,after_hit_rate,after_sack_rate,after_pass_epa_db,after_opponent_pregame_rush_rate,after_opponent_adjusted_hit_residual,after_pregame_raw_protection_rate,after_pregame_adjusted_protection_rate,change_hit_rate,change_sack_rate,change_pass_epa_db,change_opponent_pregame_rush_rate,change_opponent_adjusted_hit_residual
ari,2022,4,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2022_02_ARI_LV;2022_03_LA_ARI,2022_04_ARI_CAR;2022_05_PHI_ARI,2,0.0826446280992,0.0247933884298,-0.0407794380288,,,,,2,0.037037037037,0.0246913580247,0.0982021382251,0.185393258427,,0.0833333333333,,-0.0456075910621,-0.000102030405061,0.138981576254,,
ari,2022,5,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2022_03_LA_ARI;2022_04_ARI_CAR,2022_05_PHI_ARI;2022_06_ARI_SEA,2,0.0588235294118,0.0294117647059,-0.0582755041566,,,,,2,0.101123595506,0.0786516853933,-0.058869258846,0.164519833633,,0.0802845528455,,0.0423000660939,0.0492399206874,-0.000593754689386,,
ari,2022,6,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2022_04_ARI_CAR;2022_05_PHI_ARI,2022_06_ARI_SEA;2022_07_NO_ARI,2,0.037037037037,0.0246913580247,0.0982021382251,0.185393258427,,0.0833333333333,,2,0.109756097561,0.0975609756098,-0.0759406848894,0.133226713192,,0.0829864868614,,0.0727190605239,0.0728696175851,-0.174142823114,-0.052166545235,
ari,2022,7,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2022_05_PHI_ARI;2022_06_ARI_SEA,2022_07_NO_ARI;2022_08_ARI_MIN,2,0.101123595506,0.0786516853933,-0.058869258846,0.164519833633,,0.0802845528455,,2,0.0860215053763,0.0645161290323,0.0696765353499,0.125403508772,-0.026830699999,0.0870515275118,,-0.0151020901293,-0.014135556361,0.128545794196,-0.0391163248615,
ari,2022,8,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2022_06_ARI_SEA;2022_07_NO_ARI,2022_08_ARI_MIN;2022_09_SEA_ARI,2,0.109756097561,0.0975609756098,-0.0759406848894,0.133226713192,,0.0829864868614,,2,0.106796116505,0.0873786407767,-0.029560207203,0.138923547401,-0.0274400554149,0.0867243776064,,-0.00295998105612,-0.0101823348331,0.0463804776864,0.0056968342085,
ari,2023,3,False,00-0033949,Joshua Dobbs,00-0033949,Joshua Dobbs,2023_01_ARI_WAS;2023_02_NYG_ARI,2023_03_DAL_ARI;2023_04_ARI_SF,2,0.166666666667,0.0416666666667,0.0110087604347,0.150249556078,0.021159518291,0.151770623742,0.011178550823,2,0.141025641026,0.0384615384615,0.191079006869,0.152502067825,-0.007883935831,0.154224039014,0.0132327060675,-0.025641025641,-0.00320512820513,0.180070246434,0.002252511747,-0.029043454122
ari,2023,4,False,00-0033949,Joshua Dobbs,00-0033949,Joshua Dobbs,2023_02_NYG_ARI;2023_03_DAL_ARI,2023_04_ARI_SF;2023_05_CIN_ARI,2,0.15625,0.03125,0.267712230685,0.15732954077,0.00709515325934,0.15011904762,0.00918295748723,2,0.178571428571,0.047619047619,-0.0794647531365,0.161635265011,0.0270443999806,0.158766645529,0.016994939568,0.0223214285714,0.016369047619,-0.347176983821,0.004305724241,0.0199492467212
ari,2023,5,False,00-0033949,Joshua Dobbs,00-0033949,Joshua Dobbs,2023_03_DAL_ARI;2023_04_ARI_SF,2023_05_CIN_ARI;2023_06_ARI_LA,2,0.141025641026,0.0384615384615,0.191079006869,0.152502067825,-0.007883935831,0.154224039014,0.0132327060675,2,0.204819277108,0.0602409638554,-0.337886498006,0.145652618359,0.0589694007482,0.161749916192,0.0181967132636,0.0637936360828,0.0217794253939,-0.528965504875,-0.006849449466,0.0668533365792
ari,2023,12,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2023_10_ATL_ARI;2023_11_ARI_HOU,2023_12_LA_ARI;2023_13_ARI_PIT,2,0.0897435897436,0.0641025641026,-0.107511011376,0.154690580919,-0.0588726051805,0.17929193038,0.0288757932295,2,0.132530120482,0.0722891566265,-0.0236726364596,0.13689985893,-0.00935160585197,0.16718381419,0.0178577778295,0.0427865307383,0.00818659252394,0.0838383749159,-0.017790721989,0.0495209993286
ari,2023,13,False,00-0035228,Kyler Murray,00-0035228,Kyler Murray,2023_11_ARI_HOU;2023_12_LA_ARI,2023_13_ARI_PIT;2023_15_SF_ARI,2,0.119565217391,0.0760869565217,-0.145918909511,0.135727732622,-0.0223148977883,0.170785984848,0.0204588604265,2,0.118421052632,0.0657894736842,0.0407923065878,0.163911810432,-0.0347538778449,0.161362684965,0.013255364471,-0.00114416475973,-0.0102974828375,0.186711216098,0.02818407781,-0.0124389800565
