window,signal_form,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game
2022-2023 exploratory,A raw protection,actual_hit_rate,raw_protection_z,intercept,632,356,0.144638764305,0.00254123844382,0.139657936955,0.149619591654,0,True
2022-2023 exploratory,A raw protection,actual_hit_rate,raw_protection_z,raw_protection_z,632,356,0.0220461637589,0.00273183729546,0.0166917626598,0.027400564858,7.02482804657e-16,True
2024-2025 heldout,A raw protection,actual_hit_rate,raw_protection_z,intercept,969,511,0.140999038742,0.0022646656295,0.136560294108,0.145437783375,0,True
2024-2025 heldout,A raw protection,actual_hit_rate,raw_protection_z,raw_protection_z,969,511,0.0228679530047,0.00242939360036,0.018106341548,0.0276295644614,4.8204003509e-21,True
2022-2023 exploratory,B opponent adjusted,actual_hit_rate,adjusted_protection_z,intercept,632,356,0.144704592347,0.00254200872117,0.139722255254,0.149686929441,0,True
2022-2023 exploratory,B opponent adjusted,actual_hit_rate,adjusted_protection_z,adjusted_protection_z,632,356,0.0220308731705,0.00270468746775,0.0167296857337,0.0273320606073,3.77900941914e-16,True
2024-2025 heldout,B opponent adjusted,actual_hit_rate,adjusted_protection_z,intercept,969,511,0.140999739892,0.00226443422435,0.136561448812,0.145438030971,0,True
2024-2025 heldout,B opponent adjusted,actual_hit_rate,adjusted_protection_z,adjusted_protection_z,969,511,0.0227990247796,0.00243455137362,0.0180273040874,0.0275707454719,7.6212812148e-21,True
2022-2023 exploratory,C QB only,actual_hit_rate,qb_vulnerability_z,intercept,632,356,0.144016009312,0.00260279066146,0.138914539616,0.149117479009,0,True
2022-2023 exploratory,C QB only,actual_hit_rate,qb_vulnerability_z,qb_vulnerability_z,632,356,-0.00954020887368,0.0063803323362,-0.0220456602526,0.00296524250526,0.134848515853,True
2024-2025 heldout,C QB only,actual_hit_rate,qb_vulnerability_z,intercept,969,511,0.140401777667,0.00236073523863,0.1357747366,0.145028818735,0,True
2024-2025 heldout,C QB only,actual_hit_rate,qb_vulnerability_z,qb_vulnerability_z,969,511,-0.0175346689943,0.00754919645319,-0.0323310940426,-0.00273824394607,0.0201942033543,True
2022-2023 exploratory,D adjusted + QB,actual_hit_rate,adjusted_protection_z+qb_vulnerability_z,intercept,632,356,0.14480852679,0.00254172946966,0.13982673703,0.149790316551,0,True
2022-2023 exploratory,D adjusted + QB,actual_hit_rate,adjusted_protection_z+qb_vulnerability_z,adjusted_protection_z,632,356,0.0218151069865,0.00274085162347,0.0164430378045,0.0271871761685,1.7309352476e-15,True
