metric,test,n,pearson,spearman,worst_quintile_retention,percentile_within_20pct
raw protection,prior4_vs_next4,1662,0.41801576292,0.409779411221,0.414414414414,0.488567990373
raw protection,prior8_vs_next4,1662,0.452752048865,0.452700080648,0.437125748503,0.505415162455
raw protection,prior8_vs_next8,1150,0.452687810536,0.460238709854,0.428571428571,0.502608695652
raw protection,first_half_vs_second_half,128,0.559299455313,0.562140200288,0.423076923077,0.6171875
raw protection,year_n_vs_year_n_plus_1,96,0.386802901693,0.37287032013,0.45,0.479166666667
adjusted protection,prior4_vs_next4,1458,0.420679081348,0.401500013138,0.428082191781,0.484224965706
adjusted protection,prior8_vs_next4,1458,0.451026606087,0.443211014648,0.428082191781,0.500685871056
adjusted protection,prior8_vs_next8,962,0.437340156568,0.4373851765,0.39378238342,0.492723492723
adjusted protection,first_half_vs_second_half,96,0.55753142182,0.553364080304,0.5,0.541666666667
adjusted protection,year_n_vs_year_n_plus_1,96,0.38802854585,0.3666440586,0.45,0.5
pass rush quality,prior4_vs_next4,1662,0.150845097679,0.136333755854,0.21021021021,0.380264741276
pass rush quality,prior8_vs_next4,1662,0.23059542685,0.20594327908,0.273273273273,0.408543922984
pass rush quality,prior8_vs_next8,1150,0.302965194959,0.259970498373,0.313043478261,0.428695652174
pass rush quality,first_half_vs_second_half,128,0.301543090619,0.245623421864,0.307692307692,0.453125
pass rush quality,year_n_vs_year_n_plus_1,96,0.292160738571,0.270612691987,0.25,0.4375
raw protection MATCHED,prior8_vs_next4,1458,0.456190194683,0.446216379229,0.438356164384,0.507544581619
adjusted protection MATCHED,prior8_vs_next4,1458,0.451026606087,0.443211014648,0.428082191781,0.500685871056
raw protection MATCHED,prior8_vs_next8,962,0.443541212765,0.444362540483,0.417525773196,0.49896049896
adjusted protection MATCHED,prior8_vs_next8,962,0.437340156568,0.4373851765,0.39378238342,0.492723492723
QB raw sack rate,first_half_vs_second_half,122,0.440670411208,0.494240225236,0.36,0.549180327869
QB excess sack rate,first_half_vs_second_half,122,0.423012446393,0.466415857486,0.44,0.540983606557
QB raw sack rate,year_n_vs_year_n_plus_1,88,0.377825893337,0.370904255788,0.5,0.522727272727
QB excess sack rate,year_n_vs_year_n_plus_1,88,0.475374993982,0.509521104937,0.444444444444,0.511363636364
