window,protection_quintile,protection_label,rush_quintile,rush_label,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2022-2023 exploratory,1,elite protection,1,very poor rush,,matrix,33,33,False,0.0565741390415,0.05,2,2,0.0565390161436,0.00209935469276,0.461622427367,0.461538461538,0.083476374804,0.075,25.1818181818,26,1.0303030303,0.25
2022-2023 exploratory,1,elite protection,2,poor,,matrix,42,42,False,0.046535636159,0.046511627907,1.85714285714,2,0.0935742293697,0.155662746553,0.476218768457,0.487145682267,0.0834425544553,0.0882352941176,23.2619047619,24,-0.577380952381,1.625
2022-2023 exploratory,1,elite protection,3,average,,matrix,26,25,False,0.0612519214803,0.0622580645161,2.34615384615,2,0.107172140927,0.090542051009,0.475937740612,0.474130240856,0.0970111277644,0.0923295454545,23.1538461538,21.5,0.269230769231,-1.875
2022-2023 exploratory,1,elite protection,4,good,,matrix,39,37,False,0.0524292802635,0.0508474576271,2.23076923077,2,0.0235677845707,0.0471165891525,0.454374074363,0.454545454545,0.0866138422243,0.0769230769231,22.4358974359,22,-0.679487179487,-2
2022-2023 exploratory,1,elite protection,5,elite rush,,matrix,38,38,False,0.0617871506979,0.0588235294118,2.47368421053,2.5,0.0347357363974,0.0163418048041,0.447274508385,0.443438914027,0.0842169877463,0.0779352226721,21.7631578947,20,-1.08552631579,-3.125
2022-2023 exploratory,2,good,1,very poor rush,,matrix,34,34,False,0.0490536009711,0.0502828409805,1.76470588235,2,0.082514993554,0.0970859122076,0.479914620915,0.48552522746,0.0911346974235,0.096511627907,23.4411764706,23,-0.294117647059,-1.875
2022-2023 exploratory,2,good,2,poor,,matrix,51,49,False,0.0466185428629,0.0434782608696,1.82352941176,2,0.0895114106717,0.0586503803833,0.471208910149,0.470588235294,0.102507792116,0.1,21.7843137255,22,-1.02450980392,0.25
2022-2023 exploratory,2,good,3,average,,matrix,33,33,False,0.0582061153159,0.0555555555556,2.42424242424,2,0.128524872936,0.122141347266,0.48519060914,0.482142857143,0.0933188412232,0.08,24.5454545455,23,1.87878787879,1.75
2022-2023 exploratory,2,good,4,good,,matrix,53,53,False,0.0581515304704,0.0512820512821,2.41509433962,2,0.0758890967995,0.106851177556,0.485834776388,0.478260869565,0.0986022964079,0.09375,23.3773584906,21,1.24056603774,-0.5
2022-2023 exploratory,2,good,5,elite rush,,matrix,37,36,False,0.0679734789415,0.0645161290323,2.56756756757,3,0.0135435754732,-0.0137997113182,0.441108724667,0.433962264151,0.0976950309335,0.0740740740741,21.3783783784,20,0.0472972972973,-1.25
2022-2023 exploratory,3,average,1,very poor rush,,matrix,39,39,False,0.0498584091499,0.046511627907,1.89743589744,2,0.165374800976,0.150954182848,0.504933688864,0.481481481481,0.105101297106,0.1,27.2051282051,27,4.36538461538,3
2022-2023 exploratory,3,average,2,poor,,matrix,35,34,False,0.0520932986,0.0294117647059,1.97142857143,1,0.171727401451,0.204402346301,0.508199408725,0.533333333333,0.0995011083041,0.0967741935484,25.0571428571,27,2.32857142857,0.25
2022-2023 exploratory,3,average,3,average,,matrix,38,38,False,0.0585265285735,0.0548048048049,2.31578947368,2,0.0562154795361,0.0469787503984,0.434557465508,0.416619398752,0.0973425323212,0.102441150828,21.1842105263,20.5,-0.809210526316,-1.375
2022-2023 exploratory,3,average,4,good,,matrix,34,34,False,0.0635608302947,0.0563492063493,2.52941176471,2.5,-0.0376182749875,-0.0705677593401,0.444161493173,0.439209164819,0.088020450931,0.0652482269503,21.2647058824,20,0.448529411765,-0.5
