window,contrast,outcome,n_a,n_b,difference,ci_low,ci_high
2022-2023 exploratory,very poor protection: elite vs very poor rush,team_sack_rate,31,45,0.0111750168219,-0.0113603403542,0.0340651668026
2022-2023 exploratory,very poor protection: elite vs very poor rush,team_pass_epa_db,31,45,-0.0520596118639,-0.167368818152,0.0696286374558
2022-2023 exploratory,very poor protection: elite vs very poor rush,team_pass_success_rate,31,45,-0.0100384876226,-0.0499286917258,0.0300129253161
2022-2023 exploratory,very poor protection: elite vs very poor rush,team_total_margin,31,45,-0.428136200717,-4.55574089105,4.09753125
2022-2023 exploratory,very poor protection: average vs very poor rush,team_sack_rate,34,45,0.000620397884441,-0.0230247235924,0.0235826202374
2022-2023 exploratory,very poor protection: average vs very poor rush,team_pass_epa_db,34,45,0.0297331688669,-0.0914948818942,0.15678198941
2022-2023 exploratory,very poor protection: average vs very poor rush,team_pass_success_rate,34,45,0.0231719969185,-0.0225660920669,0.0702493902347
2022-2023 exploratory,very poor protection: average vs very poor rush,team_total_margin,34,45,0.217973856209,-3.72738095238,4.29382717331
2022-2023 exploratory,very poor protection: elite vs average rush,team_sack_rate,31,34,0.0105546189374,-0.0107454065075,0.0321270306518
2022-2023 exploratory,very poor protection: elite vs average rush,team_pass_epa_db,31,34,-0.0817927807308,-0.217213582549,0.0464245003728
2022-2023 exploratory,very poor protection: elite vs average rush,team_pass_success_rate,31,34,-0.0332104845411,-0.0843162273954,0.0158237931179
2022-2023 exploratory,very poor protection: elite vs average rush,team_total_margin,31,34,-0.646110056926,-5.08950878137,3.69033581786
2022-2023 exploratory,elite rush: very poor vs elite protection,team_sack_rate,31,38,0.0292978599898,0.00626829307067,0.0511053207445
2022-2023 exploratory,elite rush: very poor vs elite protection,team_pass_epa_db,31,38,-0.123758375357,-0.234991167585,-0.0189375984915
2022-2023 exploratory,elite rush: very poor vs elite protection,team_pass_success_rate,31,38,-0.0213058417412,-0.0563024211971,0.0140126612083
2022-2023 exploratory,elite rush: very poor vs elite protection,team_total_margin,31,38,0.512945670628,-3.85821994617,4.80253284535
2022-2023 exploratory,elite rush: average vs elite protection,team_sack_rate,31,38,0.00684530598092,-0.0168818917605,0.0309985110564
2022-2023 exploratory,elite rush: average vs elite protection,team_pass_epa_db,31,38,-0.00540870874333,-0.116096894153,0.0975901646005
2022-2023 exploratory,elite rush: average vs elite protection,team_pass_success_rate,31,38,0.00930201355872,-0.0227535247581,0.040275311218
2022-2023 exploratory,elite rush: average vs elite protection,team_total_margin,31,38,1.93230050934,-2.13926290521,6.12448137369
2022-2023 exploratory,elite rush: very poor vs average protection,team_sack_rate,31,31,0.0224525540089,-0.00464153665725,0.0495030838907
