game_id,week,offense,defense,espn_pbwr_rank,espn_opponent_prwr_rank,espn_defensive_rank_edge,protection_raw_prior8,pass_rush_raw_prior8,protection_z,pass_rush_z,protection_percentile,pass_rush_percentile,protection_quintile_label,rush_quintile_label,risk_group,team_sack_rate,team_sacks,team_pass_epa_db,team_pass_success_rate,team_points,implied_team_total,team_total_margin
2026_02_GB_NYJ,2,gb,nyj,32,3,29,0.196226415094,0.0905923344948,1.05931099723,-1.79188871005,0.859375,0.046875,very poor,very poor rush,very poor protection + very poor rush,0.0789473684211,3,0.0553609392794,0.297297297297,20,24,-4
2026_02_IND_KC,2,kc,ind,24,5,19,0.208722741433,0.106918238994,1.49719338557,-1.4001590323,0.953125,0.109375,very poor,very poor rush,very poor protection + very poor rush,0.0384615384615,2,0.251359080899,0.538461538462,33,26.25,6.75
2026_02_MIN_CHI,2,chi,min,18,1,17,0.106918238994,0.227450980392,-1.06655505713,2.24345754586,0.140625,0.984375,elite protection,elite rush,elite protection + elite rush,0.0909090909091,4,-0.0246208004145,0.348837209302,3,25.5,-22.5
2026_02_SEA_ARI,2,ari,sea,31,17,14,0.18306010929,0.159744408946,0.823999255357,0.251893170824,0.734375,0.578125,poor,average,other,0.0588235294118,2,-0.223906260487,0.323529411765,7,18.5,-11.5
2026_02_LV_LAC,2,lac,lv,27,14,13,0.189710610932,0.187725631769,0.985597653531,1.17950089228,0.828125,0.921875,very poor,elite rush,very poor protection + elite rush,0.0882352941176,3,-0.069225541439,0.352941176471,14,25,-11
2026_02_PHI_TEN,2,ten,phi,30,18,12,0.148264984227,0.157894736842,-0.0823490640453,0.192556595141,0.578125,0.546875,average,average,other,0.08,2,0.0373122635682,0.36,20,16.25,3.75
2026_02_SEA_ARI,2,sea,ari,17,6,11,0.135849056604,0.0933333333333,-0.414137172958,-1.81544481982,0.421875,0.015625,average,very poor rush,other,0.0344827586207,1,0.598309247784,0.535714285714,31,22,9
2026_02_MIA_SF,2,mia,sf,19,11,8,0.185654008439,0.11003236246,0.89202572046,-1.29561379764,0.765625,0.140625,poor,very poor rush,other,0.129032258065,4,0.141387071116,0.322580645161,13,16,-3
2026_02_NO_BAL,2,bal,no,28,22,6,0.143459915612,0.159322033898,-0.19672753088,0.234641169294,0.484375,0.609375,average,good,other,0.0769230769231,3,0.0760253622696,0.564102564103,17,27,-10
2026_02_NO_BAL,2,no,bal,24,19,5,0.138586956522,0.149122807018,-0.312722042986,-0.0660881835106,0.453125,0.484375,average,average,other,0.0714285714286,3,0.230352094832,0.414634146341,24,18.5,5.5
2026_02_IND_KC,2,ind,kc,14,10,4,0.145833333333,0.185185185185,-0.147777577239,1.04069563793,0.515625,0.890625,average,elite rush,other,0,0,0.223825312515,0.485714285714,30,20.25,9.75
2026_02_CAR_ATL,2,car,atl,24,20,4,0.126279863481,0.129310344828,-0.605676534557,-0.650268631844,0.359375,0.265625,good,poor,other,0.05,2,0.272378306732,0.45,34,23,11
