component,test,cohort,n,pearson,spearman,top_quartile_retention,bottom_quartile_retention,rank_retention_n,rank_retention_within_20pct
pass_rush,prior4_vs_next4,all,1278,0.141415109205,0.128047715418,0.277108433735,0.340625,,
pass_rush,prior8_vs_next4,all,766,0.192705431938,0.157748771276,0.328125,0.359375,,
pass_rush,prior8_vs_next8,all,254,0.282899952274,0.241106073901,0.265625,0.359375,,
pass_rush,pregame_prior4_vs_next4,all,1662,0.150845097679,0.136333755854,0.274418604651,0.329326923077,,
pass_rush,pregame_prior8_vs_next4,all,1662,0.23059542685,0.20594327908,0.319711538462,0.370192307692,,
pass_rush,pregame_prior16_vs_next4,all,1534,0.240302018561,0.206779367362,0.315104166667,0.361979166667,,
pass_rush,pregame_season_to_date_vs_next4,all,1278,0.233304417503,0.208034713216,0.315625,0.384375,,
pass_rush,pregame_ewma_vs_next4,all,1662,0.22403082357,0.198042342927,0.317307692308,0.375,,
pass_rush,prior8_vs_next4,2022,190,0.198335450149,0.119456556784,0.333333333333,0.375,,
pass_rush,prior8_vs_next4,2023,192,0.257550875332,0.266370126228,0.333333333333,0.416666666667,,
pass_rush,prior8_vs_next4,2024,192,0.0345383062443,0.0389941836167,0.25,0.229166666667,,
pass_rush,prior8_vs_next4,2025,192,0.269522146554,0.231694347629,0.354166666667,0.458333333333,,
pass_rush,next_game_pregame_percentile_OVERLAPPING,all,1918,0.897375371987,0.897318024827,0.790960451977,0.813308687616,1918,0.87330552659
pass_rush,first_half_vs_second_half,all,128,0.301543090619,0.245623421864,0.28125,0.34375,,
pass_rush,year_n_vs_year_n_plus_1,all,96,0.292160738571,0.270612691987,0.333333333333,0.333333333333,,
pass_rush,year_n_vs_year_n_plus_1,2022_to_2023,32,0.119524143483,0.145894428152,0.25,0.125,,
pass_rush,year_n_vs_year_n_plus_1,2023_to_2024,32,0.238862206719,0.245601173021,0.25,0.5,,
pass_rush,year_n_vs_year_n_plus_1,2024_to_2025,32,0.532552522527,0.45491202346,0.5,0.375,,
pass_rush,last8_vs_next_first4,all,96,0.203006362618,0.234589923769,0.291666666667,0.416666666667,,
pass_rush,last8_vs_next_first4,2022_to_2023,32,-0.0135018292297,0.0527859237537,0.125,0.5,,
pass_rush,last8_vs_next_first4,2023_to_2024,32,0.235172290337,0.278984512216,0,0.375,,
pass_rush,last8_vs_next_first4,2024_to_2025,32,0.313929621593,0.199780058651,0.5,0.125,,
pass_rush,last8_vs_next_first8,all,96,0.249831270633,0.253422636747,0.416666666667,0.333333333333,,
pass_rush,last8_vs_next_first8,2022_to_2023,32,0.209463630699,0.182184750733,0.25,0.25,,
pass_rush,last8_vs_next_first8,2023_to_2024,32,0.164585483889,0.216662085045,0.375,0.375,,
pass_rush,last8_vs_next_first8,2024_to_2025,32,0.339643143425,0.270161290323,0.25,0.25,,
