component,test,cohort,n,pearson,spearman,top_quartile_retention,bottom_quartile_retention,rank_retention_n,rank_retention_within_20pct
protection,prior4_vs_next4,all,1278,0.437279613764,0.443547277971,0.503125,0.421538461538,,
protection,prior8_vs_next4,all,766,0.543418751424,0.534659259076,0.552083333333,0.455958549223,,
protection,prior8_vs_next8,all,254,0.557816732735,0.56506105355,0.53125,0.546875,,
protection,pregame_prior4_vs_next4,all,1662,0.41801576292,0.409779411221,0.475961538462,0.409523809524,,
protection,pregame_prior8_vs_next4,all,1662,0.452752048866,0.452700080648,0.492788461538,0.444711538462,,
protection,pregame_prior16_vs_next4,all,1534,0.431247048087,0.424623017168,0.484375,0.385416666667,,
protection,pregame_season_to_date_vs_next4,all,1278,0.479884388886,0.490296826993,0.509375,0.442367601246,,
protection,pregame_ewma_vs_next4,all,1662,0.465981867464,0.462898526173,0.514423076923,0.449519230769,,
protection,prior8_vs_next4,2022,190,0.532383792575,0.516194303655,0.479166666667,0.333333333333,,
protection,prior8_vs_next4,2023,192,0.522058014181,0.445116378859,0.604166666667,0.395833333333,,
protection,prior8_vs_next4,2024,192,0.521111154755,0.52226792037,0.479166666667,0.583333333333,,
protection,prior8_vs_next4,2025,192,0.604693925153,0.605994455732,0.666666666667,0.5625,,
protection,next_game_pregame_percentile_OVERLAPPING,all,1918,0.935309961363,0.935216203103,0.826961770624,0.778597785978,1918,0.93795620438
protection,first_half_vs_second_half,all,128,0.559299455313,0.562140200288,0.53125,0.5,,
protection,year_n_vs_year_n_plus_1,all,96,0.386802901693,0.37287032013,0.5,0.458333333333,,
protection,year_n_vs_year_n_plus_1,2022_to_2023,32,0.57598859885,0.526026392962,0.625,0.625,,
protection,year_n_vs_year_n_plus_1,2023_to_2024,32,0.300173629489,0.414589442815,0.375,0.5,,
protection,year_n_vs_year_n_plus_1,2024_to_2025,32,0.320609089015,0.282258064516,0.5,0.25,,
protection,last8_vs_next_first4,all,96,0.402428742708,0.376988137306,0.416666666667,0.333333333333,,
protection,last8_vs_next_first4,2022_to_2023,32,0.505988323357,0.437683284457,0.75,0.125,,
protection,last8_vs_next_first4,2023_to_2024,32,0.110991694566,0.0846774193548,0.375,0.25,,
protection,last8_vs_next_first4,2024_to_2025,32,0.603227133905,0.582714694043,0.5,0.75,,
protection,last8_vs_next_first8,all,96,0.365692917949,0.363697406056,0.458333333333,0.333333333333,,
protection,last8_vs_next_first8,2022_to_2023,32,0.661694156644,0.62646627566,0.75,0.625,,
protection,last8_vs_next_first8,2023_to_2024,32,0.187558640721,0.25,0.5,0.125,,
protection,last8_vs_next_first8,2024_to_2025,32,0.266899695799,0.244868035191,0.375,0.5,,
