window,outcome,model,term,n,games,coefficient,se,ci_low,ci_high,p_normal,clustered_by_game,signal_form
2022-2023 exploratory,team_sack_rate,protection_z,intercept,958,479,0.0640971807238,0.00143150307468,0.0612914346975,0.0669029267502,0,True,A protection
2022-2023 exploratory,team_sack_rate,protection_z,protection_z,958,479,0.0109833866765,0.00157893675114,0.0078886706443,0.0140781027088,3.49594159955e-12,True,A protection
2022-2023 exploratory,team_sack_rate,pass_rush_z,intercept,958,479,0.0642090835554,0.00145904545556,0.0613493544625,0.0670688126483,0,True,B rush
2022-2023 exploratory,team_sack_rate,pass_rush_z,pass_rush_z,958,479,0.00510577511633,0.00149405737858,0.00217742265431,0.00803412757835,0.000632248910586,True,B rush
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z,intercept,958,479,0.0641312173871,0.00143412970969,0.0613203231561,0.0669421116181,0,True,C additive
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z,protection_z,958,479,0.0111282648488,0.00158747369533,0.00801681640596,0.0142397132917,2.38238474068e-12,True,C additive
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z,pass_rush_z,958,479,0.00540629259662,0.00147961597667,0.00250624528234,0.0083063399109,0.000258338750319,True,C additive
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z+component_interaction,intercept,958,479,0.0640738410484,0.00143047350259,0.0612701129833,0.0668775691135,0,True,D interaction
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z+component_interaction,protection_z,958,479,0.011087372196,0.00158042987371,0.00798972964349,0.0141850147484,2.29266633271e-12,True,D interaction
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z+component_interaction,pass_rush_z,958,479,0.00542062137034,0.00146309617029,0.00255295287658,0.0082882898641,0.000211476216371,True,D interaction
2022-2023 exploratory,team_sack_rate,protection_z+pass_rush_z+component_interaction,component_interaction,958,479,-0.00220544135835,0.00148451416773,-0.0051150891271,0.0007042064104,0.137376556201,True,D interaction
2022-2023 exploratory,team_pass_epa_db,protection_z,intercept,958,479,0.0324245260617,0.00896298413226,0.0148570771624,0.0499919749609,0.000297343018937,True,A protection
2022-2023 exploratory,team_pass_epa_db,protection_z,protection_z,958,479,-0.040954355108,0.00871891958916,-0.0580434375028,-0.0238652727133,2.63774961605e-06,True,A protection
2022-2023 exploratory,team_pass_epa_db,pass_rush_z,intercept,958,479,0.0319181480377,0.00903986584066,0.01420001099,0.0496362850854,0.000414272017832,True,B rush
2022-2023 exploratory,team_pass_epa_db,pass_rush_z,pass_rush_z,958,479,-0.0327743780886,0.00974064637206,-0.0518660449778,-0.0136827111993,0.0007662620657,True,B rush
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z,intercept,958,479,0.0322110694227,0.00896357057164,0.0146424711023,0.0497796677431,0.000326198769695,True,C additive
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z,protection_z,958,479,-0.0418629402848,0.0087501174833,-0.0590131705521,-0.0247127100176,1.71608341929e-06,True,C additive
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z,pass_rush_z,958,479,-0.0339048818556,0.00974893165078,-0.0530127878911,-0.0147969758201,0.00050553781663,True,C additive
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,intercept,958,479,0.032290850589,0.00895916340703,0.0147308903112,0.0498508108668,0.000313084421516,True,D interaction
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,protection_z,958,479,-0.0418060795019,0.00872932820311,-0.05891556278,-0.0246965962238,1.67487593782e-06,True,D interaction
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,pass_rush_z,958,479,-0.0339248058575,0.0097615100278,-0.0530573655119,-0.014792246203,0.00051015956169,True,D interaction
2022-2023 exploratory,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,component_interaction,958,479,0.00306664189065,0.00875685804878,-0.014096799885,0.0202300836663,0.726189446417,True,D interaction
2022-2023 exploratory,team_pass_success_rate,protection_z,intercept,958,479,0.456041372841,0.00312909790819,0.449908340941,0.462174404741,0,True,A protection
2022-2023 exploratory,team_pass_success_rate,protection_z,protection_z,958,479,-0.0124947472293,0.002932448945,-0.0182423471615,-0.00674714729712,2.036440051e-05,True,A protection
2022-2023 exploratory,team_pass_success_rate,pass_rush_z,intercept,958,479,0.455875923668,0.00314961460457,0.449702679043,0.462049168293,0,True,B rush
2022-2023 exploratory,team_pass_success_rate,pass_rush_z,pass_rush_z,958,479,-0.0116881763157,0.00311996189058,-0.0178033016212,-0.00557305101017,0.000179493338856,True,B rush
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z,intercept,958,479,0.455965607876,0.00312096315491,0.449848520092,0.46208269566,0,True,C additive
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z,protection_z,958,479,-0.0128172432844,0.00295319841783,-0.0186055121833,-0.00702897438542,1.42403224113e-05,True,C additive
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z,pass_rush_z,958,479,-0.0120343044595,0.00315107632169,-0.01821041405,-0.005858194869,0.000133934484974,True,C additive
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,intercept,958,479,0.455952596922,0.00312512372958,0.449827354412,0.462077839431,0,True,D interaction
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,protection_z,958,479,-0.0128265163132,0.00295247604545,-0.0186133693622,-0.00703966326407,1.39704383697e-05,True,D interaction
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,pass_rush_z,958,479,-0.0120310551929,0.00314871397943,-0.0182025345926,-0.00585957579323,0.000132942625555,True,D interaction
2022-2023 exploratory,team_pass_success_rate,protection_z+pass_rush_z+component_interaction,component_interaction,958,479,-0.000500117253046,0.00293998401772,-0.00626248592778,0.00526225142168,0.864924546295,True,D interaction
2022-2023 exploratory,team_total_margin,protection_z,intercept,958,479,0.157029052833,0.299342680803,-0.429682601541,0.743740707206,0.59987549657,True,A protection
2022-2023 exploratory,team_total_margin,protection_z,protection_z,958,479,0.0823981217284,0.293905338592,-0.493656341911,0.658452585368,0.779204399643,True,A protection
2022-2023 exploratory,team_total_margin,pass_rush_z,intercept,958,479,0.155575652559,0.299106283778,-0.430672663646,0.741823968763,0.602969472263,True,B rush
2022-2023 exploratory,team_total_margin,pass_rush_z,pass_rush_z,958,479,-0.315105342777,0.310802775999,-0.924278783735,0.294068098182,0.310657483104,True,B rush
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z,intercept,958,479,0.155057811017,0.299292627865,-0.431555739598,0.741671361631,0.604401786216,True,C additive
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z,protection_z,958,479,0.0740074663604,0.294269676163,-0.50276109892,0.650776031641,0.80143112754,True,C additive
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z,pass_rush_z,958,479,-0.313106779873,0.31099561228,-0.922658179941,0.296444620196,0.314036462536,True,C additive
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z+component_interaction,intercept,958,479,0.16024537645,0.299276437943,-0.426336441919,0.746827194819,0.592343787474,True,D interaction
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z+component_interaction,protection_z,958,479,0.0777046927298,0.293792280509,-0.498128177068,0.653537562527,0.791403490602,True,D interaction
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z+component_interaction,pass_rush_z,958,479,-0.314402286921,0.311128652476,-0.924214445774,0.295409871931,0.312245358869,True,D interaction
2022-2023 exploratory,team_total_margin,protection_z+pass_rush_z+component_interaction,component_interaction,958,479,0.199400512688,0.290919623554,-0.370801949479,0.769602974854,0.493082430587,True,D interaction
2024-2025 heldout,team_sack_rate,protection_z,intercept,1088,544,0.0617085161859,0.00136557367954,0.059031991774,0.0643850405978,0,True,A protection
2024-2025 heldout,team_sack_rate,protection_z,protection_z,1088,544,0.0096230510376,0.00144590913797,0.00678906912717,0.012457032948,2.82600545738e-11,True,A protection
2024-2025 heldout,team_sack_rate,pass_rush_z,intercept,1088,544,0.0616847538009,0.00139286029362,0.0589547476254,0.0644147599764,0,True,B rush
2024-2025 heldout,team_sack_rate,pass_rush_z,pass_rush_z,1088,544,0.00239175927642,0.00160796454278,-0.000759851227428,0.00554336978028,0.136897244235,True,B rush
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z,intercept,1088,544,0.0617078803257,0.00136438353782,0.0590336885916,0.0643820720598,0,True,C additive
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z,protection_z,1088,544,0.00956496021147,0.00144603411334,0.00673073334932,0.0123991870736,3.72517749885e-11,True,C additive
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z,pass_rush_z,1088,544,0.00212952620023,0.00156267267765,-0.000933312247959,0.00519236464842,0.172962522683,True,C additive
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z+component_interaction,intercept,1088,544,0.0616686770733,0.00136241186168,0.0589983498244,0.0643390043222,0,True,D interaction
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z+component_interaction,protection_z,1088,544,0.0094943053971,0.0014455343797,0.0066610580129,0.0123275527813,5.09871120844e-11,True,D interaction
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z+component_interaction,pass_rush_z,1088,544,0.00217281976905,0.00157314669327,-0.000910547749759,0.00525618728786,0.167219515455,True,D interaction
2024-2025 heldout,team_sack_rate,protection_z+pass_rush_z+component_interaction,component_interaction,1088,544,0.00148581875628,0.00147581218537,-0.00140677312705,0.00437841063961,0.314040323975,True,D interaction
2024-2025 heldout,team_pass_epa_db,protection_z,intercept,1088,544,0.0775801330185,0.00886547287754,0.0602038061785,0.0949564598585,2.11813142372e-18,True,A protection
2024-2025 heldout,team_pass_epa_db,protection_z,protection_z,1088,544,-0.0532087169429,0.00948359479401,-0.0717965627392,-0.0346208711466,2.01618949638e-08,True,A protection
2024-2025 heldout,team_pass_epa_db,pass_rush_z,intercept,1088,544,0.077713343291,0.00894586837183,0.0601794412822,0.0952472452998,3.7192215043e-18,True,B rush
2024-2025 heldout,team_pass_epa_db,pass_rush_z,pass_rush_z,1088,544,-0.0210463991854,0.00895302382222,-0.038594325877,-0.00349847249387,0.01873517598,True,B rush
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z,intercept,1088,544,0.0775859861113,0.00884409760135,0.0602515548127,0.09492041741,1.745425493e-18,True,C additive
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z,protection_z,1088,544,-0.0526739908971,0.00952629251493,-0.0713455242264,-0.0340024575679,3.21460776091e-08,True,C additive
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z,pass_rush_z,1088,544,-0.0196022883514,0.00868946612926,-0.0366336419647,-0.00257093473804,0.0240789007565,True,C additive
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,intercept,1088,544,0.0777423723129,0.00884293108393,0.0604102273884,0.0950745172374,1.47614310701e-18,True,D interaction
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,protection_z,1088,544,-0.0523921408628,0.00953572833409,-0.0710821683976,-0.033702113328,3.92265824017e-08,True,D interaction
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,pass_rush_z,1088,544,-0.019774991287,0.00869066637378,-0.0368086973796,-0.00274128519441,0.0228802281093,True,D interaction
2024-2025 heldout,team_pass_epa_db,protection_z+pass_rush_z+component_interaction,component_interaction,1088,544,-0.0059270988278,0.00939302307407,-0.024337424053,0.0124832263974,0.528033475134,True,D interaction
2024-2025 heldout,team_pass_success_rate,protection_z,intercept,1088,544,0.465635092402,0.0029581229691,0.459837171383,0.471433013422,0,True,A protection
2024-2025 heldout,team_pass_success_rate,protection_z,protection_z,1088,544,-0.0126460700337,0.00312883173251,-0.0187785802294,-0.00651355983797,5.30455063081e-05,True,A protection
