window,threshold,group,dimension,n,games,small_n_lt_25,mean_team_sack_rate,median_team_sack_rate,mean_team_sacks,median_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,mean_team_pass_success_rate,median_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,mean_team_points,median_team_points,mean_team_total_margin,median_team_total_margin
2022-2023 exploratory,protection top 50%,,protection,484,367,False,0.0721920547234,0.0681818181818,2.8305785124,3,-0.00669595679025,-0.00945473288237,0.44293641794,0.443376068376,0.0870666183353,0.08,20.7024793388,20,0.132747933884,-1
2022-2023 exploratory,protection top 25%,,protection,249,218,False,0.0810928729592,0.078431372549,3.17269076305,3,-0.0464241279653,-0.0413547116465,0.432836578635,0.431818181818,0.0818215631469,0.0731707317073,19.3815261044,19,-0.393574297189,-1.75
2022-2023 exploratory,protection top 20%,,protection,180,163,False,0.0846565275297,0.0833333333333,3.29444444444,3,-0.0605635643361,-0.0472778703854,0.431813985647,0.431818181818,0.0834341685172,0.0769230769231,19.1722222222,17.5,-0.402777777778,-2.375
2022-2023 exploratory,protection top 10%,,protection,91,88,False,0.0857375035032,0.0851063829787,3.1978021978,3,-0.0277747692735,0.00364063575479,0.435662979887,0.4375,0.0881630186739,0.0789473684211,20.1098901099,17,0.57967032967,-1.75
2022-2023 exploratory,pass_rush top 50%,,pass_rush,465,351,False,0.0675920350424,0.0612244897959,2.69247311828,2,0.00620507607646,0.0208933160317,0.446180127554,0.447368421053,0.0877098604214,0.0769230769231,21.1268817204,20,0.010752688172,-1.25
2022-2023 exploratory,pass_rush top 25%,,pass_rush,235,208,False,0.069440705977,0.0645161290323,2.70212765957,2,6.01948986531e-05,0.016477927083,0.442702065476,0.441176470588,0.0888093849964,0.0769230769231,21.2382978723,20,0.373404255319,-1
2022-2023 exploratory,pass_rush top 20%,,pass_rush,177,162,False,0.0700164182648,0.0645161290323,2.72881355932,3,-0.00320272152719,0.00781108027066,0.438665448283,0.432432432432,0.0864633376487,0.0769230769231,20.7966101695,20,-0.0466101694915,-1.25
2022-2023 exploratory,pass_rush top 10%,,pass_rush,87,85,False,0.0752174103102,0.0731707317073,2.94252873563,3,-0.0238175300045,-0.0620151673256,0.434260352075,0.428571428571,0.0858408589324,0.0731707317073,20.0574712644,20,-0.770114942529,-1.75
2022-2023 exploratory,protection top 50% + rush top 20%,,combined,85,82,False,0.0750225540182,0.0731707317073,2.97647058824,3,-0.0296482037128,-0.0174540401998,0.433164209988,0.425,0.0808561882561,0.0731707317073,20.1176470588,20,0.426470588235,0.25
2022-2023 exploratory,protection top 25% + rush top 20%,,combined,44,43,False,0.0787799285162,0.0776772247361,3.20454545455,3,-0.0601637539752,-0.0695098759783,0.424123444387,0.401923076923,0.0764324455488,0.0606060606061,18.9090909091,19.5,-0.142045454545,0.875
2022-2023 exploratory,protection top 20% + rush top 20%,,combined,31,31,False,0.0910850106877,0.0925925925926,3.70967741935,4,-0.0890226389597,-0.150399075092,0.425968666644,0.4,0.0787746976707,0.0731707317073,18.6451612903,19,-0.572580645161,-1.5
2022-2023 exploratory,protection top 10% + rush top 20%,,combined,16,16,True,0.0929542604456,0.093023255814,3.6875,4,-0.0629279281525,-0.0400516366991,0.437213850204,0.410427807486,0.0938884089811,0.0839160839161,19.4375,20.5,-0.53125,-1.25
2024-2025 heldout,protection top 50%,,protection,535,399,False,0.0692842666927,0.0625,2.68411214953,2,0.0318745391876,0.0424124374276,0.453494430408,0.450980392157,0.0877337902279,0.0810810810811,21.4990654206,21,0.0299065420561,-0.5
2024-2025 heldout,protection top 25%,,protection,281,239,False,0.0748381670873,0.0652173913043,2.83629893238,3,-0.00527350264095,0.0100643861909,0.444613910513,0.446428571429,0.083800534769,0.0789473684211,20.9110320285,20,0.0907473309609,-0.75
2024-2025 heldout,protection top 20%,,protection,211,187,False,0.0770812442258,0.0681818181818,2.94312796209,3,-0.00276158753853,0.00620168691114,0.444341147392,0.444444444444,0.0849655991341,0.08,20.8483412322,20,0.191943127962,-0.75
2024-2025 heldout,protection top 10%,,protection,103,100,False,0.073067815709,0.0666666666667,2.8640776699,3,0.00378299188975,0.00561828123181,0.449762132205,0.446808510638,0.0812200655885,0.0769230769231,21.3495145631,20,1.07524271845,-0.75
2024-2025 heldout,pass_rush top 50%,,pass_rush,543,408,False,0.0627112892773,0.0555555555556,2.41988950276,2,0.0710801512046,0.0712959131124,0.460865350835,0.461538461538,0.0930619252705,0.0851063829787,22.7311233886,23,0.946132596685,0.75
2024-2025 heldout,pass_rush top 25%,,pass_rush,270,238,False,0.0614431069267,0.0535714285714,2.37777777778,2,0.0570403085964,0.0500994235831,0.453687238881,0.454545454545,0.0926904851298,0.0833333333333,22.2666666667,22,0.721296296296,0.5
2024-2025 heldout,pass_rush top 20%,,pass_rush,210,196,False,0.0612040321666,0.050641025641,2.4,2,0.0594407159172,0.0467558832588,0.457147020235,0.457384987894,0.0919828482533,0.0833333333333,22.7238095238,23,1.06666666667,0.5
2024-2025 heldout,pass_rush top 10%,,pass_rush,99,98,False,0.0646854779738,0.05,2.60606060606,2,0.0359520561291,0.0327122939556,0.448210657206,0.457142857143,0.0881497567607,0.0816326530612,22.7070707071,23,1.10101010101,1
2024-2025 heldout,protection top 50% + rush top 20%,,combined,105,102,False,0.0704219473017,0.0652173913043,2.77142857143,3,-0.0258546255543,-0.0375426065394,0.439694758181,0.441860465116,0.0852192442039,0.0810810810811,20.9904761905,20,0.107142857143,-0.5
2024-2025 heldout,protection top 25% + rush top 20%,,combined,57,56,False,0.0749335373729,0.0652173913043,2.9298245614,3,-0.0704293348496,-0.0478109542497,0.431369286385,0.446808510638,0.0835846049931,0.08,20.4912280702,21,-0.140350877193,-0.25
2024-2025 heldout,protection top 20% + rush top 20%,,combined,49,48,False,0.0717527308055,0.0666666666667,2.87755102041,3,-0.0406643009203,-0.0209030868455,0.443878158982,0.448275862069,0.0844451629439,0.0789473684211,20.8367346939,21,0.163265306122,0.75
2024-2025 heldout,protection top 10% + rush top 20%,,combined,26,26,False,0.0698217808317,0.069918699187,2.76923076923,3,-0.0581968542184,-0.0678082100729,0.43936489457,0.447542186353,0.0800721730895,0.0810147299509,20.3076923077,20,0.711538461538,0.875
2022-2025 full,protection top 50%,,protection,1019,766,False,0.070665394668,0.0652173913043,2.75368007851,3,0.0135544998811,0.016669733811,0.448479633514,0.447368421053,0.0874168999472,0.0810810810811,21.1207065751,20,0.0787536800785,-0.5
2022-2025 full,protection top 25%,,protection,530,457,False,0.0777766987139,0.0731707317073,2.99433962264,3,-0.0246065322745,-0.0162235194978,0.439080786668,0.440338983051,0.0828707914975,0.0769230769231,20.1924528302,20,-0.13679245283,-1
2022-2025 full,protection top 20%,,protection,391,350,False,0.0805685869233,0.0740740740741,3.10485933504,3,-0.0293711932254,-0.0186438978536,0.43857416756,0.4375,0.084260592712,0.0769230769231,20.0767263427,19,-0.0818414322251,-1.5
2022-2025 full,protection top 10%,,protection,194,188,False,0.0790108135919,0.0740740740741,3.0206185567,3,-0.01101987546,0.00400814228967,0.443148612303,0.445436507937,0.0844768116234,0.0769230769231,20.7680412371,19.5,0.842783505155,-1
2022-2025 full,pass_rush top 50%,,pass_rush,1008,759,False,0.064962823782,0.0576923076923,2.54563492063,2,0.0411526611901,0.0417788828931,0.454090917476,0.453687821612,0.0905929667835,0.0813568670712,21.9910714286,21,0.514632936508,-0.25
2022-2025 full,pass_rush top 25%,,pass_rush,505,446,False,0.0651647619303,0.0571428571429,2.52871287129,2,0.030524810143,0.0289549109643,0.448575326504,0.448275862069,0.0908844286321,0.08,21.7881188119,20,0.559405940594,0
2022-2025 full,pass_rush top 20%,,pass_rush,387,358,False,0.0652345033278,0.0555555555556,2.5503875969,2,0.0307898414272,0.0278887300148,0.448694208257,0.446808510638,0.0894584209225,0.08,21.842377261,20,0.557493540052,0
2022-2025 full,pass_rush top 10%,,pass_rush,186,183,False,0.0696117043892,0.0645161290323,2.76344086022,3,0.00799531422792,0.000145654691743,0.441685514483,0.444444444444,0.0870697884217,0.0769230769231,21.4677419355,20,0.225806451613,0.125
2022-2025 full,protection top 50% + rush top 20%,,combined,190,184,False,0.0724801134643,0.0659420289855,2.86315789474,3,-0.0275517526252,-0.0206116857531,0.436773197147,0.431677018633,0.0832673507536,0.0769230769231,20.6,20,0.25,-0.25
2022-2025 full,protection top 25% + rush top 20%,,combined,101,99,False,0.0766091929204,0.0731707317073,3.0495049505,3,-0.0659572006073,-0.0597829887375,0.42821268195,0.422222222222,0.0804688127599,0.075,19.801980198,20,-0.141089108911,0.5
2022-2025 full,protection top 20% + rush top 20%,,combined,80,79,False,0.0792439892599,0.0769230769231,3.2,3,-0.0594031569106,-0.0715745626337,0.436938230701,0.427248677249,0.0822478576506,0.0769230769231,19.9875,20,-0.121875,-0.25
2022-2025 full,protection top 10% + rush top 20%,,combined,42,42,False,0.0786341540179,0.0776772247361,3.11904761905,3,-0.0599991680981,-0.0537969714936,0.438545449097,0.420788530466,0.0853355010482,0.0810147299509,19.9761904762,20.5,0.238095238095,-0.125
2022,protection top 50%,,protection,209,150,False,0.0708097360594,0.0689655172414,2.66507177033,3,0.0103316716054,0.00584886654336,0.452693637257,0.447368421053,0.0855964508521,0.0769230769231,21.4976076555,20,0.586124401914,-0.5
2022,protection top 25%,,protection,107,90,False,0.0778316780455,0.0769230769231,2.8691588785,3,-0.0311651168259,-0.0387667497929,0.446216261475,0.447368421053,0.0786045108634,0.0714285714286,19.8037383178,17,-0.420560747664,-1.75
2022,protection top 20%,,protection,80,71,False,0.0784168408439,0.0790020790021,2.9,3,-0.0424300381416,-0.0490453668641,0.447985673296,0.447368421053,0.0791207347062,0.0754985754986,19.9125,17,-0.140625,-2.375
2022,protection top 10%,,protection,42,40,False,0.0843737675424,0.0860314523589,3.04761904762,3,-0.0532154780243,-0.0428208600034,0.434515219401,0.447368421053,0.0838022359926,0.0779352226721,20.3571428571,17,0.535714285714,-1.875
2022,pass_rush top 50%,,pass_rush,200,151,False,0.0666715365998,0.0582579185521,2.59,2,0.0129211608639,0.0197025831819,0.448445688415,0.447368421053,0.0832559462893,0.0740740740741,21.055,20,-0.3325,-1.25
2022,pass_rush top 25%,,pass_rush,100,90,False,0.0681447896393,0.0635080645162,2.58,2,-0.00444085340485,-0.00995103604975,0.449437402592,0.439338235294,0.0812109106939,0.0705980066446,20.88,20,-0.135,-1.125
2022,pass_rush top 20%,,pass_rush,73,68,False,0.0718204623754,0.0681818181818,2.72602739726,2,-0.0247892769797,-0.0330317125345,0.440066559507,0.433333333333,0.0788134717702,0.0689655172414,19.3287671233,20,-1.55479452055,-1.5
2022,pass_rush top 10%,,pass_rush,40,39,False,0.0790875692819,0.0740853658536,3.025,3,-0.0529596211779,-0.0877011892801,0.431885445998,0.424621212121,0.0763687415927,0.0645161290323,19.25,20,-1.7875,-0.375
2022,protection top 50% + rush top 20%,,combined,37,35,False,0.0790625791005,0.075,2.97297297297,3,-0.0501855766547,-0.024528135424,0.445257337014,0.434782608696,0.0741684592984,0.0606060606061,18.6756756757,20,-1.20945945946,-1
2022,protection top 25% + rush top 20%,,combined,19,18,True,0.0764288947621,0.0731707317073,2.89473684211,2,-0.0665975889347,-0.093232748919,0.443474652479,0.422222222222,0.067327647632,0.0571428571429,17.6315789474,16,-1.73684210526,-1
2022,protection top 20% + rush top 20%,,combined,14,14,True,0.0880464863804,0.0813186813187,3.42857142857,3.5,-0.101272572233,-0.181025197856,0.438691011874,0.411111111111,0.0737490124696,0.0673400673401,16.7857142857,15,-2.83928571429,-5.625
2022,protection top 10% + rush top 20%,,combined,7,7,True,0.106107329363,0.1,4.28571428571,4,-0.115359275679,-0.180501366433,0.43734309618,0.422222222222,0.0688461142032,0.0454545454545,18.1428571429,17,-2,-1
