window,component,variant,outcome,n,pearson,spearman
2022-2023 exploratory,protection,prior4,team_sack_rate,958,0.201563905649,0.192204956428
2022-2023 exploratory,protection,prior4,team_pass_epa_db,958,-0.11000328755,-0.106675153797
2022-2023 exploratory,protection,prior4,team_pass_success_rate,958,-0.102938405324,-0.101352718782
2022-2023 exploratory,protection,prior8,team_sack_rate,958,0.231850053651,0.210535019961
2022-2023 exploratory,protection,prior8,team_pass_epa_db,958,-0.145073970099,-0.14731138955
2022-2023 exploratory,protection,prior8,team_pass_success_rate,958,-0.126491703815,-0.134935049929
2022-2023 exploratory,protection,prior16,team_sack_rate,830,0.256575624008,0.217772653685
2022-2023 exploratory,protection,prior16,team_pass_epa_db,830,-0.176189327868,-0.180690712491
2022-2023 exploratory,protection,prior16,team_pass_success_rate,830,-0.166923849519,-0.174590511527
2022-2023 exploratory,protection,season_to_date,team_sack_rate,830,0.242447116189,0.215757691177
2022-2023 exploratory,protection,season_to_date,team_pass_epa_db,830,-0.159353966796,-0.160086361445
2022-2023 exploratory,protection,season_to_date,team_pass_success_rate,830,-0.136578474949,-0.140839322451
2022-2023 exploratory,protection,ewma,team_sack_rate,958,0.232127443154,0.209146079266
2022-2023 exploratory,protection,ewma,team_pass_epa_db,958,-0.144012307773,-0.14210678881
2022-2023 exploratory,protection,ewma,team_pass_success_rate,958,-0.133878368803,-0.140255323486
2022-2023 exploratory,pass_rush,prior4,team_sack_rate,958,0.073811380153,0.0629465471063
2022-2023 exploratory,pass_rush,prior4,team_pass_epa_db,958,-0.0811856616147,-0.09669332373
2022-2023 exploratory,pass_rush,prior4,team_pass_success_rate,958,-0.0790447003492,-0.0883155947133
2022-2023 exploratory,pass_rush,prior8,team_sack_rate,958,0.105143369814,0.088540455414
2022-2023 exploratory,pass_rush,prior8,team_pass_epa_db,958,-0.11944375752,-0.111737972562
2022-2023 exploratory,pass_rush,prior8,team_pass_success_rate,958,-0.120328891019,-0.108717039857
2022-2023 exploratory,pass_rush,prior16,team_sack_rate,830,0.112823449103,0.0968848527821
2022-2023 exploratory,pass_rush,prior16,team_pass_epa_db,830,-0.096662756661,-0.0941301461013
2022-2023 exploratory,pass_rush,prior16,team_pass_success_rate,830,-0.0962984715808,-0.0914006922697
2022-2023 exploratory,pass_rush,season_to_date,team_sack_rate,830,0.107809226266,0.0989341806214
2022-2023 exploratory,pass_rush,season_to_date,team_pass_epa_db,830,-0.0964670641569,-0.0974005425952
2022-2023 exploratory,pass_rush,season_to_date,team_pass_success_rate,830,-0.125264871897,-0.123006438855
2022-2023 exploratory,pass_rush,ewma,team_sack_rate,958,0.0997088508564,0.0909809056201
2022-2023 exploratory,pass_rush,ewma,team_pass_epa_db,958,-0.110989278329,-0.113682282337
2022-2023 exploratory,pass_rush,ewma,team_pass_success_rate,958,-0.104202304201,-0.106067848158
2024-2025 heldout,protection,prior4,team_sack_rate,1088,0.204037921378,0.181484464052
2024-2025 heldout,protection,prior4,team_pass_epa_db,1088,-0.159337486185,-0.141095799299
2024-2025 heldout,protection,prior4,team_pass_success_rate,1088,-0.103414980291,-0.081926171482
2024-2025 heldout,protection,prior8,team_sack_rate,1088,0.212045216095,0.194756193182
2024-2025 heldout,protection,prior8,team_pass_epa_db,1088,-0.176769824883,-0.165287555809
2024-2025 heldout,protection,prior8,team_pass_success_rate,1088,-0.136695209822,-0.128349595079
2024-2025 heldout,protection,prior16,team_sack_rate,1088,0.169447520361,0.163850480597
2024-2025 heldout,protection,prior16,team_pass_epa_db,1088,-0.177517826546,-0.164585682606
2024-2025 heldout,protection,prior16,team_pass_success_rate,1088,-0.124077165467,-0.119389801359
2024-2025 heldout,protection,season_to_date,team_sack_rate,832,0.216255453698,0.194482398204
2024-2025 heldout,protection,season_to_date,team_pass_epa_db,832,-0.185724506556,-0.172095524823
2024-2025 heldout,protection,season_to_date,team_pass_success_rate,832,-0.15102857121,-0.133693449342
2024-2025 heldout,protection,ewma,team_sack_rate,1088,0.209168165132,0.193473494706
2024-2025 heldout,protection,ewma,team_pass_epa_db,1088,-0.182061416287,-0.169513040415
2024-2025 heldout,protection,ewma,team_pass_success_rate,1088,-0.128697283396,-0.120398680803
2024-2025 heldout,pass_rush,prior4,team_sack_rate,1088,0.052283610505,0.0495746751413
2024-2025 heldout,pass_rush,prior4,team_pass_epa_db,1088,-0.0804237447777,-0.0782432577828
2024-2025 heldout,pass_rush,prior4,team_pass_success_rate,1088,-0.0810781409931,-0.0691541270906
