window,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2022-2025 available,all,1773,967,867,862,44,0.5014459224985541,0.4779006369872182,0.5249847969728162,0.06345177664974619,0.0,903,866,4,0.5104578858111928,0.34686971235194586,0.06745181957270442,0.06204844601191033,0.14183317253207586,0.9309597528035104,7.215258605066033,0.46621282975999323,0.09169765420690539,0.6511042774223592,92.09727717742791,0.6965595036661026,0.28369994359842077,2.4207557811618727,5.583192329385223
2022-2025 available,edge top quartile,403,349,194,198,11,0.49489795918367346,0.4456933082282775,0.5442016396498637,-0.2803970223325062,0.0,176,224,3,0.44,-2.357320099255583,-0.003645876255413958,0.07606834950406251,0.17389324702271383,0.42696879876045657,6.9789421850276785,0.4437324922799072,0.08779854963105471,0.6419515931296612,88.62092025226994,0.7196029776674938,0.34491315136476425,2.935483870967742,6.781637717121588
2022-2025 available,edge top 20%,335,301,160,167,8,0.4892966360856269,0.43555455726070247,0.5432872812505368,-0.5611940298507463,0.0,139,193,3,0.4186746987951807,-2.8925373134328356,-0.003326497750291202,0.07688099535045356,0.1757731733206601,0.3071900365839023,6.916943070239912,0.4427571356743848,0.08647602025624516,0.6393787021234713,88.13588197964974,0.7164179104477612,0.34626865671641793,2.955223880597015,6.832835820895522
2022-2025 available,edge top 10%,172,164,79,87,6,0.4759036144578313,0.4013364317651299,0.5515608560607029,-1.3517441860465116,-0.5,65,106,1,0.38011695906432746,-4.308139534883721,-0.043186796990739004,0.08405401141762274,0.186959612949299,-0.045914563959520815,6.6760426734751945,0.4280083932426921,0.08197584372108506,0.6332593452019548,86.01288111244143,0.7732558139534884,0.38953488372093026,3.2906976744186047,7.343023255813954
2022-2025 available,edge z >=0.5,517,443,247,256,14,0.49105367793240556,0.4475982737364282,0.5346446992160682,-0.45164410058027077,0.0,220,294,3,0.4280155642023346,-2.588007736943907,-0.003292689838386253,0.07516764083933448,0.1706670761469735,0.16364269932800557,6.954185036796596,0.44521281633484766,0.08646434759947746,0.6406575111722213,88.29456383573446,0.7311411992263056,0.3597678916827853,2.90715667311412,6.690522243713733
2022-2025 available,edge z >=1,258,237,123,128,7,0.4900398406374502,0.4288129322123044,0.551567037149056,-0.6957364341085271,0.0,107,149,2,0.41796875,-3.3255813953488373,-0.012873413619101479,0.08034445589553953,0.17775298771601888,0.20255865128697825,6.8576590144373,0.43895659768175815,0.08288915312639787,0.6403659524253232,88.45786170608193,0.7131782945736435,0.3643410852713178,3.116279069767442,6.984496124031008
2022-2025 available,vulnerable alone,455,403,228,215,12,0.5146726862302483,0.46820571172505326,0.5608873718195406,0.36153846153846153,0.5,225,230,0,0.4945054945054945,-0.24835164835164836,0.0537538996232102,0.06934935175848325,0.13680030532376525,0.9744817350515748,7.211531549519658,0.4563114267461009,0.09418967860644814,0.6461176013363239,92.28562297011838,0.6263736263736264,0.3076923076923077,2.6505494505494505,5.281318681318681
2022-2025 available,vulnerable + edge z>=1,50,50,26,22,2,0.5416666666666666,0.4029083309494732,0.6742497814544648,0.5,0.75,20,30,0,0.4,-3.28,-0.035273428811034374,0.086515868987473,0.16862065881933108,-2.426300677531655,6.75928559843613,0.4199730672869388,0.08570308484080968,0.6224566359567871,86.52800391560056,0.64,0.34,3.24,6.42
2022-2025 available,resilient + edge z>=1,80,80,33,43,4,0.4342105263157895,0.32860752483199596,0.5461444841457801,-1.2375,-1.0,36,43,1,0.45569620253164556,-2.45,0.016703418968246196,0.08367628435225713,0.1875188855248832,0.4277717582091028,7.103255546249164,0.44572041175841315,0.09138885937833537,0.6442461358504868,90.8600347691452,0.6875,0.4625,3.275,7.3625
2022-2025 available,vulnerable + neutral/favorable,338,314,166,165,7,0.5015105740181269,0.44793770219491413,0.5550487845498632,0.39349112426035504,0.0,179,159,0,0.5295857988165681,0.9349112426035503,0.08865188340125779,0.06369841565453367,0.12491950027252703,1.7638452082158762,7.403878798044289,0.4664335954455907,0.09901547251812175,0.6534017140232196,94.29187914966911,0.6390532544378699,0.28402366863905326,2.4585798816568047,4.863905325443787
2022-2025 available,vulnerable + edge + underdog,36,36,17,17,2,0.5,0.34069062628048985,0.6593093737195102,-0.4583333333333333,0.0,10,26,0,0.2777777777777778,-7.777777777777778,-0.07779129200526338,0.08949260122110168,0.1759980121951373,-3.6701756176934555,6.38023533158584,0.4053759453336183,0.07688438715942089,0.6100159102772108,83.54898197119971,0.6944444444444444,0.3888888888888889,3.25,6.472222222222222
