window,tier,edge_bucket,group,n,games,ats_w,ats_l,ats_p,ats_pct,ats_ci_low,ats_ci_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_pct,mean_score_margin,mean_qb_team_pass_epa_db,mean_sack_rate,mean_hits_allowed_rate,mean_cpoe,mean_yards_attempt,mean_pass_success_rate,mean_explosive_pass_rate,mean_qb_completion_pct,mean_qb_passer_rating,mean_qb_interceptions,mean_team_sack_fumbles,mean_sacks,mean_hits_allowed
2022-2025 available,resilient,favorable protection,resilient | favorable protection,122,120,63,55,4,0.5338983050847458,0.4442446506155119,0.6214143689640078,0.6434426229508197,0.5,81,41,0,0.6639344262295082,4.221311475409836,0.13853843136503982,0.043062566047528075,0.131345643044437,1.5283426404739013,7.445104225588875,0.4900025555109043,0.09827982561337023,0.6616551065227368,98.07554052502803,0.5819672131147541,0.1885245901639344,1.6147540983606556,4.975409836065574
2022-2025 available,resilient,neutral,resilient | neutral,172,163,77,86,9,0.4723926380368098,0.39727071585440626,0.54878590311832,-0.438953488372093,-0.25,92,80,0,0.5348837209302325,1.5813953488372092,0.10837757830855588,0.05527466984159048,0.14776328789939738,1.156165356576762,7.322672727714544,0.4868880823748869,0.09365554110426945,0.6533264386689291,92.71502809415541,0.75,0.28488372093023256,2.2209302325581395,5.930232558139535
2022-2025 available,resilient,moderate disadvantage,resilient | moderate disadvantage,86,82,45,40,1,0.5294117647058824,0.424339860632142,0.6319400802964319,-0.023255813953488372,1.75,45,40,1,0.5294117647058824,-0.3023255813953488,0.031969309071360454,0.06270710352746035,0.17344282958381843,0.20347371697535166,7.278902614783706,0.449895977579376,0.10049865455006196,0.6507418460307277,90.05583951706467,0.872093023255814,0.26744186046511625,2.395348837209302,6.848837209302325
2022-2025 available,resilient,large disadvantage,resilient | large disadvantage,41,41,17,23,1,0.425,0.28509168524815875,0.5780519956394001,-1.1829268292682926,-1.5,20,20,1,0.5,-1.5853658536585367,0.05563578225034928,0.08247226108267891,0.177365460484388,0.7523065159000097,7.619938282501088,0.46565963871736493,0.09401372580228452,0.6609377656601809,95.38444614468612,0.7804878048780488,0.4634146341463415,3.2439024390243905,6.975609756097561
2022-2025 available,resilient,extreme disadvantage,resilient | extreme disadvantage,39,39,16,20,3,0.4444444444444444,0.2954102987654314,0.6041921268399659,-1.294871794871795,-0.5,16,23,0,0.41025641025641024,-3.358974358974359,-0.024225475764221176,0.08494205240489063,0.19819299902899348,0.08659419243148236,6.56007625942022,0.424758660340028,0.08862938441982468,0.6266985250249107,86.10360229742271,0.5897435897435898,0.46153846153846156,3.3076923076923075,7.769230769230769
2022-2025 available,average,favorable protection,average | favorable protection,277,256,131,143,3,0.4781021897810219,0.4196673465526012,0.5371425767994095,0.12093862815884476,-0.5,155,122,0,0.5595667870036101,2.5379061371841156,0.10297161239745009,0.052026828002488416,0.11218092383312103,1.1502964243582878,7.284910253418731,0.4853029449119177,0.08837281923010766,0.6652619703056979,93.53451316897343,0.6895306859205776,0.20938628158844766,2.0216606498194944,4.389891696750903
2022-2025 available,average,neutral,average | neutral,347,317,183,157,7,0.538235294117647,0.4851109014174989,0.5905053125601,0.5086455331412104,0.5,176,170,1,0.5086705202312138,0.42363112391930835,0.07857144504185987,0.058927528376678445,0.13976650019417547,0.7661623422905308,7.230853729491451,0.46343454806146955,0.09173625581349545,0.6483185447620987,92.06993330219893,0.7204610951008645,0.2622478386167147,2.360230547550432,5.628242074927954
2022-2025 available,average,moderate disadvantage,average | moderate disadvantage,106,103,43,60,3,0.4174757281553398,0.32688581020320867,0.5140001368436345,-0.5518867924528302,-2.0,42,64,0,0.39622641509433965,-1.7830188679245282,0.02464434252507794,0.06643294981152166,0.14970008777180693,0.43697981992995477,7.163023321291973,0.4647611247818587,0.09028171790797723,0.6418002011445524,87.62694227738056,0.7735849056603774,0.39622641509433965,2.641509433962264,5.943396226415095
2022-2025 available,average,large disadvantage,average | large disadvantage,61,61,28,33,0,0.45901639344262296,0.3401273088828912,0.5827617006418584,-1.4262295081967213,-0.5,25,36,0,0.4098360655737705,-4.278688524590164,-0.0021675524331972425,0.07488996053894156,0.17234115348447845,0.892639657499402,6.889217676976278,0.4396595590217258,0.07714164621067596,0.640327251109209,89.38178688705895,0.7540983606557377,0.2459016393442623,2.9672131147540983,7.0
2022-2025 available,average,extreme disadvantage,average | extreme disadvantage,67,65,36,30,1,0.5454545454545454,0.4261479973870641,0.659760687408244,-0.27611940298507465,1.0,26,40,1,0.3939393939393939,-3.537313432835821,-0.04121973271956905,0.0767266541883514,0.1778345773913803,1.2672000917079316,6.609089907575087,0.4444072059186318,0.07587310590227027,0.6491332946596026,86.1886021305507,0.7611940298507462,0.373134328358209,2.970149253731343,6.940298507462686
