qb_id,qb_name,pregame_as_of,pregame_games,pregame_dropbacks,pregame_sack_rate,pregame_hit_allowed_rate,vulnerability_z,trailing8_z,trailing16_z
00-0038108,Bailey Zappe,2024-01-07T18:00:00.000Z,7,238.0,0.07563025210084033,0.12184873949579832,0.6289347183887312,0.6289347183887312,0.6289347183887312
00-0039910,Jayden Daniels,2025-12-14T18:00:00.000Z,19,784.0,0.07015306122448979,0.11607142857142858,0.5498638339606788,0.9003441290973709,0.49446233228664443
00-0036945,Justin Fields,2025-11-23T18:00:00.000Z,36,1245.0,0.09477911646586346,0.18393574297188756,0.46042065080389094,-0.014540052700467107,0.1408392627113111
00-0040704,Dillon Gabriel,2025-11-16T21:25:00.000Z,5,211.0,0.08056872037914692,0.15165876777251186,0.42743936013054623,0.42743936013054623,0.42743936013054623
00-0036389,Jalen Hurts,2026-01-04T21:25:00.000Z,55,2007.0,0.06178375685102142,0.10513203786746388,0.42739148858359877,-0.14105321465951445,0.36078462799535943
00-0028118,Tyrod Taylor,2025-12-07T18:00:00.000Z,6,266.0,0.08270676691729323,0.15789473684210525,0.4194573288433155,0.4194573288433155,0.4194573288433155
00-0037013,Zach Wilson,2023-12-17T18:00:00.000Z,17,661.0,0.0832072617246596,0.1588502269288956,0.4128114464127335,0.38714573968980076,0.5163314679244843
00-0035228,Kyler Murray,2025-10-12T17:00:00.000Z,37,1521.0,0.055226824457593686,0.09138724523339908,0.3968700145582948,0.4697481851555131,0.32842954456470297
00-0034796,Lamar Jackson,2025-12-28T01:00:00.000Z,49,1759.0,0.06310403638430927,0.1114269471290506,0.3965921008561191,0.9127432010251457,0.5164335612609978
00-0034855,Baker Mayfield,2026-01-03T21:30:00.000Z,57,2238.0,0.05987488829311886,0.1032171581769437,0.3957731681382249,0.48199493343304967,0.40026215114631375
00-0037077,Sam Howell,2024-01-07T21:25:00.000Z,15,685.0,0.0905109489051095,0.1781021897810219,0.39508910678952913,-0.048779072188785466,0.39508910678952913
