qb_id,qb_name,season,first_half_dropbacks,second_half_dropbacks,next_year_dropbacks,first_half_sack_rate,second_half_sack_rate,next_year_sack_rate,season_dropbacks,season_sack_rate,first_half_excess_sack_rate,second_half_excess_sack_rate,season_excess_sack_rate,next_year_excess_sack_rate
00-0034857,Josh Allen,2022,274.0,334.0,687.0,0.05474452554744526,0.05089820359281437,0.034934497816593885,608.0,0.05263157894736842,0.0016557663715976167,-0.0019178072369151686,-0.00030734807781565565,-0.014203988803880595
00-0034857,Josh Allen,2023,382.0,305.0,454.0,0.034031413612565446,0.036065573770491806,0.024229074889867842,687.0,0.034934497816593885,-0.00851053876001212,-0.0213348016457093,-0.014203988803880595,-0.01229583265053729
00-0034857,Josh Allen,2024,246.0,208.0,522.0,0.032520325203252036,0.014423076923076924,0.07088122605363985,454.0,0.024229074889867842,-0.006448610465216512,-0.019211297350483974,-0.01229583265053729,0.012292362143608154
00-0034857,Josh Allen,2025,228.0,294.0,36.0,0.06140350877192982,0.0782312925170068,0.05555555555555555,522.0,0.07088122605363985,0.00559521550661881,0.01748606769882436,0.012292362143608154,0.006221729703864282
00-0034857,Josh Allen,2026,36.0,0.0,0.0,0.05555555555555555,,,36.0,0.05555555555555555,0.006221729703864282,,0.006221729703864282,
00-0026498,Matthew Stafford,2022,327.0,0.0,569.0,0.0856269113149847,,0.050966608084358524,327.0,0.0856269113149847,0.0046929325821402496,,0.0046929325821402496,-0.008823187829142667
00-0026498,Matthew Stafford,2023,297.0,272.0,583.0,0.06060606060606061,0.04044117647058824,0.048027444253859346,569.0,0.050966608084358524,-0.0022831240179474674,-0.015964360446513885,-0.008823187829142667,-0.019414294825757003
00-0026498,Matthew Stafford,2024,314.0,269.0,660.0,0.054140127388535034,0.040892193308550186,0.03484848484848485,583.0,0.048027444253859346,-0.01841480509891804,-0.02058098543626792,-0.019414294825757003,-0.018551948634901463
00-0026498,Matthew Stafford,2025,311.0,349.0,0.0,0.04180064308681672,0.02865329512893983,,660.0,0.03484848484848485,-0.01587561256880199,-0.020936878481769467,-0.018551948634901463,
00-0034796,Lamar Jackson,2022,312.0,78.0,508.0,0.0641025641025641,0.05128205128205128,0.0688976377952756,390.0,0.06153846153846154,0.02079044570549817,0.015712128183789375,0.019774782201156423,0.01357597235990738
00-0034796,Lamar Jackson,2023,271.0,237.0,533.0,0.07380073800738007,0.06329113924050633,0.04127579737335835,508.0,0.0688976377952756,0.021660802830497032,0.00433129279227111,0.01357597235990738,-0.00033681473860425193
00-0034796,Lamar Jackson,2024,294.0,239.0,352.0,0.04081632653061224,0.04184100418410042,0.09375,533.0,0.04127579737335835,0.0019809877280928603,-0.003188002710189826,-0.00033681473860425193,0.029674721483414213
00-0034796,Lamar Jackson,2025,126.0,226.0,32.0,0.1111111111111111,0.084070796460177,0.0625,352.0,0.09375,0.04260613499571465,0.022465172357087428,0.029674721483414213,0.00757458865472805
00-0034796,Lamar Jackson,2026,32.0,0.0,0.0,0.0625,,,32.0,0.0625,0.00757458865472805,,0.00757458865472805,
00-0026158,Joe Flacco,2022,174.0,35.0,127.0,0.05172413793103448,0.0,0.031496062992125984,209.0,0.0430622009569378,-0.01072099183663907,-0.11962804348527695,-0.028959014839999485,-0.0016353733978511885
00-0026158,Joe Flacco,2023,0.0,127.0,258.0,,0.031496062992125984,0.06201550387596899,127.0,0.031496062992125984,,-0.0016353733978511885,-0.0016353733978511885,0.01216153053650277
00-0026158,Joe Flacco,2024,129.0,129.0,327.0,0.05426356589147287,0.06976744186046512,0.03669724770642202,258.0,0.06201550387596899,0.0059700350153314916,0.01835302605767406,0.01216153053650277,-0.012226186549410122
00-0026158,Joe Flacco,2025,285.0,42.0,0.0,0.03859649122807018,0.023809523809523808,,327.0,0.03669724770642202,-0.01262081605303774,-0.009548343489079802,-0.012226186549410122,
00-0034855,Baker Mayfield,2022,142.0,202.0,639.0,0.07746478873239436,0.10396039603960396,0.053208137715179966,344.0,0.09302325581395349,0.018995414750345933,0.025616760300424812,0.022883530451264344,0.004504349665582295
00-0034855,Baker Mayfield,2023,331.0,308.0,645.0,0.03927492447129909,0.06818181818181818,0.05581395348837209,639.0,0.053208137715179966,-0.009112892958517499,0.019138464303819422,0.004504349665582295,0.017507254377509697
00-0034855,Baker Mayfield,2024,374.0,271.0,639.0,0.058823529411764705,0.05166051660516605,0.053208137715179966,645.0,0.05581395348837209,0.020852283707456634,0.012890867036549722,0.017507254377509697,0.013954916696986265
00-0034855,Baker Mayfield,2025,322.0,317.0,39.0,0.052795031055900624,0.05362776025236593,0.10256410256410256,639.0,0.053208137715179966,0.014435994123286958,0.013466251298661892,0.013954916696986265,0.036025398270624585
00-0034855,Baker Mayfield,2026,39.0,0.0,0.0,0.10256410256410256,,,39.0,0.10256410256410256,0.036025398270624585,,0.036025398270624585,
00-0033119,Jacoby Brissett,2022,300.0,143.0,0.0,0.05333333333333334,0.055944055944055944,,443.0,0.05417607223476298,-0.011656931900383832,-0.033117398309579174,-0.018584351079875792,
00-0033119,Jacoby Brissett,2024,142.0,0.0,457.0,0.08450704225352113,,0.0700218818380744,142.0,0.08450704225352113,-0.01648988336984515,,-0.01648988336984515,-0.009460011094979653
00-0033119,Jacoby Brissett,2025,139.0,318.0,42.0,0.09352517985611511,0.059748427672955975,0.023809523809523808,457.0,0.0700218818380744,-0.01244859113918477,-0.008153682081946605,-0.009460011094979653,-0.03830506888463758
00-0033119,Jacoby Brissett,2026,42.0,0.0,0.0,0.023809523809523808,,,42.0,0.023809523809523808,-0.03830506888463758,,-0.03830506888463758,
00-0036898,Davis Mills,2022,300.0,87.0,0.0,0.06333333333333334,0.10344827586206896,,387.0,0.07235142118863049,-0.005682873455761926,0.001669234346448556,-0.004030074027358027,
00-0036898,Davis Mills,2025,0.0,133.0,0.0,,0.045112781954887216,,133.0,0.045112781954887216,,-0.0048937158358814264,-0.0048937158358814264,
00-0026143,Matt Ryan,2022,342.0,188.0,0.0,0.07017543859649122,0.07446808510638298,,530.0,0.07169811320754717,-0.006233432803064376,0.003481736705081423,-0.002787297203948505,
00-0036971,Trevor Lawrence,2022,347.0,255.0,523.0,0.0345821325648415,0.047058823529411764,0.04780114722753346,602.0,0.03986710963455149,-0.004825420479801647,-0.0017487354522954385,-0.003522173499711817,-0.0022169261797776244
