season,week,game_id,kickoff_utc,team,opponent,defense_prior_games,offense_prior_games,defense_prior_hit_rate,offense_prior_hit_allowed_rate,historical_pass_rush_edge_z,edge_prior_percentile
2022,1,2022_01_BUF_LA,2022-09-09T00:20:00.000Z,buf,lar,0,0,,,,
2022,1,2022_01_BUF_LA,2022-09-09T00:20:00.000Z,lar,buf,0,0,,,,
2022,1,2022_01_BAL_NYJ,2022-09-11T17:00:00.000Z,bal,nyj,0,0,,,,
2022,1,2022_01_BAL_NYJ,2022-09-11T17:00:00.000Z,nyj,bal,0,0,,,,
2022,1,2022_01_CLE_CAR,2022-09-11T17:00:00.000Z,car,cle,0,0,,,,
2022,1,2022_01_CLE_CAR,2022-09-11T17:00:00.000Z,cle,car,0,0,,,,
2022,1,2022_01_IND_HOU,2022-09-11T17:00:00.000Z,hou,ind,0,0,,,,
2022,1,2022_01_IND_HOU,2022-09-11T17:00:00.000Z,ind,hou,0,0,,,,
2022,1,2022_01_JAX_WAS,2022-09-11T17:00:00.000Z,jax,wsh,0,0,,,,
2022,1,2022_01_JAX_WAS,2022-09-11T17:00:00.000Z,wsh,jax,0,0,,,,
2022,1,2022_01_NE_MIA,2022-09-11T17:00:00.000Z,mia,ne,0,0,,,,
2022,1,2022_01_NE_MIA,2022-09-11T17:00:00.000Z,ne,mia,0,0,,,,
2022,1,2022_01_NO_ATL,2022-09-11T17:00:00.000Z,atl,no,0,0,,,,
2022,1,2022_01_NO_ATL,2022-09-11T17:00:00.000Z,no,atl,0,0,,,,
2022,1,2022_01_PHI_DET,2022-09-11T17:00:00.000Z,det,phi,0,0,,,,
2022,1,2022_01_PHI_DET,2022-09-11T17:00:00.000Z,phi,det,0,0,,,,
2022,1,2022_01_PIT_CIN,2022-09-11T17:00:00.000Z,cin,pit,0,0,,,,
2022,1,2022_01_PIT_CIN,2022-09-11T17:00:00.000Z,pit,cin,0,0,,,,
2022,1,2022_01_SF_CHI,2022-09-11T17:00:00.000Z,chi,sf,0,0,,,,
2022,1,2022_01_SF_CHI,2022-09-11T17:00:00.000Z,sf,chi,0,0,,,,
2022,1,2022_01_GB_MIN,2022-09-11T20:25:00.000Z,gb,min,0,0,,,,
2022,1,2022_01_GB_MIN,2022-09-11T20:25:00.000Z,min,gb,0,0,,,,
2022,1,2022_01_KC_ARI,2022-09-11T20:25:00.000Z,ari,kc,0,0,,,,
2022,1,2022_01_KC_ARI,2022-09-11T20:25:00.000Z,kc,ari,0,0,,,,
2022,1,2022_01_LV_LAC,2022-09-11T20:25:00.000Z,lac,lv,0,0,,,,
2022,1,2022_01_LV_LAC,2022-09-11T20:25:00.000Z,lv,lac,0,0,,,,
2022,1,2022_01_NYG_TEN,2022-09-11T20:25:00.000Z,nyg,ten,0,0,,,,
2022,1,2022_01_NYG_TEN,2022-09-11T20:25:00.000Z,ten,nyg,0,0,,,,
2022,1,2022_01_TB_DAL,2022-09-12T00:20:00.000Z,dal,tb,0,0,,,,
2022,1,2022_01_TB_DAL,2022-09-12T00:20:00.000Z,tb,dal,0,0,,,,
2022,1,2022_01_DEN_SEA,2022-09-13T00:15:00.000Z,den,sea,0,0,,,,
2022,1,2022_01_DEN_SEA,2022-09-13T00:15:00.000Z,sea,den,0,0,,,,
2022,2,2022_02_LAC_KC,2022-09-16T00:15:00.000Z,kc,lac,1,1,,,,
2022,2,2022_02_LAC_KC,2022-09-16T00:15:00.000Z,lac,kc,1,1,,,,
