window,signal,group,n,games,ats_w,ats_l,ats_p,ats_cover_rate,ats_wilson_low,ats_wilson_high,mean_ats_margin,median_ats_margin,su_w,su_l,su_t,su_win_rate,mean_score_margin,median_score_margin,opponent_points_mean,opponent_pass_epa_per_play_mean,opponent_pass_success_rate_mean,defense_sack_rate_mean,offense_pass_epa_per_play_mean,offense_pass_success_rate_mean,offense_rush_epa_per_play_mean,offense_rush_success_rate_mean
"2026 Week 1 prior-season","pass_rush","all","32","16","15","15","2","0.5","0.332","0.668","0","0","16","16","0","0.5","0","0","24.719","0.076","0.449","0.06","0.076","0.449","-0.093","0.498"
"2026 Week 1 prior-season","pass_rush","<=0","15","11","7","7","1","0.5","0.268","0.732","1.7","0","7","8","0","0.467","0.667","-2","25.8","0.035","0.439","0.056","0.032","0.435","-0.047","0.506"
"2026 Week 1 prior-season","pass_rush","1-4","4","4","1","3","0","0.25","0.046","0.699","-9.25","-8.5","2","2","0","0.5","-5.5","-3.5","29","0.265","0.525","0.05","0.191","0.447","-0.151","0.512"
"2026 Week 1 prior-season","pass_rush","5-9","7","6","4","2","1","0.667","0.3","0.903","1.714","6","4","3","0","0.571","3","3","20.857","0.092","0.47","0.075","0.126","0.441","-0.144","0.514"
"2026 Week 1 prior-season","pass_rush","10-14","4","4","2","2","0","0.5","0.15","0.85","-4.625","-7","2","2","0","0.5","-3.75","-3","23.75","0.083","0.379","0.058","0.051","0.466","-0.182","0.457"
"2026 Week 1 prior-season","pass_rush","15-19","2","2","1","1","0","0.5","0.095","0.905","9","9","1","1","0","0.5","3","3","23.5","-0.059","0.429","0.052","0.051","0.544","0.037","0.435"
"2026 Week 1 prior-season","pass_rush","20+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_rush","5+","13","10","7","5","1","0.583","0.32","0.807","0.885","0.5","7","6","0","0.538","0.923","3","22.154","0.066","0.436","0.066","0.092","0.464","-0.128","0.484"
"2026 Week 1 prior-season","pass_rush","10+","6","6","3","3","0","0.5","0.188","0.812","-0.083","-1","3","3","0","0.5","-1.5","0.5","23.667","0.036","0.396","0.056","0.051","0.492","-0.109","0.45"
"2026 Week 1 prior-season","pass_rush","15+","2","2","1","1","0","0.5","0.095","0.905","9","9","1","1","0","0.5","3","3","23.5","-0.059","0.429","0.052","0.051","0.544","0.037","0.435"
"2026 Week 1 prior-season","pass_rush","20+","0","0","0","0","0",,,,,,"0","0","0",,,,,,,,,,,
"2026 Week 1 prior-season","pass_rush_raw_percentile","5/31+","11","10","6","4","1","0.6","0.313","0.832","1.5","0.5","6","5","0","0.545","0.636","3","21.818","0.059","0.43","0.068","0.097","0.489","-0.107","0.484"
"2026 Week 1 prior-season","pass_rush_raw_percentile","10/31+","5","5","2","3","0","0.4","0.118","0.769","-0.2","-2.5","2","3","0","0.4","-3.2","-6","25.8","0.17","0.418","0.039","0.112","0.522","-0.08","0.462"
