window,group,n,games,mean_team_sack_rate,median_team_sack_rate,n_team_sack_rate,mean_team_sacks,median_team_sacks,n_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,n_team_pass_epa_db,mean_team_pass_epa,median_team_pass_epa,n_team_pass_epa,mean_team_pass_success_rate,median_team_pass_success_rate,n_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,n_team_explosive_pass_rate,mean_team_interceptions,median_team_interceptions,n_team_interceptions,mean_team_points,median_team_points,n_team_points,mean_team_total_margin,median_team_total_margin,n_team_total_margin,mean_ats_margin,median_ats_margin,n_ats_margin,mean_first_half_points,median_first_half_points,n_first_half_points,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high,ats_w,ats_l,ats_p,ats_cover_rate,su_win_rate
2022-2023 exploratory,favorite:all,479,479,0.0545844989053,0.0508474576271,479,2.13778705637,2,479,0.0961244360187,0.0964671136623,479,3.38362754798,3.84632202124,479,0.480575004916,0.47619047619,479,0.0938415691363,0.0909090909091,479,0.724425887265,1,479,24.4697286013,24,479,0.278183716075,-0.5,479,0.241127348643,0,479,,,0,255,0.53235908142,0.487595520506,0.576607729587,196,0.409185803758,0.366045335573,0.45377134965,99,0.206680584551,0.172820660169,0.245207943828,230,228,21,0.502183406114,0.68410041841
2022-2023 exploratory,favorite:edge_z_ge_1,48,48,0.0681632395583,0.0575657894737,48,2.79166666667,2,48,0.0506037595162,0.0311313020799,48,1.71919406943,1.53638903872,48,0.467904372735,0.463414634146,48,0.0865623354787,0.0736224028907,48,0.541666666667,0,48,23.2708333333,21,48,0.302083333333,-2.125,48,-0.989583333333,-1.5,48,,,0,28,0.583333333333,0.442810822154,0.711505402654,21,0.4375,0.307010546404,0.57725228499,9,0.1875,0.101912763482,0.319401393488,20,26,2,0.434782608696,0.63829787234
2022-2023 exploratory,underdog:all,479,479,0.0737674161299,0.0681818181818,479,2.89144050104,3,479,-0.0318628625814,-0.0387667497929,479,-1.36384919684,-1.39560299255,479,0.431328507136,0.425531914894,479,0.0863774531249,0.0769230769231,479,0.824634655532,1,479,19.1524008351,19,479,0.0370563674322,-0.5,479,-0.241127348643,0,479,,,0,246,0.51356993737,0.468879411529,0.558044532059,181,0.377870563674,0.335583378273,0.422101129442,105,0.219206680585,0.184471278992,0.258410196009,228,230,21,0.497816593886,0.31589958159
2022-2023 exploratory,underdog:edge_z_ge_1,95,95,0.0832581326342,0.0833333333333,95,3.15789473684,3,95,-0.041619550995,-0.024528135424,95,-1.60959639334,-0.833956604416,95,0.420140570267,0.425,95,0.0880881784399,0.0769230769231,95,0.789473684211,1,95,18.3894736842,20,95,0.384210526316,1,95,0.136842105263,0.5,95,,,0,43,0.452631578947,0.356326091573,0.552619129873,32,0.336842105263,0.249791088458,0.436575785409,17,0.178947368421,0.114834797856,0.268016147495,48,42,5,0.533333333333,0.297872340426
2022-2023 exploratory,home:all,469,469,0.0625301309801,0.0576923076923,469,2.47121535181,2,469,0.0497302727323,0.0555645065758,469,1.43958744795,2.06591915063,469,0.46394676362,0.465517241379,469,0.0952806946559,0.0909090909091,469,0.724946695096,1,469,23.1748400853,23,469,0.650319829424,-0.25,469,0.858208955224,0,469,,,0,236,0.503198294243,0.458105229331,0.548239390093,179,0.381663113006,0.33882641108,0.426422670219,93,0.19829424307,0.164723385102,0.236767515868,222,226,21,0.495535714286,0.566239316239
2022-2023 exploratory,home:edge_z_ge_1,78,78,0.0773069261342,0.0706762749446,78,3.0641025641,3,78,0.0135610088705,0.0186856215574,78,0.217025909383,0.662827532405,78,0.443333880704,0.447368421053,78,0.0867587970635,0.0754985754986,78,0.602564102564,0,78,21.6282051282,20.5,78,0.63141025641,0.25,78,0.49358974359,0,78,,,0,37,0.474358974359,0.367370816948,0.583754283246,29,0.371794871795,0.272933985242,0.482691515725,13,0.166666666667,0.100068509732,0.264557792784,38,36,4,0.513513513514,0.532467532468
2022-2023 exploratory,away:all,489,479,0.0657544700863,0.0606060606061,489,2.55623721881,2,489,0.015251116084,0.0158402147872,489,0.597765474656,0.514792479874,489,0.448283742608,0.447368421053,489,0.085149827954,0.0769230769231,489,0.822085889571,1,489,20.5030674847,20,489,-0.314928425358,-1,489,-0.823108384458,0,489,,,0,265,0.541922290389,0.497605666616,0.585585362713,198,0.40490797546,0.362304485351,0.448993911537,111,0.226993865031,0.19207782215,0.266165962465,236,232,21,0.504273504274,0.436475409836
2022-2023 exploratory,away:edge_z_ge_1,65,65,0.0792525824705,0.075,65,3,3,65,-0.0397328550714,0.00446746213711,65,-1.34335943026,0.178698485484,65,0.427580328796,0.428571428571,65,0.088556659751,0.0769230769231,65,0.830769230769,1,65,18.1076923077,20,65,0.0269230769231,-0.75,65,-1.12307692308,0,65,,,0,34,0.523076923077,0.403794204023,0.639784097469,24,0.369230769231,0.262292221891,0.490764069654,13,0.2,0.120778457709,0.312703622893,30,32,3,0.483870967742,0.265625
2022-2023 exploratory,spread_0_to_3:all,404,202,0.0651834849948,0.0625,404,2.59405940594,3,404,0.0291291939341,0.0235967298267,404,0.73334351032,1.00605055994,404,0.451017795517,0.450806451613,404,0.0864230920754,0.0794736842105,404,0.747524752475,1,404,20.6534653465,20,404,-0.808168316832,-1.875,404,0,0,404,,,0,241,0.596534653465,0.548003051322,0.643247669546,187,0.462871287129,0.414827078046,0.511614952389,95,0.235148514851,0.196408216703,0.278878267069,189,189,26,0.5,0.5
2022-2023 exploratory,spread_0_to_3:edge_z_ge_1,51,47,0.0740415278794,0.0645161290323,51,2.8431372549,2,51,0.0427399080629,0.0515418951777,51,1.30832819014,1.69218238084,51,0.444845057623,0.451612903226,51,0.0949220034756,0.0909090909091,51,0.607843137255,0,51,21.0392156863,20,51,0.117647058824,-2,51,1.89215686275,0.5,51,,,0,29,0.56862745098,0.432650612351,0.694989719077,23,0.450980392157,0.322673050111,0.586155284584,9,0.176470588235,0.0957229572581,0.302544051728,27,21,3,0.5625,0.530612244898
2022-2023 exploratory,spread_3.5_to_6.5:all,308,154,0.0649728816819,0.0560796645702,308,2.5,2,308,0.0362805716557,0.0410461360795,308,1.24009542909,1.59348321982,308,0.457513261547,0.458333333333,308,0.0965784283374,0.093386627907,308,0.737012987013,1,308,22.4480519481,21.5,308,0.798701298701,0.25,308,0,0,308,,,0,144,0.467532467532,0.412552453372,0.523312421616,107,0.347402597403,0.296401070089,0.402163842354,68,0.220779220779,0.178054547831,0.270383377064,152,152,4,0.5,0.5
2022-2023 exploratory,spread_3.5_to_6.5:edge_z_ge_1,47,44,0.0767927576672,0.0731707317073,47,3.06382978723,3,47,0.0138535611884,0.0257996216299,47,0.580916642696,1.20687535434,47,0.450992607546,0.45,47,0.092598555882,0.08,47,0.553191489362,0,47,20.2765957447,20,47,-0.0744680851064,0.25,47,-2.92553191489,-2,47,,,0,23,0.489361702128,0.352753243366,0.627577824106,15,0.31914893617,0.203952038174,0.461676108855,11,0.234042553191,0.136031364239,0.372245322568,17,27,3,0.386363636364,0.425531914894
2022-2023 exploratory,spread_7_plus:all,246,123,0.0615235439267,0.0540540540541,246,2.40243902439,2,246,0.031864566086,0.0401834205322,246,1.17582788564,1.40490846706,246,0.462099627349,0.460769230769,246,0.0880643355152,0.0769230769231,246,0.865853658537,1,246,22.9146341463,23,246,0.941056910569,0.5,246,0,0,246,,,0,116,0.471544715447,0.410080899795,0.53388359611,83,0.337398373984,0.28121506765,0.398582051805,41,0.166666666667,0.125296404088,0.218287690794,117,117,12,0.5,0.5
2022-2023 exploratory,spread_7_plus:edge_z_ge_1,45,43,0.0843551237076,0.0810810810811,45,3.22222222222,3,45,-0.0967939905513,-0.093232748919,45,-3.65373693197,-4.02499083645,45,0.410866968294,0.405405405405,45,0.0740047722458,0.0681818181818,45,0.977777777778,1,45,18.6222222222,20,45,1.07777777778,1.5,45,0.144444444444,0.5,45,,,0,19,0.422222222222,0.289684879817,0.566994672041,15,0.333333333333,0.213586922073,0.479297831907,6,0.133333333333,0.0625706363435,0.261775822413,24,20,1,0.545454545455,0.266666666667
2022-2023 exploratory,prior_pass_rate_above_median:all,479,363,0.0649109626896,0.0625,479,2.62212943633,2,479,0.0286146046646,0.0371389507975,479,0.923306719952,1.46228613151,479,0.458890339619,0.461538461538,479,0.0879269324817,0.0789473684211,479,0.764091858038,1,479,21.7703549061,21,479,0.171711899791,-0.75,479,0.00417536534447,0,479,,,0,255,0.53235908142,0.487595520506,0.576607729587,187,0.390396659708,0.347745808222,0.434791570496,101,0.210855949896,0.176698590688,0.249614303644,234,219,26,0.516556291391,0.520920502092
2022-2023 exploratory,prior_pass_rate_above_median:edge_z_ge_1,70,70,0.0768935538986,0.074537037037,70,3.1,3,70,-0.0155799749191,0.0104726946101,70,-0.943554115124,0.344757112529,70,0.440599942501,0.436507936508,70,0.0840885143622,0.0769230769231,70,0.8,1,70,20.3285714286,20,70,0.735714285714,0.5,70,-1.54285714286,-0.25,70,,,0,34,0.485714285714,0.372456823827,0.600458172597,25,0.357142857143,0.25503173469,0.474118229558,15,0.214285714286,0.13438585668,0.323914071816,32,35,3,0.477611940299,0.376811594203
2024-2025 validation,favorite:all,544,544,0.0583054418032,0.0540540540541,544,2.21875,2,544,0.157412707462,0.157992443186,544,5.45530236948,6.21233690363,544,0.491857262573,0.487804878049,544,0.101882435509,0.09375,544,0.601102941176,0,544,25.9595588235,26,544,1.07996323529,0.875,544,0.846507352941,0.5,544,,,0,253,0.465073529412,0.423550422293,0.507086462529,192,0.352941176471,0.313941451659,0.39400332654,100,0.183823529412,0.153529408983,0.218551864144,274,265,5,0.508348794063,0.683241252302
2024-2025 validation,favorite:edge_z_ge_1,61,61,0.0722260074147,0.0731707317073,61,2.91803278689,3,61,0.0696728822862,0.0579958603288,61,2.58680319517,2.58024111706,61,0.467447095502,0.457142857143,61,0.0963405546514,0.09375,61,0.606557377049,0,61,24.2295081967,24,61,0.159836065574,-0.25,61,-0.327868852459,-0.5,61,,,0,31,0.508196721311,0.386024064532,0.629398133563,24,0.393442622951,0.28068166862,0.518829756144,11,0.180327868852,0.103790340614,0.294743933679,30,31,0,0.491803278689,0.606557377049
2024-2025 validation,underdog:all,544,544,0.0650651794535,0.0571428571429,544,2.5625,2,544,-0.00199582053863,0.01018838634,544,-0.292411514121,0.450796355225,544,0.439473913097,0.444444444444,544,0.0815088609255,0.0740740740741,544,0.808823529412,1,544,19.9650735294,20,544,0.233455882353,0.5,544,-0.846507352941,-0.5,544,,,0,259,0.476102941176,0.434448448836,0.518092577621,205,0.376838235294,0.337113209393,0.418290542348,125,0.229779411765,0.196395041768,0.266953488173,265,274,5,0.491651205937,0.316758747698
2024-2025 validation,underdog:edge_z_ge_1,100,100,0.0824446444357,0.0714690867839,100,3.09,3,100,-0.057978394488,-0.0902426965826,100,-2.11728010332,-2.9778037209,100,0.417621351397,0.418979744936,100,0.0746653761931,0.070197044335,100,0.87,1,100,19.24,18.5,100,0.865,0.625,100,-0.345,-0.25,100,,,0,47,0.47,0.375106519821,0.567113168628,35,0.35,0.263641046535,0.447457395708,22,0.22,0.150011745037,0.31070534715,49,50,1,0.494949494949,0.33
2024-2025 validation,home:all,532,532,0.059099933613,0.0540540540541,532,2.34022556391,2,532,0.0857563396359,0.0879650401217,532,2.82533754643,3.49703810924,532,0.472743542624,0.470588235294,532,0.0924660501902,0.0857142857143,532,0.701127819549,0,532,23.9661654135,24,532,0.881109022556,1,532,0.407894736842,0,532,,,0,244,0.458646616541,0.416751285691,0.501134895599,191,0.359022556391,0.319402544499,0.400663982624,112,0.210526315789,0.178020172619,0.247183096407,263,264,5,0.499051233397,0.531073446328
2024-2025 validation,home:edge_z_ge_1,81,81,0.0766281543696,0.0740740740741,81,3.13580246914,3,81,0.0131000812935,0.0278887300148,81,0.25412121907,0.992985475665,81,0.445441258625,0.441860465116,81,0.083786786928,0.0789473684211,81,0.753086419753,1,81,22.962962963,23,81,1.57716049383,2,81,0.765432098765,0.5,81,,,0,34,0.41975308642,0.318307909346,0.528465371686,29,0.358024691358,0.262235169722,0.466671404411,14,0.172839506173,0.105843076263,0.269463377175,42,38,1,0.525,0.469135802469
2024-2025 validation,away:all,556,544,0.0641590886359,0.0555555555556,556,2.43884892086,2,556,0.0700079384888,0.0812609937442,556,2.34808102628,2.69627640165,556,0.458893156274,0.460769230769,556,0.0909585010062,0.0813568670712,556,0.708633093525,0,556,22.0017985612,21,556,0.441996402878,0.375,556,-0.390287769784,0,556,,,0,268,0.482014388489,0.440746008974,0.523529600413,206,0.370503597122,0.331377137014,0.41140725057,113,0.203237410072,0.171877454661,0.238670100219,276,275,5,0.500907441016,0.47027027027
