game_id,week,defense,offense,espn_prwr_rank,espn_opponent_pbwr_rank,espn_rank_edge,historical_pass_rush_edge_z,offense_sacks,offense_sack_rate,offense_pass_epa_db,offense_pass_success_rate,offense_interceptions,offense_points,implied_team_total,team_total_margin,team_spread,ats_result,ats_margin,su_result,espn_edge_5_plus,espn_edge_10_plus,espn_edge_15_plus,espn_edge_20_plus
2026_02_GB_NYJ,2,nyj,gb,3,32,29,-0.518010668484,3,0.0789473684211,0.0553609392794,0.297297297297,0,20,24,-4,-3.5,L,-0.5,W,True,True,True,True
2026_02_IND_KC,2,ind,kc,5,24,19,0.0686136492079,2,0.0384615384615,0.251359080899,0.538461538462,0,33,26.25,6.75,-6,L,-3,W,True,True,True,False
2026_02_MIN_CHI,2,min,chi,1,18,17,0.832195730572,4,0.0909090909091,-0.0246208004145,0.348837209302,1,3,25.5,-22.5,-4.5,L,-10.5,L,True,True,True,False
2026_02_SEA_ARI,2,sea,ari,17,31,14,0.76077083038,2,0.0588235294118,-0.223906260487,0.323529411765,1,7,18.5,-11.5,3.5,L,-20.5,L,True,True,False,False
2026_02_LV_LAC,2,lv,lac,14,27,13,1.53095586368,3,0.0882352941176,-0.069225541439,0.352941176471,2,14,25,-11,-6.5,L,-18.5,L,True,True,False,False
2026_02_PHI_TEN,2,phi,ten,18,30,12,0.0779284925753,2,0.08,0.0373122635682,0.36,0,20,16.25,3.75,7,W,3,L,True,True,False,False
2026_02_SEA_ARI,2,ari,sea,6,17,11,-1.5765525463,1,0.0344827586207,0.598309247784,0.535714285714,0,31,22,9,-3.5,W,20.5,W,True,True,False,False
2026_02_MIA_SF,2,sf,mia,11,19,8,-0.28537986618,4,0.129032258065,0.141387071116,0.322580645161,0,13,16,-3,12.5,L,-9.5,L,True,False,False,False
2026_02_NO_BAL,2,no,bal,22,28,6,0.0268089908222,3,0.0769230769231,0.0760253622696,0.564102564103,1,17,27,-10,-8.5,L,-15.5,L,True,False,False,False
2026_02_NO_BAL,2,bal,no,19,24,5,-0.267859279938,3,0.0714285714286,0.230352094832,0.414634146341,0,24,18.5,5.5,8.5,W,15.5,W,True,False,False,False
2026_02_IND_KC,2,kc,ind,10,14,4,0.631388415761,0,0,0.223825312515,0.485714285714,1,30,20.25,9.75,6,W,3,L,False,False,False,False
2026_02_CAR_ATL,2,atl,car,20,24,4,-0.88808734396,2,0.05,0.272378306732,0.45,0,34,23,11,-2.5,W,28.5,W,False,False,False,False
2026_02_MIN_CHI,2,chi,min,7,9,2,0.704523249343,3,0.12,0.0125961018822,0.28,0,9,21,-12,4.5,W,10.5,W,False,False,False,False
2026_02_LV_LAC,2,lac,lv,2,3,1,1.17664308317,2,0.0606060606061,0.229987318497,0.454545454545,1,26,18.5,7.5,6.5,W,18.5,W,False,False,False,False
2026_02_JAX_DEN,2,den,jax,7,7,0,0.596781114201,2,0.0555555555556,-0.123107281987,0.361111111111,1,13,21.5,-8.5,2.5,L,-4.5,L,False,False,False,False
2026_02_CIN_HOU,2,cin,hou,13,12,-1,-0.337020366184,4,0.0625,-0.108366445067,0.421875,0,6,24.25,-18.25,-3,L,-17,L,False,False,False,False
2026_02_NYG_LA,2,nyg,lar,23,22,-1,-0.259035866068,1,0.030303030303,0.504444379038,0.545454545455,1,28,27,1,-6.5,W,15.5,W,False,False,False,False
2026_02_CLE_TB,2,tb,cle,4,3,-1,1.28320453372,2,0.0555555555556,0.341548667959,0.5,0,23,16.5,6.5,8.5,W,12.5,W,False,False,False,False
2026_02_CIN_HOU,2,hou,cin,32,29,-3,-0.153901818838,5,0.138888888889,-0.0152145997679,0.361111111111,0,20,21.25,-1.25,3,W,17,W,False,False,False,False
2026_02_PIT_NE,2,ne,pit,16,13,-3,-0.406053158813,4,0.0816326530612,-0.421753689943,0.367346938776,1,3,18.5,-15.5,4.5,L,-12.5,L,False,False,False,False
2026_02_GB_NYJ,2,gb,nyj,24,21,-3,0.62398094352,4,0.0816326530612,0.129603477801,0.448979591837,0,17,20.5,-3.5,3.5,W,0.5,L,False,False,False,False
2026_02_PHI_TEN,2,ten,phi,12,8,-4,-1.11605889932,3,0.0697674418605,0.170578026848,0.441860465116,2,24,23.25,0.75,-7,L,-3,W,False,False,False,False
2026_02_JAX_DEN,2,jax,den,28,23,-5,-0.399696853419,0,0,0.310991042975,0.515151515152,1,20,24,-4,-2.5,W,4.5,W,False,False,False,False
2026_02_CLE_TB,2,cle,tb,26,20,-6,0.0999768207508,3,0.0697674418605,-0.309086146284,0.372093023256,1,19,25,-6,-8.5,L,-12.5,L,False,False,False,False
2026_02_DET_BUF,2,det,buf,7,1,-6,-0.441931569414,2,0.047619047619,0.514222793366,0.595238095238,0,41,30,11,-5.5,W,4.5,W,False,False,False,False
2026_02_DET_BUF,2,buf,det,21,11,-10,0.82514157434,4,0.0869565217391,0.500570849829,0.54347826087,0,31,24.5,6.5,5.5,L,-4.5,L,False,False,False,False
2026_02_CAR_ATL,2,car,atl,15,2,-13,-1.08591562439,3,0.0731707317073,-0.690606457515,0.341463414634,3,3,20.5,-17.5,2.5,L,-28.5,L,False,False,False,False
2026_02_WAS_DAL,2,dal,wsh,28,15,-13,-0.142923227578,0,0,0.0932818912924,0.521739130435,0,20,24,-4,3.5,L,-13.5,L,False,False,False,False
2026_02_WAS_DAL,2,wsh,dal,25,10,-15,-0.255720045301,2,0.0540540540541,0.461964501138,0.621621621622,0,37,27.5,9.5,-3.5,W,13.5,W,False,False,False,False
2026_02_PIT_NE,2,pit,ne,31,16,-15,-1.08821764602,3,0.103448275862,-0.0639537358359,0.448275862069,1,20,23,-3,-4.5,W,12.5,W,False,False,False,False
2026_02_MIA_SF,2,mia,sf,28,6,-22,-1.59085189393,0,0,0.91310710591,0.777777777778,0,35,28.5,6.5,-12.5,W,9.5,W,False,False,False,False
2026_02_NYG_LA,2,lar,nyg,27,3,-24,1.38870360696,2,0.0571428571429,-0.452260700592,0.285714285714,1,6,20.5,-14.5,6.5,L,-15.5,L,False,False,False,False
