window,group,n,games,mean_team_total_margin,median_team_total_margin,n_team_total_margin,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high
2022-2023 exploratory,all,958,479,0.157620041754,-0.5,958,501,0.522964509395,0.491306932352,0.554438645715,377,0.393528183716,0.363076175384,0.424830689946,204,0.212943632568,0.188192178507,0.239988095667
2022-2023 exploratory,top50_prior,434,343,-0.222926267281,-1.25,434,244,0.562211981567,0.515192195852,0.608140077737,183,0.421658986175,0.376085009235,0.468607683282,94,0.216589861751,0.180412091338,0.257740884533
2022-2023 exploratory,top25_prior,200,183,0.06,-2,200,113,0.565,0.49570609082,0.631843928411,85,0.425,0.358534952092,0.494291948795,34,0.17,0.124278353511,0.228160010395
2022-2023 exploratory,top20_prior,163,153,0.151840490798,-1.5,163,89,0.546012269939,0.469396661219,0.620508973826,66,0.40490797546,0.33257942624,0.481615594666,25,0.153374233129,0.106096366074,0.216614516583
2022-2023 exploratory,top10_prior,84,81,0.270833333333,-0.25,84,42,0.5,0.39543750035,0.60456249965,29,0.345238095238,0.252348628469,0.451664048896,15,0.178571428571,0.111310909034,0.273946190108
2022-2023 exploratory,z_ge_0.5,276,247,-0.0498188405797,-1.75,276,155,0.561594202899,0.50260593607,0.618891368119,118,0.427536231884,0.370558188483,0.486503806589,55,0.199275362319,0.156419499563,0.250387779984
2022-2023 exploratory,z_ge_1.0,143,134,0.356643356643,0.25,143,71,0.496503496503,0.415724274457,0.577465666268,53,0.370629370629,0.295821980223,0.452205826611,26,0.181818181818,0.127205128698,0.253079477299
2022-2023 exploratory,z_ge_1.5,67,66,0.89552238806,1,67,32,0.477611940299,0.362501886352,0.595150114732,22,0.328358208955,0.227911576156,0.447420432155,11,0.164179104478,0.0942251563376,0.270554859924
2022-2023 exploratory,z_lt_-0.5,287,261,0.293554006969,0,287,142,0.494773519164,0.43738139219,0.552303714755,108,0.376306620209,0.322238379133,0.433642485227,61,0.212543554007,0.169169286537,0.263511595427
2022-2023 exploratory,z_-0.5_to_0,209,185,0.516746411483,0,209,103,0.492822966507,0.425785825764,0.560119185287,77,0.368421052632,0.305946637125,0.435645232134,43,0.205741626794,0.156484897124,0.265620555946
2022-2023 exploratory,z_0_to_0.5,186,169,-0.147849462366,-0.875,186,101,0.543010752688,0.471272368346,0.613008421533,74,0.397849462366,0.330259746324,0.469573377712,45,0.241935483871,0.186013746617,0.308301514105
2022-2023 exploratory,z_0.5_to_1,133,123,-0.486842105263,-2.75,133,84,0.631578947368,0.546978079084,0.708792096067,65,0.488721804511,0.405283642164,0.572793199966,29,0.218045112782,0.156324345184,0.295596708063
