window,outcome,threshold,n_high,n_comparison,mean_difference,ci_low,ci_high,method
2022-2023 exploratory,team_sack_rate,edge_z >= 1 vs < 1,143,815,0.0164744942702,0.00737566984889,0.0255014483263,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2023 exploratory,team_pass_epa_db,edge_z >= 1 vs < 1,143,815,-0.0503029478244,-0.0986988804578,0.00163410237475,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2023 exploratory,team_pass_success_rate,edge_z >= 1 vs < 1,143,815,-0.0232489329377,-0.0394261582901,-0.00519394792476,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2023 exploratory,team_total_margin,edge_z >= 1 vs < 1,143,815,0.23394397014,-1.19560716564,1.79323809964,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2023 exploratory,team_points,edge_z >= 1 vs < 1,143,815,-2.0959543524,-3.61216685984,-0.410427308071,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2023 exploratory,ats_margin,edge_z >= 1 vs < 1,143,815,-0.283590029602,-2.61871721458,2.03981308439,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2024-2025 validation,team_sack_rate,edge_z >= 1 vs < 1,161,927,0.0198207031468,0.0105667316184,0.0289666454903,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2024-2025 validation,team_pass_epa_db,edge_z >= 1 vs < 1,161,927,-0.102488037234,-0.148590030924,-0.0547845400068,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2024-2025 validation,team_pass_success_rate,edge_z >= 1 vs < 1,161,927,-0.034231695268,-0.0511679013038,-0.0184059244263,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2024-2025 validation,team_total_margin,edge_z >= 1 vs < 1,161,927,-0.069110266873,-1.6041570507,1.47748519531,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2024-2025 validation,team_points,edge_z >= 1 vs < 1,161,927,-2.1500398668,-3.93021695579,-0.490114503055,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2024-2025 validation,ats_margin,edge_z >= 1 vs < 1,161,927,-0.39730111828,-2.47543171178,1.80947297918,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2025 full,team_sack_rate,edge_z >= 1 vs < 1,304,1742,0.0182541990507,0.0118576583267,0.0246247085834,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2025 full,team_pass_epa_db,edge_z >= 1 vs < 1,304,1742,-0.0780757527785,-0.112454216998,-0.0420210940839,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2025 full,team_pass_success_rate,edge_z >= 1 vs < 1,304,1742,-0.0290942057325,-0.0410897369891,-0.0173098983432,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2025 full,team_total_margin,edge_z >= 1 vs < 1,304,1742,0.0720615671642,-0.997467723906,1.21656503355,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2025 full,team_points,edge_z >= 1 vs < 1,304,1742,-2.1275379177,-3.35903286516,-0.914541860593,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
2022-2025 full,ats_margin,edge_z >= 1 vs < 1,304,1742,-0.343853858239,-1.87238329503,1.36258298951,"game-cluster percentile bootstrap, 1000 draws, seed 20260923"
