window,group,n,games,mean_team_sack_rate,median_team_sack_rate,n_team_sack_rate,mean_team_sacks,median_team_sacks,n_team_sacks,mean_team_pass_epa_db,median_team_pass_epa_db,n_team_pass_epa_db,mean_team_pass_epa,median_team_pass_epa,n_team_pass_epa,mean_team_pass_success_rate,median_team_pass_success_rate,n_team_pass_success_rate,mean_team_explosive_pass_rate,median_team_explosive_pass_rate,n_team_explosive_pass_rate,mean_team_interceptions,median_team_interceptions,n_team_interceptions,mean_team_points,median_team_points,n_team_points,mean_team_total_margin,median_team_total_margin,n_team_total_margin,mean_ats_margin,median_ats_margin,n_ats_margin,mean_first_half_points,median_first_half_points,n_first_half_points,below_implied_n,below_implied_rate,below_implied_ci_low,below_implied_ci_high,below_implied_3_n,below_implied_3_rate,below_implied_3_ci_low,below_implied_3_ci_high,below_implied_7_n,below_implied_7_rate,below_implied_7_ci_low,below_implied_7_ci_high,ats_w,ats_l,ats_p,ats_cover_rate,su_win_rate
2022-2023 exploratory,all,958,479,0.0641759575176,0.0588235294118,958,2.51461377871,2,958,0.0321307867187,0.0354195572917,958,1.00988917557,1.27937753942,958,0.455951756026,0.457142857143,958,0.0901095111306,0.0833333333333,958,0.774530271399,1,958,21.8110647182,21,958,0.157620041754,-0.5,958,0,0,958,,,0,501,0.522964509395,0.491306932352,0.554438645715,377,0.393528183716,0.363076175384,0.424830689946,204,0.212943632568,0.188192178507,0.239988095667,458,458,42,0.5,0.5
2022-2023 exploratory,top50_prior,434,343,0.0757918841161,0.0731707317073,434,2.98156682028,3,434,-0.0379768730848,-0.0418445623825,434,-1.59760360858,-1.58406042582,434,0.435029592979,0.432432432432,434,0.0850569332374,0.0769230769231,434,0.792626728111,1,434,20.1313364055,20,434,-0.222926267281,-1.25,434,-0.694700460829,0,434,,,0,244,0.562211981567,0.515192195852,0.608140077737,183,0.421658986175,0.376085009235,0.468607683282,94,0.216589861751,0.180412091338,0.257740884533,195,216,23,0.474452554745,0.407407407407
2022-2023 exploratory,top25_prior,200,183,0.0796562736779,0.0761973875181,200,3.105,3,200,-0.0320292320403,-0.0188871624302,200,-1.16757946229,-0.678788905206,200,0.431373901446,0.434164934165,200,0.0871116874167,0.0789473684211,200,0.8,1,200,19.815,20,200,0.06,-2,200,-0.415,0,200,,,0,113,0.565,0.49570609082,0.631843928411,85,0.425,0.358534952092,0.494291948795,34,0.17,0.124278353511,0.228160010395,92,97,11,0.486772486772,0.388888888889
2022-2023 exploratory,top20_prior,163,153,0.0788646007892,0.0731707317073,163,3.08588957055,3,163,-0.0249050175737,0.0158402147872,163,-0.844151231788,0.510815739573,163,0.432170770098,0.4375,163,0.0881363972705,0.08,163,0.766871165644,0,163,19.9263803681,20,163,0.151840490798,-1.5,163,-0.696319018405,0,163,,,0,89,0.546012269939,0.469396661219,0.620508973826,66,0.40490797546,0.33257942624,0.481615594666,25,0.153374233129,0.106096366074,0.216614516583,76,79,8,0.490322580645,0.391304347826
2022-2023 exploratory,top10_prior,84,81,0.0849914039771,0.0833333333333,84,3.29761904762,3,84,-0.0542818645657,-0.0179508487267,84,-1.90653033636,-0.635118081307,84,0.416881955821,0.414443721535,84,0.0872469514897,0.0769230769231,84,0.738095238095,0.5,84,19.3095238095,20,84,0.270833333333,-0.25,84,-1.23214285714,0,84,,,0,42,0.5,0.39543750035,0.60456249965,29,0.345238095238,0.252348628469,0.451664048896,15,0.178571428571,0.111310909034,0.273946190108,36,41,7,0.467532467532,0.325301204819
2022-2023 exploratory,z_ge_0.5,276,247,0.0804643945482,0.0794736842105,276,3.09420289855,3,276,-0.0366841581827,-0.0376913817548,276,-1.47875962486,-1.32922589287,276,0.433340633234,0.431733457596,276,0.0856136545739,0.0769230769231,276,0.786231884058,1,276,19.8405797101,20,276,-0.0498188405797,-1.75,276,-0.375,0,276,,,0,155,0.561594202899,0.50260593607,0.618891368119,118,0.427536231884,0.370558188483,0.486503806589,55,0.199275362319,0.156419499563,0.250387779984,129,134,13,0.490494296578,0.397810218978
2022-2023 exploratory,z_ge_1.0,143,134,0.078191315378,0.0740740740741,143,3.03496503497,3,143,-0.0106634747395,0.0158402147872,143,-0.492240154089,0.510815739573,143,0.436173175291,0.444444444444,143,0.087576007376,0.0769230769231,143,0.706293706294,0,143,20.027972028,20,143,0.356643356643,0.25,143,-0.241258741259,0,143,,,0,71,0.496503496503,0.415724274457,0.577465666268,53,0.370629370629,0.295821980223,0.452205826611,26,0.181818181818,0.127205128698,0.253079477299,68,68,7,0.5,0.41134751773
2022-2023 exploratory,z_ge_1.5,67,66,0.0845299688942,0.0833333333333,67,3.25373134328,3,67,-0.0220777370566,0.00364063575479,67,-1.30097388895,0.17475051623,67,0.435823267571,0.425,67,0.0874480515031,0.0769230769231,67,0.611940298507,0,67,19.776119403,20,67,0.89552238806,1,67,0.119402985075,0,67,,,0,32,0.477611940299,0.362501886352,0.595150114732,22,0.328358208955,0.227911576156,0.447420432155,11,0.164179104478,0.0942251563376,0.270554859924,30,32,5,0.483870967742,0.348484848485
2022-2023 exploratory,z_lt_-0.5,287,261,0.0514220297843,0.047619047619,287,1.97909407666,2,287,0.10647210428,0.101758630887,287,3.72367567869,4.28352152179,287,0.479623366038,0.477272727273,287,0.0945780122011,0.0909090909091,287,0.735191637631,1,287,23.5226480836,24,287,0.293554006969,0,287,0.533101045296,0,287,,,0,142,0.494773519164,0.43738139219,0.552303714755,108,0.376306620209,0.322238379133,0.433642485227,61,0.212543554007,0.169169286537,0.263511595427,141,137,9,0.507194244604,0.592334494774
2022-2023 exploratory,z_-0.5_to_0,209,185,0.0568637280012,0.0512820512821,209,2.31100478469,2,209,0.0696411949416,0.102942187631,209,2.4922601984,4.15913173423,209,0.46356833227,0.464285714286,209,0.0949699226528,0.0833333333333,209,0.813397129187,1,209,23.038277512,23,209,0.516746411483,0,209,0.22009569378,0,209,,,0,103,0.492822966507,0.425785825764,0.560119185287,77,0.368421052632,0.305946637125,0.435645232134,43,0.205741626794,0.156484897124,0.265620555946,101,98,10,0.507537688442,0.555023923445
