season,team,position,depth_chart_position,status,full_name,gsis_id,espn_id,sportradar_id,pfr_id,yahoo_id,rotowire_id,pff_id,fantasy_data_id,sleeper_id,years_exp
2025,ATL,QB,QB,ACT,Atlas Returning,00-ATL-QB1,1001,sr-atl-qb1,AtlaRe00,,,,,,4
2025,ATL,TE,TE,ACT,Atlas Receiver,00-ATL-WR1,1002,sr-atl-wr1,AtlaRe01,,,,,,2
2025,ATL,RB,RB,ACT,Departed Runner,00-ATL-RB1,1003,sr-atl-rb1,DepaRu00,,,,,,6
2025,ATL,LB,LB,ACT,Atlas Defender,00-ATL-LB1,1004,sr-atl-lb1,AtlaDe00,,,,,,3
2025,CHI,QB,QB,ACT,Windy Quarterback,00-CHI-QB1,1101,sr-chi-qb1,WindQu00,,,,,,1
2025,CHI,RB,RB,ACT,Windy Runner,00-CHI-RB1,1102,sr-chi-rb1,WindRu00,,,,,,3
2025,NYJ,QB,QB,ACT,Jet Quarterback,00-NYJ-QB1,1201,sr-nyj-qb1,JetQu00,,,,,,8
2025,NYJ,WR,WR,ACT,Jet Departed,00-NYJ-WR1,1202,sr-nyj-wr1,JetDe00,,,,,,5
2025,NYJ,WR,WR,ACT,DJ ONeil Smith,00-NYJ-WR2,1203,sr-nyj-wr2,DJONSm00,,,,,,2
2025,SEA,QB,QB,ACT,Sound Quarterback,00-SEA-QB1,1301,sr-sea-qb1,SounQu00,,,,,,6
2025,SEA,WR,WR,ACT,Imported Receiver,00-SEA-WR1,2002,sr-sea-wr1,ImpoRe00,,,,,,3
2025,SEA,WR,WR,ACT,Sound Receiver,00-SEA-WR2,1302,sr-sea-wr2,SounRe00,,,,,,2
