Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Jared Goff (40010001),Jared Goff,40010001,QB,6600,NO@DET 09/13/2026 01:00PM ET,DET,19.4,
QB,Patrick Mahomes II (40010002),Patrick Mahomes II,40010002,QB,6900,DEN@KC 09/14/2026 08:20PM ET,KC,20.1,
QB,Bo Nix (40010003),Bo Nix,40010003,QB,6100,DEN@KC 09/14/2026 08:20PM ET,DEN,17.6,
QB,Tyler Shough (40010004),Tyler Shough,40010004,QB,5000,NO@DET 09/13/2026 01:00PM ET,NO,14.2,Q
RB,Jahmyr Gibbs (40010101),Jahmyr Gibbs,40010101,RB/FLEX,8200,NO@DET 09/13/2026 01:00PM ET,DET,22.5,
RB,Ken Walker III (40010102),Ken Walker III,40010102,RB/FLEX,6000,DEN@KC 09/14/2026 08:20PM ET,KC,14.1,
RB,Travis Etienne Jr. (40010103),Travis Etienne Jr.,40010103,RB/FLEX,5400,NO@DET 09/13/2026 01:00PM ET,NO,12.7,
RB,J.K. Dobbins (40010104),J.K. Dobbins,40010104,RB/FLEX,4700,DEN@KC 09/14/2026 08:20PM ET,DEN,10.0,D
WR,Amon-Ra St. Brown (40010201),Amon-Ra St. Brown,40010201,WR/FLEX,8000,NO@DET 09/13/2026 01:00PM ET,DET,19.0,
WR,Rashee Rice (40010202),Rashee Rice,40010202,WR/FLEX,6700,DEN@KC 09/14/2026 08:20PM ET,KC,15.1,
WR,Chris Olave (40010203),Chris Olave,40010203,WR/FLEX,6300,NO@DET 09/13/2026 01:00PM ET,NO,14.6,
WR,Jameson Williams (40010204),Jameson Williams,40010204,WR/FLEX,5800,NO@DET 09/13/2026 01:00PM ET,DET,14.3,
WR,Courtland Sutton (40010205),Courtland Sutton,40010205,WR/FLEX,5500,DEN@KC 09/14/2026 08:20PM ET,DEN,10.5,
WR,Xavier Worthy (40010206),Xavier Worthy,40010206,WR/FLEX,4900,DEN@KC 09/14/2026 08:20PM ET,KC,9.6,Q
TE,Travis Kelce (40010301),Travis Kelce,40010301,TE/FLEX,4600,DEN@KC 09/14/2026 08:20PM ET,KC,11.4,
TE,Sam LaPorta (40010302),Sam LaPorta,40010302,TE/FLEX,4300,NO@DET 09/13/2026 01:00PM ET,DET,11.3,
TE,Juwan Johnson (40010303),Juwan Johnson,40010303,TE/FLEX,3500,NO@DET 09/13/2026 01:00PM ET,NO,8.1,
TE,Evan Engram (40010304),Evan Engram,40010304,TE/FLEX,3100,DEN@KC 09/14/2026 08:20PM ET,DEN,5.4,
DST,Saints (40010401),Saints,40010401,DST,2400,NO@DET 09/13/2026 01:00PM ET,NO,7.2,
DST,Lions (40010402),Lions,40010402,DST,3000,NO@DET 09/13/2026 01:00PM ET,DET,8.0,
DST,Broncos (40010403),Broncos,40010403,DST,3400,DEN@KC 09/14/2026 08:20PM ET,DEN,8.6,
DST,Chiefs (40010404),Chiefs,40010404,DST,3200,DEN@KC 09/14/2026 08:20PM ET,KC,8.3,
