Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
QB,Derek Sample (39001101),Derek Sample,39001101,QB,7200,NO@DET 09/13/2026 01:00PM ET,NO,19.86,
QB,Miles Anderson (39001102),Miles Anderson,39001102,QB,6900,NO@DET 09/13/2026 01:00PM ET,DET,18.42,Q
QB,Trey Coleman (39001103),Trey Coleman,39001103,QB,8100,KC@BUF 09/13/2026 04:25PM ET,KC,22.31,
QB,Jalen Porter (39001104),Jalen Porter,39001104,QB,7600,KC@BUF 09/13/2026 04:25PM ET,BUF,20.05,D
RB,Marcus Cole (39001201),Marcus Cole,39001201,RB/FLEX,7800,NO@DET 09/13/2026 01:00PM ET,NO,17.9,
RB,Devon Hayes (39001202),Devon Hayes,39001202,RB/FLEX,5400,NO@DET 09/13/2026 01:00PM ET,DET,11.2,OUT
RB,Isaiah Brooks (39001203),Isaiah Brooks,39001203,RB/FLEX,6200,KC@BUF 09/13/2026 04:25PM ET,KC,13.65,
RB,Cameron Wells (39001204),Cameron Wells,39001204,RB/FLEX,4800,KC@BUF 09/13/2026 04:25PM ET,BUF,9.75,IR
WR,Xavier Fields (39001301),Xavier Fields,39001301,WR/FLEX,7100,NO@DET 09/13/2026 01:00PM ET,NO,16.4,
WR,Terrence Boyd (39001302),Terrence Boyd,39001302,WR/FLEX,6500,NO@DET 09/13/2026 01:00PM ET,DET,14.85,Q
WR,Malik Simmons (39001303),Malik Simmons,39001303,WR/FLEX,5900,KC@BUF 09/13/2026 04:25PM ET,KC,13.1,
WR,Grant Ellison (39001304),Grant Ellison,39001304,WR/FLEX,5200,KC@BUF 09/13/2026 04:25PM ET,BUF,12.05,
WR,Corey Dunlap (39001305),Corey Dunlap,39001305,WR/FLEX,4400,NO@DET 09/13/2026 01:00PM ET,NO,,IR
TE,Bryce Norwood (39001401),Bryce Norwood,39001401,TE/FLEX,4700,NO@DET 09/13/2026 01:00PM ET,DET,10.55,
TE,Owen Kessler (39001402),Owen Kessler,39001402,TE/FLEX,3900,KC@BUF 09/13/2026 04:25PM ET,BUF,8.2,Q
DST,Saints (39001501),Saints,39001501,DST,3200,NO@DET 09/13/2026 01:00PM ET,NO,7.8,
DST,Lions (39001502),Lions,39001502,DST,3400,NO@DET 09/13/2026 01:00PM ET,DET,8.1,
DST,Chiefs (39001503),Chiefs,39001503,DST,3600,KC@BUF 09/13/2026 04:25PM ET,KC,8.45,
DST,Bills (39001504),Bills,39001504,DST,3500,KC@BUF 09/13/2026 04:25PM ET,BUF,8.3,
