Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
RB,Jahmyr Gibbs (43727325),Jahmyr Gibbs,43727325,RB/FLEX,8000,NO@DET 09/13/2026 01:00PM ET,DET,22.3,
WR,Ja'Marr Chase (43727631),Ja'Marr Chase,43727631,WR/FLEX,7800,TB@CIN 09/13/2026 01:00PM ET,CIN,21,Q
RB,Bijan Robinson (43727327),Bijan Robinson,43727327,RB/FLEX,7700,ATL@PIT 09/13/2026 01:00PM ET,ATL,23.2,
WR,Amon-Ra St. Brown (43727633),Amon-Ra St. Brown,43727633,WR/FLEX,7500,NO@DET 09/13/2026 01:00PM ET,DET,19.9,
RB,Jonathan Taylor (43727329),Jonathan Taylor,43727329,RB/FLEX,7300,BAL@IND 09/13/2026 01:00PM ET,IND,22.3,
QB,Josh Allen (43727234),Josh Allen,43727234,QB,7000,BUF@HOU 09/13/2026 01:00PM ET,BUF,23.3,
WR,Nico Collins (43727637),Nico Collins,43727637,WR/FLEX,7000,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.1,
QB,Joe Burrow (43727235),Joe Burrow,43727235,QB,6900,TB@CIN 09/13/2026 01:00PM ET,CIN,18.2,
WR,DeVonta Smith (43727641),DeVonta Smith,43727641,WR/FLEX,6600,WAS@PHI 09/13/2026 04:25PM ET,PHI,12.4,
QB,Jayden Daniels (43727238),Jayden Daniels,43727238,QB,6500,WAS@PHI 09/13/2026 04:25PM ET,WAS,17,
RB,Jeremiyah Love (43727345),Jeremiyah Love,43727345,RB/FLEX,6400,ARI@LAC 09/13/2026 04:25PM ET,ARI,0,Q
QB,Justin Herbert (43727240),Justin Herbert,43727240,QB,6100,ARI@LAC 09/13/2026 04:25PM ET,LAC,19.1,
WR,Ladd McConkey (43727657),Ladd McConkey,43727657,WR/FLEX,5900,ARI@LAC 09/13/2026 04:25PM ET,LAC,11.4,
WR,Terry McLaurin (43727663),Terry McLaurin,43727663,WR/FLEX,5700,WAS@PHI 09/13/2026 04:25PM ET,WAS,11.4,
RB,Jaylen Warren (43727369),Jaylen Warren,43727369,RB/FLEX,5400,ATL@PIT 09/13/2026 01:00PM ET,PIT,13.5,
QB,C.J. Stroud (43727250),C.J. Stroud,43727250,QB,5200,BUF@HOU 09/13/2026 01:00PM ET,HOU,15,
QB,Bryce Young (43727251),Bryce Young,43727251,QB,5200,CHI@CAR 09/13/2026 01:00PM ET,CAR,15.4,
RB,Rico Dowdle (43727375),Rico Dowdle,43727375,RB/FLEX,5200,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.7,
WR,Josh Downs (43727685),Josh Downs,43727685,WR/FLEX,5200,BAL@IND 09/13/2026 01:00PM ET,IND,8.6,Q
WR,Stefon Diggs (43824688),Stefon Diggs,43824688,WR/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.2,
WR,Jordyn Tyson (43727687),Jordyn Tyson,43727687,WR/FLEX,5100,NO@DET 09/13/2026 01:00PM ET,NO,0,IR
WR,Marvin Harrison Jr. (43727693),Marvin Harrison Jr.,43727693,WR/FLEX,5000,ARI@LAC 09/13/2026 04:25PM ET,ARI,10.7,
RB,Alvin Kamara (43727393),Alvin Kamara,43727393,RB/FLEX,4900,NO@DET 09/13/2026 01:00PM ET,NO,9.3,Q
RB,Tyler Allgeier (43727395),Tyler Allgeier,43727395,RB/FLEX,4900,ARI@LAC 09/13/2026 04:25PM ET,ARI,7.2,
TE,Sam LaPorta (43728229),Sam LaPorta,43728229,TE/FLEX,4400,NO@DET 09/13/2026 01:00PM ET,DET,11.9,Q
TE,Dallas Goedert (43728233),Dallas Goedert,43728233,TE/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,13,
TE,Mark Andrews (43728237),Mark Andrews,43728237,TE/FLEX,3900,BAL@IND 09/13/2026 01:00PM ET,BAL,7.7,
DST,Chargers (43728525),Chargers,43728525,DST,3500,ARI@LAC 09/13/2026 04:25PM ET,LAC,6.7,
DST,Jaguars (43728526),Jaguars,43728526,DST,3400,CLE@JAX 09/13/2026 01:00PM ET,JAX,8.2,
WR,Andrei Iosivas (43727797),Andrei Iosivas,43727797,WR/FLEX,3300,TB@CIN 09/13/2026 01:00PM ET,CIN,5.3,
DST,Steelers (43728527),Steelers,43728527,DST,3300,ATL@PIT 09/13/2026 01:00PM ET,PIT,7.8,
DST,Lions (43728528),Lions,43728528,DST,3200,NO@DET 09/13/2026 01:00PM ET,DET,5.7,
DST,Eagles (43728529),Eagles,43728529,DST,3200,WAS@PHI 09/13/2026 04:25PM ET,PHI,7.8,
TE,Mike Gesicki (43728263),Mike Gesicki,43728263,TE/FLEX,3100,TB@CIN 09/13/2026 01:00PM ET,CIN,5.4,
DST,Bills (43728530),Bills,43728530,DST,3100,BUF@HOU 09/13/2026 01:00PM ET,BUF,6.1,
DST,Titans (43728531),Titans,43728531,DST,3100,NYJ@TEN 09/13/2026 01:00PM ET,TEN,4.8,
DST,Packers (43728532),Packers,43728532,DST,3000,GB@MIN 09/13/2026 04:25PM ET,GB,4.6,
DST,Ravens (43728533),Ravens,43728533,DST,3000,BAL@IND 09/13/2026 01:00PM ET,BAL,5.7,
DST,Texans (43728534),Texans,43728534,DST,2900,BUF@HOU 09/13/2026 01:00PM ET,HOU,10.6,
DST,Raiders (43728535),Raiders,43728535,DST,2900,MIA@LV 09/13/2026 04:25PM ET,LV,4.4,
DST,Bears (43728536),Bears,43728536,DST,2800,CHI@CAR 09/13/2026 01:00PM ET,CHI,6.4,
DST,Vikings (43728537),Vikings,43728537,DST,2800,GB@MIN 09/13/2026 04:25PM ET,MIN,8,
DST,Bengals (43728538),Bengals,43728538,DST,2700,TB@CIN 09/13/2026 01:00PM ET,CIN,4.6,
DST,Dolphins (43728539),Dolphins,43728539,DST,2700,MIA@LV 09/13/2026 04:25PM ET,MIA,5.6,
DST,Falcons (43728540),Falcons,43728540,DST,2600,ATL@PIT 09/13/2026 01:00PM ET,ATL,7.1,
DST,Buccaneers (43728541),Buccaneers,43728541,DST,2600,TB@CIN 09/13/2026 01:00PM ET,TB,5.8,
DST,Jets (43728542),Jets,43728542,DST,2500,NYJ@TEN 09/13/2026 01:00PM ET,NYJ,2.8,
DST,Panthers (43728543),Panthers,43728543,DST,2500,CHI@CAR 09/13/2026 01:00PM ET,CAR,5.9,
DST,Colts (43728544),Colts,43728544,DST,2400,BAL@IND 09/13/2026 01:00PM ET,IND,5.8,
DST,Commanders (43728545),Commanders,43728545,DST,2300,WAS@PHI 09/13/2026 04:25PM ET,WAS,4.5,
DST,Saints (43728546),Saints,43728546,DST,2200,NO@DET 09/13/2026 01:00PM ET,NO,6.9,
DST,Browns (43728547),Browns,43728547,DST,2100,CLE@JAX 09/13/2026 01:00PM ET,CLE,7.8,
DST,Cardinals (43728548),Cardinals,43728548,DST,2000,ARI@LAC 09/13/2026 04:25PM ET,ARI,4.3,
